File Name,Total,Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_20_detab.c,76,76,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_13_histogram.c,397,397,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_09_copy_io.c,62,62,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_08_count_b_t_n.c,104,104,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_06_verify_expression.c,26,26,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_16_longest_line.c,284,284,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_14_frequency_histogram.c,232,232,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_23_c_remove_comments.c,421,421,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_04_celsius_fahrenheit.c,103,103,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_15_temperature_conversion.c,121,121,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_12_copy_io_nl.c,94,94,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_03_fahrenheit_celsius.c,106,106,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_19_reverse.c,326,326,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_01_hello_world.c,21,21,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_05_celsius_fahrenheit.c,103,103,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_21_entab.c,125,125,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_11_word_count_test.c,138,138,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_24_check_syntax.c,664,664,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_18_trailing_blanks.c,241,241,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_10_copy_io_esc_replace.c,112,112,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_22_fold_line.c,402,402,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_07_print_eof.c,22,22,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_02_printf_argument.c,21,21,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_1_exercise_1_17_line_80.c,166,166,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_03_cross_referencer.c,1041,1041,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_02_var_group.c,1333,1333,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_06_define.c,1630,1630,100.0,0,0.0,0,0.0
ansi_c_the-c-programming-language-2nd-edition-solutions_chapter_6_exercise_6_04_words_frequency.c,1017,1014,99.71,3,0.29,0,0.0
