Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
20,primitive_type,"[361, 44, 1820]",FOUND,2
24,identifier,"[739, 796, 1128]",FOUND,1
28,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
29,primitive_type,[624],FOUND,1
33,),"[739, 720, 1118, 1598]",FOUND,3
35,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
39,identifier,[23],FOUND,1
45,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
46,""" string_content ""","[988, 1256, 451]",FOUND,3
47,"string_content """,[1531],FOUND,1
70,"""",[1547],FOUND,1
71,", expression","[627, 663, 684, 1018]",FOUND,1
73,identifier,[476],FOUND,1
80,( ),"[715, 1025, 1572]",FOUND,17
81,),[451],FOUND,4
83,!= expression,"[696, 668, 837, 1025, 1572]",FOUND,26
86,identifier,[618],FOUND,2
89,),"[715, 960, 684, 1025, 1572]",FOUND,1
90,;,"[698, 668, 837, 1056]",FOUND,1
94,return expression ;,"[248, 244, 25]",FOUND,5
101,number_literal,[475],FOUND,2
102,;,"[684, 1070]",FOUND,1
104,},"[199, 244, 31, 25]",FOUND,2
