Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
20,primitive_type,"[361, 44, 1820]",FOUND,2
24,identifier,"[739, 796, 1128]",FOUND,1
28,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
29,primitive_type,[624],FOUND,1
33,),"[739, 720, 1118, 1598]",FOUND,3
35,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
39,identifier,[23],FOUND,1
45,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
46,""" string_content ""","[988, 1256, 451]",FOUND,3
47,"string_content """,[1531],FOUND,1
54,"""",[1547],FOUND,1
55,", expression","[627, 663, 684, 1018]",FOUND,1
57,identifier,[476],FOUND,1
60,),"[715, 1025, 1572]",FOUND,1
61,;,"[698, 668, 837, 1056]",FOUND,1
65,return expression ;,"[248, 244, 25]",FOUND,5
72,number_literal,[475],FOUND,2
73,;,"[684, 1070]",FOUND,1
75,},"[199, 244, 31, 25]",FOUND,2
