Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
22,#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",FOUND,6
30,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
34,preproc_arg preproc_include_token2,[1528],FOUND,1
36,preproc_include_token2,[1877],FOUND,1
37,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
45,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
48,preproc_arg preproc_include_token2,[1528],FOUND,1
50,preproc_include_token2,[1877],FOUND,1
53,primitive_type,"[341, 43, 44, 1820]",FOUND,2
57,identifier,"[739, 796, 1128]",FOUND,1
61,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
62,primitive_type,[624],FOUND,1
66,),"[739, 720, 1118, 1598]",FOUND,3
69,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
74,primitive_type,[23],FOUND,2
79,identifier,"[739, 801, 1139]",FOUND,1
80,;,"[1363, 1455, 1361]",FOUND,1
85,primitive_type,"[220, 25]",FOUND,6
89,identifier,"[739, 801, 1139]",FOUND,1
94,;,"[1363, 1455, 1361]",FOUND,1
101,identifier = expression,"[220, 31, 25]",FOUND,3
107,= expression,"[405, 801, 1139, 1056]",FOUND,2
109,identifier,[559],FOUND,1
112,;,"[715, 982, 684, 1056]",FOUND,1
117,while parenthesized_expression statement,"[248, 244, 31, 25]",FOUND,11
123,( expression ),[1757],FOUND,1
124,( expression ),[452],FOUND,3
125,identifier = expression,[378],FOUND,7
127,= expression,"[527, 1031, 1077, 1856]",FOUND,13
129,identifier,[559],FOUND,1
136,( ),"[715, 982, 684, 1031]",FOUND,18
137,),[451],FOUND,4
138,),"[696, 668, 837, 982, 684, 1031]",FOUND,2
140,!= expression,"[664, 837, 1033]",FOUND,6
143,identifier,[618],FOUND,2
146,),"[715, 960, 684, 1033]",FOUND,1
151,{ statement },"[653, 366]",FOUND,3
158,if parenthesized_expression statement else_clause,[27],FOUND,6
161,( expression ),[1755],FOUND,1
162,identifier,[452],FOUND,1
164,!= expression,"[715, 1033]",FOUND,5
167,' character ',[618],FOUND,3
168,character ',[1618],FOUND,1
169,',[1562],FOUND,1
171,&& expression,"[690, 684, 960, 1033]",FOUND,3
174,identifier,[544],FOUND,1
176,!= expression,"[715, 976, 684, 1033]",FOUND,5
179,' escape_sequence ',[618],FOUND,5
180,escape_sequence ',[1618],FOUND,2
182,',[1562],FOUND,1
184,&& expression,"[690, 684, 960, 976, 1033]",FOUND,4
187,identifier,[544],FOUND,1
189,!= expression,"[715, 976, 684, 1033]",FOUND,5
192,' escape_sequence ',[618],FOUND,5
193,escape_sequence ',[1618],FOUND,2
195,',[1562],FOUND,1
196,),"[690, 684, 960, 976, 1033]",FOUND,1
203,{ preproc_if_repeat1 },"[653, 362]",FOUND,1
212,identifier,[27],FOUND,1
219,( expression ),"[405, 801, 1139, 1056]",FOUND,5
220,identifier,"[988, 1256, 451]",FOUND,1
221,),"[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,1
222,;,"[761, 770, 801, 1139, 1301, 1363, 1455, 1361, 693, 668, 837, 1056]",FOUND,1
231,identifier = expression,"[248, 244, 28, 310, 220]",FOUND,4
237,= expression,"[405, 801, 1139, 1056]",FOUND,2
239,identifier,[559],FOUND,1
241,;,"[715, 982, 684, 1056]",FOUND,1
248,},"[248, 244, 31, 28]",FOUND,1
255,else statement,"[173, 244, 147, 28]",FOUND,5
260,if parenthesized_expression statement,[373],FOUND,4
263,( expression ),[1755],FOUND,1
264,identifier,[452],FOUND,1
269,),"[715, 1033]",FOUND,1
276,{ preproc_if_repeat1 },"[653, 362]",FOUND,1
285,identifier,[27],FOUND,1
292,( expression ),"[405, 801, 1139, 1056]",FOUND,5
293,' escape_sequence ',"[988, 1256, 451]",FOUND,15
294,escape_sequence ',[1618],FOUND,2
296,',[1562],FOUND,1
297,),"[690, 684, 1018]",FOUND,2
298,;,"[693, 668, 837, 1056]",FOUND,1
307,identifier = expression,"[248, 244, 28]",FOUND,4
313,= expression,"[405, 801, 1139, 1056]",FOUND,2
315,identifier,[559],FOUND,1
318,;,"[715, 982, 684, 1056]",FOUND,1
325,},"[248, 244, 31, 28]",FOUND,1
330,},"[173, 244, 147, 234, 224, 28]",FOUND,1
337,return expression ;,"[173, 244, 198, 31, 25]",FOUND,7
344,number_literal,[475],FOUND,2
345,;,"[684, 1070]",FOUND,1
348,},"[199, 244, 31, 25]",FOUND,2
