Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
22,#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",FOUND,6
30,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
39,preproc_arg preproc_include_token2,[1528],FOUND,1
42,preproc_include_token2,[1877],FOUND,1
43,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
51,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
58,preproc_arg preproc_include_token2,[1528],FOUND,1
61,preproc_include_token2,[1877],FOUND,1
64,primitive_type,"[341, 43, 44, 1820]",FOUND,2
68,identifier,"[739, 796, 1128]",FOUND,1
72,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
73,primitive_type,[624],FOUND,1
77,),"[739, 720, 1118, 1598]",FOUND,3
80,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
85,primitive_type,[23],FOUND,2
89,identifier,"[739, 801, 1139]",FOUND,1
90,;,"[1363, 1455, 1361]",FOUND,1
95,primitive_type,"[220, 25]",FOUND,6
100,identifier,"[739, 801, 1139]",FOUND,1
110,[ expression ],"[1363, 1455, 1361]",FOUND,4
111,identifier,[420],FOUND,3
120,+ expression,"[827, 1071]",FOUND,2
122,identifier,[567],FOUND,2
128,],"[827, 1054, 684, 1071]",FOUND,1
129,;,"[1303, 1363, 1455, 1361]",FOUND,1
133,preproc_if_repeat1,"[220, 31, 25]",FOUND,6
181,for ( _for_statement_body ) statement,"[220, 31, 25]",FOUND,9
185,( _for_statement_body ) statement,[1970],FOUND,1
186,identifier = expression,[78],FOUND,1
188,= expression,"[410, 720, 1151, 1042]",FOUND,1
190,number_literal,[559],FOUND,2
191,; expression ; expression,"[684, 982, 1042]",FOUND,7
193,identifier,[479],FOUND,1
195,< expression,"[715, 1034]",FOUND,3
197,( expression ),[506],FOUND,4
198,identifier,[378],FOUND,1
207,+ expression,"[527, 1031, 1077, 1856]",FOUND,14
209,identifier,[533],FOUND,2
215,),"[715, 975, 684, 1031]",FOUND,1
216,; expression,"[664, 837, 985, 684, 1034]",FOUND,3
218,++ expression,"[469, 1922]",FOUND,4
220,identifier,[540],FOUND,1
221,) statement,"[715, 701, 684, 1027, 1922]",FOUND,1
226,{ statement },[333],FOUND,4
233,identifier,[27],FOUND,1
243,[ expression ],"[405, 801, 1139, 1056]",FOUND,8
244,identifier,[528],FOUND,1
245,],"[827, 1090]",FOUND,1
247,= expression,"[681, 837, 1056]",FOUND,2
249,number_literal,[559],FOUND,2
250,;,"[684, 982, 1056]",FOUND,1
255,},"[248, 244, 28]",FOUND,1
259,declaration,"[173, 244, 236, 31, 25]",FOUND,14
309,primitive_type,"[173, 244, 236, 31, 25]",FOUND,8
314,identifier,"[739, 801, 1139]",FOUND,1
315,;,"[1363, 1455, 1361]",FOUND,1
320,while parenthesized_expression statement,"[220, 31, 25]",FOUND,11
326,( expression ),[1757],FOUND,1
327,( expression ),[452],FOUND,3
328,identifier = expression,[378],FOUND,7
330,= expression,"[527, 1031, 1077, 1856]",FOUND,13
332,identifier,[559],FOUND,1
339,( ),"[715, 982, 684, 1031]",FOUND,18
340,),[451],FOUND,4
341,),"[696, 668, 837, 982, 684, 1031]",FOUND,2
343,!= expression,"[664, 837, 1033]",FOUND,6
346,identifier,[618],FOUND,2
349,),"[715, 960, 684, 1033]",FOUND,1
354,{ statement },"[653, 366]",FOUND,3
361,if parenthesized_expression statement else_clause,[27],FOUND,6
364,( expression ),[1755],FOUND,1
365,identifier,[452],FOUND,1
367,>= expression,"[715, 1033]",FOUND,15
370,' character ',[506],FOUND,3
371,character ',[1618],FOUND,1
372,',[1562],FOUND,1
374,&& expression,"[690, 684, 985, 1033]",FOUND,4
377,identifier,[544],FOUND,1
379,<= expression,"[715, 976, 684, 1033]",FOUND,16
382,' character ',[506],FOUND,3
383,character ',[1618],FOUND,1
384,',[1562],FOUND,1
385,),"[690, 684, 985, 976, 1033]",FOUND,1
392,{ statement },"[653, 362]",FOUND,5
401,++ expression,[27],FOUND,28
403,identifier,[540],FOUND,1
413,[ expression ],"[715, 701, 684, 1056]",FOUND,6
414,identifier,[528],FOUND,1
416,- expression,"[827, 1090]",FOUND,3
418,' character ',[567],FOUND,5
419,character ',[1618],FOUND,1
420,',[1562],FOUND,1
421,],"[690, 684, 1054, 1090]",FOUND,1
422,;,"[681, 837, 701, 684, 1056]",FOUND,1
