Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
58,preproc_include_token2,[1816],FOUND,1
60,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
68,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
75,preproc_arg preproc_include_token2,[1528],FOUND,1
79,preproc_include_token2,[1877],FOUND,1
81,primitive_type,"[341, 43, 44, 1820]",FOUND,2
85,identifier,"[739, 796, 1128]",FOUND,1
88,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
89,primitive_type,[624],FOUND,1
94,identifier,"[739, 720, 1118, 1598]",FOUND,2
98,[ ],"[1300, 1321, 1598]",FOUND,3
99,],[420],FOUND,1
100,", parameter_declaration","[1297, 1300, 1321, 1598]",FOUND,2
102,primitive_type,[649],FOUND,1
107,identifier,"[739, 720, 1118, 1748, 1601]",FOUND,2
111,[ ],"[1300, 1321, 1748, 1601]",FOUND,3
112,],[420],FOUND,1
113,),"[1297, 1300, 1321, 1748, 1601]",FOUND,1
114,;,"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,3
117,primitive_type,"[225, 43, 44, 1820]",FOUND,2
121,identifier,"[739, 796, 1128]",FOUND,1
125,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
126,primitive_type,[624],FOUND,1
130,),"[739, 720, 1118, 1598]",FOUND,3
132,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
136,primitive_type,[23],FOUND,2
141,identifier,"[739, 801, 1139]",FOUND,1
145,[ expression ],"[1363, 1455, 1361]",FOUND,4
146,identifier,[420],FOUND,3
152,],"[827, 1071]",FOUND,1
154,= expression,"[1303, 1363, 1455, 1361]",FOUND,2
156,""" string_content """,[459],FOUND,5
157,"string_content """,[1531],FOUND,1
166,"""",[1547],FOUND,1
167,;,"[627, 663, 684, 1032, 1592]",FOUND,1
171,primitive_type,"[221, 25]",FOUND,6
176,identifier,"[739, 801, 1139]",FOUND,1
180,[ expression ],"[1363, 1455, 1361]",FOUND,4
181,identifier,[420],FOUND,3
187,],"[827, 1071]",FOUND,1
189,= expression,"[1303, 1363, 1455, 1361]",FOUND,2
191,""" string_content """,[459],FOUND,5
192,"string_content """,[1531],FOUND,1
196,"""",[1547],FOUND,1
197,;,"[627, 663, 684, 1032, 1592]",FOUND,1
202,identifier,"[221, 31, 25]",FOUND,1
208,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
209,""" string_content ""","[988, 1256, 451]",FOUND,3
210,"string_content """,[1531],FOUND,1
212,"""",[1547],FOUND,1
213,", expression","[627, 663, 684, 1018]",FOUND,1
215,identifier,[476],FOUND,1
218,( expression argument_list_repeat1 ),"[715, 1025, 1572]",FOUND,10
219,identifier,[451],FOUND,1
223,", expression","[715, 1018]",FOUND,1
225,identifier,[476],FOUND,1
229,),"[715, 1025, 1572]",FOUND,1
230,),"[698, 668, 837, 1025, 1572]",FOUND,1
231,;,"[698, 668, 837, 1056]",FOUND,1
236,return expression ;,"[248, 244, 31, 25]",FOUND,7
243,number_literal,[475],FOUND,2
244,;,"[684, 1070]",FOUND,1
246,},"[199, 244, 31, 25]",FOUND,2
249,primitive_type,"[87, 339, 43, 44, 1820]",FOUND,2
253,identifier,"[739, 796, 1128]",FOUND,1
256,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
257,primitive_type,[624],FOUND,1
262,identifier,"[739, 720, 1118, 1598]",FOUND,2
266,[ ],"[1300, 1321, 1598]",FOUND,3
267,],[420],FOUND,1
268,", parameter_declaration","[1297, 1300, 1321, 1598]",FOUND,2
270,primitive_type,[649],FOUND,1
275,identifier,"[739, 720, 1118, 1748, 1601]",FOUND,2
279,[ ],"[1300, 1321, 1748, 1601]",FOUND,3
280,],[420],FOUND,1
281,),"[1297, 1300, 1321, 1748, 1601]",FOUND,1
283,{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,1
287,primitive_type,[23],FOUND,2
291,identifier,"[739, 801, 1139]",FOUND,1
292,", _declaration_declarator","[1363, 1455, 1361]",FOUND,3
