Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
22,primitive_type,"[361, 44, 1820]",FOUND,2
27,identifier,"[739, 796, 1128]",FOUND,1
32,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
33,primitive_type,[624],FOUND,1
38,identifier,"[739, 720, 1118, 1598]",FOUND,2
39,),"[1300, 1321, 1598]",FOUND,1
40,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
45,primitive_type,"[225, 43, 44, 1820]",FOUND,2
49,identifier,"[739, 796, 1128]",FOUND,1
53,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
54,primitive_type,[624],FOUND,1
58,),"[739, 720, 1118, 1598]",FOUND,3
61,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
66,primitive_type,[23],FOUND,2
71,identifier,"[739, 801, 1139]",FOUND,1
73,= expression,"[1363, 1455, 1361]",FOUND,2
75,' character ',[459],FOUND,18
76,character ',[1618],FOUND,1
77,',[1562],FOUND,1
78,;,"[690, 684, 1032, 1592]",FOUND,1
85,identifier,"[221, 25]",FOUND,1
92,( expression ),"[405, 801, 1139, 1056]",FOUND,5
93,identifier,"[988, 1256, 451]",FOUND,1
98,( expression ),"[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,5
99,identifier,"[988, 623, 451, 423]",FOUND,1
100,),"[754, 1077, 1813, 720, 1118, 1598, 715, 1018]",FOUND,1
101,),"[761, 770, 1077, 1813, 693, 668, 837, 1018, 1290, 1254, 1300, 1442, 1452, 1443, 1474]",FOUND,1
102,;,"[693, 668, 837, 1056, 1301, 1363, 1455, 1361, 761, 770, 801, 1139]",FOUND,1
109,return expression ;,"[248, 244, 31, 25, 310, 220]",FOUND,7
116,number_literal,[475],FOUND,2
117,;,"[684, 1070]",FOUND,1
120,},"[199, 244, 31, 25]",FOUND,2
125,primitive_type,"[87, 339, 43, 44, 1820]",FOUND,2
130,identifier,"[739, 796, 1128]",FOUND,1
135,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
136,primitive_type,[624],FOUND,1
141,identifier,"[739, 720, 1118, 1598]",FOUND,2
142,),"[1300, 1321, 1598]",FOUND,1
145,{ statement },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,5
150,return expression ;,[23],FOUND,5
157,( expression ),[475],FOUND,5
158,identifier,[378],FOUND,1
160,>= expression,"[527, 1031, 1077, 1856]",FOUND,25
163,' character ',[506],FOUND,3
164,character ',[1618],FOUND,1
165,',[1562],FOUND,1
167,&& expression,"[690, 684, 985, 1031]",FOUND,8
170,identifier,[544],FOUND,1
172,<= expression,"[715, 976, 684, 1031]",FOUND,17
175,' character ',[506],FOUND,3
176,character ',[1618],FOUND,1
177,',[1562],FOUND,1
178,),"[690, 684, 985, 976, 1031]",FOUND,1
180,? expression : expression,"[664, 837, 1070]",FOUND,9
182,identifier += expression,[470],NOT_FOUND,0
184,+= expression,"[715, 1045]",FOUND,5
187,' character ',[559],FOUND,5
188,character ',[1618],FOUND,1
189,',[1562],FOUND,1
191,- expression,"[690, 684, 982, 1045]",FOUND,8
193,' character ',[533],FOUND,4
194,character ',[1618],FOUND,1
195,',[1562],FOUND,1
197,: expression,"[690, 684, 975, 982, 1045]",FOUND,7
199,identifier,[507],FOUND,1
200,;,"[715, 978, 684, 1070]",FOUND,1
203,},"[199, 244, 25]",FOUND,2
