Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
20,static,"[361, 44, 1820]",FOUND,1
27,primitive_type,"[722, 695]",FOUND,1
32,identifier,"[739, 719, 1128]",FOUND,1
47,[ ],"[1363, 1458, 1356]",FOUND,7
48,],[420],FOUND,1
50,= initializer_list,"[1297, 1363, 1458, 1356]",FOUND,6
52,{ expression initializer_list_repeat1 },[459],FOUND,3
53,number_literal,[432],FOUND,1
54,", expression","[684, 1015]",FOUND,1
56,number_literal,[442],FOUND,1
58,", expression","[684, 1030, 1660]",FOUND,1
60,number_literal,[441],FOUND,1
62,", expression","[684, 1030, 1597, 1660]",FOUND,1
64,number_literal,[441],FOUND,1
66,", expression","[684, 1030, 1597, 1660]",FOUND,1
68,number_literal,[441],FOUND,1
70,", expression","[684, 1030, 1597, 1660]",FOUND,1
72,number_literal,[441],FOUND,1
74,", expression","[684, 1030, 1597, 1660]",FOUND,1
76,number_literal,[441],FOUND,1
78,", expression","[684, 1030, 1597, 1660]",FOUND,1
80,number_literal,[441],FOUND,1
82,", expression","[684, 1030, 1597, 1660]",FOUND,1
84,number_literal,[441],FOUND,1
86,", expression","[684, 1030, 1597, 1660]",FOUND,1
88,number_literal,[441],FOUND,1
90,", expression","[684, 1030, 1597, 1660]",FOUND,1
92,number_literal,[441],FOUND,1
94,", expression","[684, 1030, 1597, 1660]",FOUND,1
96,number_literal,[441],FOUND,1
98,", expression","[684, 1030, 1597, 1660]",FOUND,1
100,number_literal,[441],FOUND,1
102,},"[684, 1030, 1597, 1660]",FOUND,2
103,;,"[671, 1754, 1606]",FOUND,1
105,static,"[226, 43, 44, 1820]",FOUND,1
112,primitive_type,"[722, 695]",FOUND,1
117,identifier,"[739, 719, 1128]",FOUND,1
137,[ ],"[1363, 1458, 1356]",FOUND,7
138,],[420],FOUND,1
140,= initializer_list,"[1297, 1363, 1458, 1356]",FOUND,6
142,{ expression initializer_list_repeat1 },[459],FOUND,3
143,number_literal,[432],FOUND,1
144,", expression","[684, 1015]",FOUND,1
146,number_literal,[442],FOUND,1
148,", expression","[684, 1030, 1660]",FOUND,1
150,number_literal,[441],FOUND,1
152,", expression","[684, 1030, 1597, 1660]",FOUND,1
154,number_literal,[441],FOUND,1
156,", expression","[684, 1030, 1597, 1660]",FOUND,1
158,number_literal,[441],FOUND,1
160,", expression","[684, 1030, 1597, 1660]",FOUND,1
162,number_literal,[441],FOUND,1
164,", expression","[684, 1030, 1597, 1660]",FOUND,1
166,number_literal,[441],FOUND,1
168,", expression","[684, 1030, 1597, 1660]",FOUND,1
170,number_literal,[441],FOUND,1
172,", expression","[684, 1030, 1597, 1660]",FOUND,1
174,number_literal,[441],FOUND,1
176,", expression","[684, 1030, 1597, 1660]",FOUND,1
178,number_literal,[441],FOUND,1
180,", expression","[684, 1030, 1597, 1660]",FOUND,1
182,number_literal,[441],FOUND,1
184,", expression","[684, 1030, 1597, 1660]",FOUND,1
186,number_literal,[441],FOUND,1
188,", expression","[684, 1030, 1597, 1660]",FOUND,1
190,number_literal,[441],FOUND,1
192,},"[684, 1030, 1597, 1660]",FOUND,2
193,;,"[671, 1754, 1606]",FOUND,1
196,static,"[226, 43, 44, 1820]",FOUND,1
203,primitive_type,"[722, 695]",FOUND,1
208,* _declarator,"[739, 719, 1128]",FOUND,2
209,identifier,[949],FOUND,1
215,[ expression ],"[1300, 1291, 1363, 1458, 1356]",FOUND,10
216,number_literal,[420],FOUND,2
217,],"[684, 1071]",FOUND,1
219,= initializer_list,"[1303, 1300, 1291, 1363, 1458, 1356]",FOUND,7
221,{ expression initializer_list_repeat1 },[459],FOUND,3
222,identifier,[432],FOUND,3
237,", expression","[794, 1015]",FOUND,1
239,identifier,[442],FOUND,2
259,},"[794, 1030, 1660]",FOUND,2
260,;,"[671, 1754, 1606]",FOUND,1
263,primitive_type,"[226, 43, 44, 1820]",FOUND,2
267,identifier,"[739, 796, 1128]",FOUND,1
278,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
279,primitive_type,[624],FOUND,1
283,identifier,"[739, 720, 1118, 1598]",FOUND,2
287,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
289,primitive_type,[649],FOUND,1
293,identifier,"[739, 720, 1118, 1748, 1601]",FOUND,2
298,", parameter_declaration","[1300, 1321, 1748, 1601]",FOUND,2
300,primitive_type,[649],FOUND,1
304,identifier,"[739, 720, 1118, 1748, 1669, 1601]",FOUND,2
