Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
58,preproc_include_token2,[1816],FOUND,1
59,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
68,system_lib_string preproc_include_token2,[1392],FOUND,1
77,preproc_include_token2,[1816],FOUND,1
79,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
87,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
100,preproc_arg preproc_include_token2,[1528],FOUND,1
102,preproc_include_token2,[1877],FOUND,1
103,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
111,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
118,preproc_arg preproc_include_token2,[1528],FOUND,1
120,preproc_include_token2,[1877],FOUND,1
122,typedef _type_definition_type _type_definition_declarators ;,"[341, 43, 44, 1820]",FOUND,26
130,enum enumerator_list,[993],FOUND,6
135,{ enumerator_list_repeat1 enumerator },[1666],FOUND,1
139,identifier,[1296],FOUND,2
144,",","[1640, 1718]",FOUND,2
148,identifier,"[1485, 1308]",FOUND,1
153,},"[1640, 1734]",FOUND,3
155,identifier,"[771, 1050, 770, 1115, 1265]",FOUND,1
162,;,"[1417, 1338, 1503]",FOUND,1
165,identifier,"[247, 43, 44, 1820]",FOUND,4
173,identifier,"[408, 796, 1128, 1101]",FOUND,1
187,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
188,primitive_type,[624],FOUND,1
192,identifier,"[739, 720, 1118, 1598]",FOUND,2
196,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
198,primitive_type,[649],FOUND,1
203,* _declarator,"[739, 720, 1118, 1748, 1601]",FOUND,1
204,identifier,"[788, 1443, 1393, 1748, 1601]",FOUND,1
208,[ ],"[1300, 1366, 1321, 1748, 1601]",FOUND,3
209,],[420],FOUND,1
210,),"[1297, 1300, 1366, 1321, 1748, 1601]",FOUND,1
211,;,"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,3
213,primitive_type,"[225, 43, 44, 1820]",FOUND,2
217,identifier,"[739, 796, 1128]",FOUND,1
225,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
226,primitive_type,[624],FOUND,1
230,identifier,"[739, 720, 1118, 1598]",FOUND,2
231,),"[1300, 1321, 1598]",FOUND,1
232,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
235,identifier,"[225, 43, 44, 1820]",FOUND,4
243,identifier,"[408, 796, 1128, 1101]",FOUND,1
249,= expression,"[1363, 1458, 1356]",FOUND,8
251,true,[459],FOUND,20
255,;,"[684, 1032, 1606]",FOUND,1
258,primitive_type,"[226, 43, 44, 1820]",FOUND,2
262,identifier,"[739, 796, 1128]",FOUND,1
266,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
267,primitive_type,[624],FOUND,1
271,identifier,"[739, 720, 1118, 1598]",FOUND,2
275,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
277,primitive_type,[649],FOUND,1
282,* _declarator,"[739, 720, 1118, 1748, 1601]",FOUND,1
283,identifier,"[788, 1443, 1393, 1748, 1601]",FOUND,1
287,[ ],"[1300, 1366, 1321, 1748, 1601]",FOUND,3
288,],[420],FOUND,1
289,),"[1297, 1300, 1366, 1321, 1748, 1601]",FOUND,1
291,{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,1
295,if parenthesized_expression statement,[23],FOUND,4
298,( expression ),[1755],FOUND,1
299,! expression,[452],FOUND,2
300,identifier,[541],FOUND,1
314,( expression argument_list_repeat1 ),"[715, 691, 684, 1033]",FOUND,10
315,identifier,[451],FOUND,1
319,", expression","[715, 1018]",FOUND,1
321,identifier,[476],FOUND,1
325,),"[715, 1025, 1572]",FOUND,1
326,),"[698, 668, 837, 691, 684, 1033]",FOUND,1
330,{ preproc_if_repeat1 },"[653, 362]",FOUND,1
336,identifier,[27],FOUND,1
340,( expression ),"[405, 801, 1139, 1056]",FOUND,5
341,""" string_content ""","[988, 1256, 451]",FOUND,3
342,"string_content """,[1531],FOUND,1
367,"""",[1547],FOUND,1
