Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
57,preproc_include_token2,[1816],FOUND,1
59,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
67,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
82,preproc_arg preproc_include_token2,[1528],FOUND,1
85,preproc_include_token2,[1877],FOUND,1
86,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
94,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
106,preproc_arg preproc_include_token2,[1528],FOUND,1
110,preproc_include_token2,[1877],FOUND,1
112,primitive_type,"[341, 43, 44, 1820]",FOUND,2
117,identifier,"[739, 796, 1128]",FOUND,1
121,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
122,primitive_type,[624],FOUND,1
128,),"[739, 720, 1118, 1598]",FOUND,3
129,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
131,primitive_type,"[225, 43, 44, 1820]",FOUND,2
138,identifier,"[739, 796, 1128]",FOUND,1
141,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
142,primitive_type,[624],FOUND,1
146,),"[739, 720, 1118, 1598]",FOUND,3
147,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
150,primitive_type,"[225, 43, 44, 1820]",FOUND,2
154,identifier,"[739, 796, 1128]",FOUND,1
157,= expression,"[1363, 1458, 1356]",FOUND,8
159,number_literal,[459],FOUND,2
160,;,"[684, 1032, 1606]",FOUND,1
162,primitive_type,"[226, 43, 44, 1820]",FOUND,2
169,identifier,"[739, 796, 1128]",FOUND,1
174,[ expression ],"[1363, 1458, 1356]",FOUND,10
175,identifier,[420],FOUND,3
189,],"[827, 1071]",FOUND,1
190,;,"[1303, 1363, 1458, 1356]",FOUND,3
193,primitive_type,"[225, 43, 44, 1820]",FOUND,2
197,identifier,"[739, 796, 1128]",FOUND,1
201,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
202,primitive_type,[624],FOUND,1
206,identifier,"[739, 720, 1118, 1598]",FOUND,2
210,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
212,primitive_type,[649],FOUND,1
217,* _declarator,"[739, 720, 1118, 1748, 1601]",FOUND,1
218,identifier,"[788, 1443, 1393, 1748, 1601]",FOUND,1
222,[ ],"[1300, 1366, 1321, 1748, 1601]",FOUND,3
223,],[420],FOUND,1
224,),"[1297, 1300, 1366, 1321, 1748, 1601]",FOUND,1
226,{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,1
230,primitive_type,[23],FOUND,2
235,identifier,"[739, 801, 1139]",FOUND,1
236,;,"[1363, 1455, 1361]",FOUND,1
240,primitive_type,"[220, 25]",FOUND,6
247,identifier,"[739, 801, 1139]",FOUND,1
250,;,"[1363, 1455, 1361]",FOUND,1
254,primitive_type,"[220, 31, 25]",FOUND,8
259,identifier,"[739, 801, 1139]",FOUND,1
262,[ expression ],"[1363, 1455, 1361]",FOUND,4
263,identifier,[420],FOUND,3
274,],"[827, 1071]",FOUND,1
275,;,"[1303, 1363, 1455, 1361]",FOUND,1
280,while parenthesized_expression statement,"[220, 31, 25]",FOUND,11
286,( expression ),[1757],FOUND,1
287,identifier,[452],FOUND,1
292,( expression argument_list_repeat1 ),"[715, 1033]",FOUND,12
293,""" string_content """,[451],FOUND,3
294,"string_content """,[1531],FOUND,1
296,"""",[1547],FOUND,1
297,", expression","[627, 663, 684, 1018]",FOUND,1
299,identifier,[476],FOUND,1
302,),"[715, 1025, 1572]",FOUND,1
304,!= expression,"[698, 668, 837, 1033]",FOUND,6
307,identifier,[618],FOUND,2
310,),"[715, 960, 684, 1033]",FOUND,1
314,{ statement },"[653, 366]",FOUND,3
320,if parenthesized_expression statement else_clause,[27],FOUND,6
323,( expression ),[1755],FOUND,1
324,identifier,[452],FOUND,1
330,( expression argument_list_repeat1 ),"[715, 1033]",FOUND,12
331,identifier,[451],FOUND,1
334,", expression","[715, 1018]",FOUND,1
336,""" string_content """,[476],FOUND,4
337,"string_content """,[1531],FOUND,1
340,"""",[1547],FOUND,1
