Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
58,preproc_include_token2,[1816],FOUND,1
59,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
68,system_lib_string preproc_include_token2,[1392],FOUND,1
78,preproc_include_token2,[1816],FOUND,1
80,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
88,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
104,preproc_arg preproc_include_token2,[1528],FOUND,1
108,preproc_include_token2,[1877],FOUND,1
110,typedef _type_definition_type _type_definition_declarators ;,"[341, 43, 44, 1820]",FOUND,26
118,long,[993],FOUND,11
123,identifier,"[1114, 770, 1115, 1265]",FOUND,1
128,;,"[1131, 770, 1115, 1265, 1417, 1338, 1503]",FOUND,1
131,union identifier field_declaration_list,"[247, 43, 44, 1820]",FOUND,72
137,identifier field_declaration_list,[1506],FOUND,3
144,{ preproc_if_in_field_declaration_list_repeat1 },"[705, 770, 796, 1128]",FOUND,7
148,struct field_declaration_list,[447],FOUND,11
157,{ preproc_if_in_field_declaration_list_repeat1 },[1408],FOUND,3
163,union identifier,[447],FOUND,14
169,identifier,[1506],FOUND,1
176,* _field_declarator,"[705, 770, 720, 1275]",FOUND,3
177,identifier,[953],FOUND,1
189,;,"[1378, 1318, 1382, 1304, 1536]",FOUND,1
195,primitive_type,"[880, 450]",FOUND,1
202,identifier,"[739, 720, 1275]",FOUND,1
206,;,"[1378, 1304, 1536]",FOUND,1
210,},"[880, 445, 450]",FOUND,2
212,identifier,"[774, 733, 770, 720, 1275]",FOUND,1
213,;,"[1378, 1304, 1536]",FOUND,1
217,identifier,"[880, 450]",FOUND,5
223,identifier,"[754, 720, 1275]",FOUND,2
224,;,"[1378, 1304, 1536]",FOUND,1
226,},"[880, 445, 450]",FOUND,2
256,},"[880, 445, 450]",FOUND,2
257,;,"[774, 730, 770, 796, 1128]",FOUND,3
260,typedef _type_definition_type _type_definition_declarators ;,"[330, 43, 44, 1820]",FOUND,26
268,union identifier,[993],NOT_FOUND,0
274,identifier,[1506],FOUND,1
281,identifier,"[705, 770, 1115, 1265]",FOUND,1
287,;,"[1417, 1338, 1503]",FOUND,1
290,static,"[247, 43, 44, 1820]",FOUND,1
297,identifier,"[722, 695]",FOUND,2
304,identifier,"[754, 719, 1128]",FOUND,1
308,;,"[1363, 1458, 1356]",FOUND,3
310,static,"[225, 43, 44, 1820]",FOUND,1
317,identifier,"[722, 695]",FOUND,2
324,* _declarator,"[754, 719, 1128]",FOUND,3
325,identifier,[949],FOUND,1
332,= expression,"[1300, 1291, 1363, 1458, 1356]",FOUND,8
334,NULL,[459],FOUND,4
338,;,"[680, 684, 1032, 1606]",FOUND,1
341,primitive_type,"[226, 43, 44, 1820]",FOUND,2
346,identifier,"[739, 796, 1128]",FOUND,1
352,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
353,primitive_type,[624],FOUND,1
358,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
359,identifier,"[788, 1443, 1393, 1598]",FOUND,1
362,),"[1300, 1366, 1321, 1598]",FOUND,1
363,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
365,primitive_type,"[225, 43, 44, 1820]",FOUND,2
370,* _declarator,"[739, 796, 1128]",FOUND,2
371,identifier,[949],FOUND,1
379,( parameter_declaration ),"[1300, 1291, 1363, 1458, 1356]",FOUND,2
380,primitive_type,[623],FOUND,1
387,identifier,"[739, 720, 1118, 1598]",FOUND,2
398,),"[1300, 1321, 1598]",FOUND,1
399,;,"[1290, 1254, 1300, 1291, 1363, 1458, 1356]",FOUND,4
401,primitive_type,"[225, 43, 44, 1820]",FOUND,2
406,* _declarator,"[739, 796, 1128]",FOUND,2
407,identifier,[949],FOUND,1
415,( parameter_declaration parameter_list_repeat1 ),"[1300, 1291, 1363, 1458, 1356]",FOUND,3
416,primitive_type,[623],FOUND,1
423,identifier,"[739, 720, 1118, 1598]",FOUND,2
435,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
437,primitive_type,[649],FOUND,1
444,identifier,"[739, 720, 1118, 1748, 1601]",FOUND,2
