File Name,Total Queries,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%)
detab.c,76,60.53,77.63,84.21,88.16,93.42
histogram.c,391,54.73,77.24,84.14,92.07,95.91
copy_io.c,62,56.45,77.42,87.1,91.94,96.77
count_b_t_n.c,104,52.88,77.88,89.42,94.23,96.15
verify_expression.c,26,57.69,80.77,88.46,88.46,92.31
longest_line.c,284,53.52,80.63,88.38,95.42,96.83
frequency_histogram.c,229,56.33,74.67,84.72,92.58,97.38
c_remove_comments.c,418,50.96,78.71,87.08,95.45,98.56
celsius_fahrenheit.c,100,45.0,80.0,89.0,94.0,96.0
temperature_conversion.c,120,47.5,80.0,90.0,93.33,95.83
copy_io_nl.c,94,57.45,78.72,90.43,93.62,96.81
fahrenheit_celsius.c,102,45.1,79.41,89.22,94.12,96.08
reverse.c,325,52.62,78.46,86.46,93.85,97.23
hello_world.c,21,57.14,85.71,95.24,95.24,95.24
celsius_fahrenheit.c,100,46.0,81.0,89.0,95.0,96.0
entab.c,125,57.6,80.0,85.6,87.2,91.2
word_count_test.c,138,52.17,76.81,86.96,94.2,97.1
check_syntax.c,664,50.6,78.31,87.2,92.47,96.23
trailing_blanks.c,241,52.7,80.91,87.97,95.85,98.34
copy_io_esc_replace.c,112,57.14,76.79,83.04,85.71,92.86
fold_line.c,402,50.5,80.35,88.06,96.02,97.76
print_eof.c,22,63.64,86.36,95.45,95.45,95.45
printf_argument.c,21,57.14,85.71,95.24,95.24,95.24
line_80.c,166,54.82,81.93,89.76,96.39,98.8
cross_referencer.c,1040,58.75,80.0,90.0,95.38,97.6
var_group.c,1331,57.7,79.94,89.41,94.06,96.92
define.c,1629,59.48,80.6,87.54,92.45,94.17
words_frequency.c,1016,55.12,77.85,87.3,93.01,94.88
count_c_keywords.c,1007,57.7,79.64,89.28,94.24,97.02
undef.c,676,58.14,78.7,89.35,94.53,96.45
dcl.c,832,57.45,78.25,85.34,90.02,91.83
entab.c,543,55.43,75.69,83.79,89.5,93.37
detab.c,527,55.22,75.52,83.68,90.13,93.93
getint.c,440,56.59,76.82,83.86,92.5,95.68
strend.c,164,62.2,83.54,88.41,95.73,98.78
tail.c,684,55.26,77.92,86.4,91.81,94.44
dcl.c,1447,55.7,77.75,85.56,90.12,92.12
entab.c,371,56.6,76.55,85.18,90.03,92.99
detab.c,344,56.4,75.58,84.88,90.41,93.6
expr.c,414,56.28,75.36,83.82,91.3,93.0
strncat.c,116,60.34,81.9,86.21,93.1,96.55
strncpy.c,98,60.2,82.65,84.69,91.84,93.88
strncmp.c,170,60.0,80.59,88.82,95.29,96.47
readlines.c,600,54.17,79.83,86.67,93.0,96.33
date_conversion.c,528,51.52,82.58,86.93,93.75,96.02
getfloat.c,383,56.14,76.5,83.81,92.43,96.61
sort.c,1902,53.89,78.02,85.28,92.9,95.06
strcat.c,99,59.6,76.77,85.86,93.94,95.96
atoi.c,108,58.33,80.56,89.81,96.3,98.15
reverse.c,108,59.26,80.56,85.19,94.44,96.3
getop.c,205,55.12,77.07,84.39,93.66,98.05
itoa.c,184,57.61,80.98,85.33,92.93,95.11
getline.c,83,57.83,78.31,86.75,87.95,93.98
strindex.c,145,59.31,80.69,89.66,97.24,99.31
sort.c,1189,54.58,76.45,84.86,91.34,94.03
sort.c,1066,55.07,77.02,85.08,90.99,93.81
undcl.c,729,57.06,79.42,85.05,88.75,90.53
date_conversion_pointers.c,542,51.48,82.47,86.9,94.1,96.13
sort.c,1039,55.05,77.19,84.99,90.95,93.65
squeeze.c,165,53.94,79.39,87.88,96.36,98.18
loop.c,116,53.45,81.9,90.52,98.28,99.14
bitcount.c,174,54.02,73.56,78.74,89.08,93.1
rightrot.c,221,48.42,69.23,74.21,85.52,90.05
setbits.c,147,44.9,78.91,82.99,85.03,89.12
any.c,151,56.29,80.13,90.73,97.35,99.34
invert.c,118,47.46,78.81,83.9,84.75,88.98
htoi.c,365,53.15,75.62,84.66,91.78,95.62
types_ranges.c,251,51.79,76.49,87.65,87.65,89.64
lower.c,70,55.71,75.71,84.29,88.57,92.86
print.c,330,56.06,76.36,86.36,93.94,97.88
calculator.c,375,54.13,72.53,82.13,89.6,91.73
print.c,291,57.04,78.35,85.57,91.75,93.47
compare.c,308,55.19,77.6,85.71,91.23,92.53
find.c,460,52.61,72.17,81.09,88.7,90.87
isupper.c,146,62.33,74.66,86.3,91.78,95.21
case.c,202,58.42,77.23,87.62,94.06,96.04
expand.c,365,52.05,76.71,87.12,93.97,96.99
itob.c,348,51.72,79.89,87.93,94.83,96.26
binsearch.c,551,52.09,82.21,87.3,95.64,97.64
itoa.c,319,52.98,82.76,88.09,94.36,95.3
itoa.c,250,50.8,82.0,88.4,94.8,95.6
escape.c,893,44.23,73.46,85.78,96.98,98.54
ungets.c,294,56.12,78.91,88.44,93.54,95.58
math.c,890,55.62,73.48,81.69,89.1,91.46
calculator.c,1103,54.94,74.34,82.86,90.48,92.66
atof.c,449,52.78,76.61,84.19,91.31,94.65
calculator.c,641,54.45,72.7,81.75,90.48,93.45
getch.c,132,55.3,82.58,90.91,94.7,95.45
getop.c,575,54.61,73.22,81.91,90.61,93.57
itoa.c,167,52.1,80.84,85.63,92.22,93.41
strindex.c,291,52.23,80.41,90.03,96.22,97.94
getch.c,130,56.92,76.92,85.38,92.31,94.62
variables.c,1035,55.46,73.62,82.13,89.66,91.88
reverse.c,118,56.78,81.36,89.83,93.22,94.07
stack.c,825,56.12,74.79,82.91,90.67,92.97
swap.c,66,56.06,87.88,92.42,92.42,93.94
syscalls.c,698,49.28,77.22,88.4,92.98,96.42
syscalls.h,164,56.71,86.59,88.41,93.9,99.39
syscalls.c,1156,51.21,77.16,88.41,92.99,96.63
syscalls.h,220,57.73,86.82,87.73,92.73,96.82
fsize.c,901,57.16,79.36,86.24,90.23,93.9
