Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,2",function_definition,"[0, 539]",0
"4,2",function_definition,"[0, 539]",0
"5,2",function_definition,"[0, 539]",0
"7,1",primitive_type,"[361, 44, 1820]",2
"7,5",identifier,"[739, 796, 1128]",1
"7,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"7,10",primitive_type,[624],1
"7,14",),"[739, 720, 1118, 1598]",4
"8,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"9,3",primitive_type,[23],1
"9,9",identifier,"[739, 801, 1139]",1
"9,16",", _declaration_declarator","[1363, 1455, 1361]",4
"9,18",identifier,[1148],1
"9,22",;,"[1363, 1477, 1617, 1457]",1
"10,3",primitive_type,"[229, 25]",6
"10,7",identifier,"[739, 801, 1139]",1
"10,12",", _declaration_declarator","[1363, 1455, 1361]",4
"10,14",identifier,[1148],1
"10,19",", _declaration_declarator","[1363, 1477, 1617, 1457]",2
"10,21",identifier,[1148],1
"10,25",;,"[1363, 1477, 1623, 1617, 1457]",1
"12,3",identifier = expression,"[229, 31, 25]",3
"12,9",= expression,"[405, 801, 1139, 1056]",2
"12,11",number_literal,[559],2
"12,12",;,"[684, 982, 1056]",1
"13,3",identifier = expression,"[248, 244, 31, 25]",3
"13,9",= expression,"[405, 801, 1139, 1056]",2
"13,11",number_literal,[559],2
"13,14",;,"[684, 982, 1056]",1
"14,3",identifier = expression,"[248, 244, 31, 25]",3
"14,8",= expression,"[405, 801, 1139, 1056]",2
"14,10",number_literal,[559],2
"14,12",;,"[684, 982, 1056]",1
"16,3",identifier,"[248, 244, 31, 25]",4
"16,9",( expression ),"[405, 801, 1139, 1056]",6
"16,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"16,11",string_content escape_sequence,[1531],2
"16,18",escape_sequence,[1547],2
"16,20",string_content,"[1554, 1547]",3
"16,24",escape_sequence,"[1554, 1547]",2
"16,26","""","[1554, 1547]",1
"16,27",),"[627, 663, 684, 1018]",1
"16,28",;,"[693, 668, 837, 1056]",1
"17,3",identifier,"[248, 244, 31, 25]",4
"17,9",( expression ),"[405, 801, 1139, 1056]",6
"17,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"17,11",string_content escape_sequence,[1531],2
"17,26",escape_sequence,[1547],2
"17,28","""","[1554, 1547]",1
"17,29",),"[627, 663, 684, 1018]",1
"17,30",;,"[693, 668, 837, 1056]",1
"19,3",for ( _for_statement_body ) statement,"[248, 244, 31, 25]",7
"19,7",( _for_statement_body ) statement,[1970],1
"19,8",identifier = expression,[78],1
"19,16",= expression,"[410, 720, 1151, 1042]",2
"19,18",identifier,[559],1
"19,23",; expression ; expression,"[715, 982, 684, 1042]",4
"19,25",identifier,[479],1
"19,33",>= expression,"[715, 1034]",12
"19,36",identifier,[506],1
"19,41",; expression,"[715, 985, 684, 1034]",1
"19,43",identifier = expression,"[469, 1922]",3
"19,51",= expression,"[715, 1027, 1922]",2
"19,53",identifier,[559],1
"19,61",- expression,"[715, 982, 684, 1027, 1922]",11
"19,63",identifier,[533],1
"19,67",) statement,"[715, 975, 684, 982, 1027, 1922]",4
"20,3",{ preproc_if_repeat1 },[333],1
"21,5",identifier = expression,[27],1
"21,10",= expression,"[405, 801, 1139, 1056]",2
"21,12",( expression ),[559],6
"21,13",number_literal,[378],2
"21,17",/ expression,"[684, 1031]",0
"21,19",number_literal,[539],2
"21,22",),"[684, 697, 1031]",1
"21,24",* expression,"[664, 837, 982, 684, 1056]",16
"21,26",identifier,[539],1
"21,34",+ expression,"[715, 697, 684, 982, 1056]",8
"21,36",number_literal,[533],2
"21,41",;,"[684, 975, 982, 1056]",1
"22,5",identifier,"[248, 244, 28]",4
"22,11",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",4
"22,12",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"22,13",string_content escape_sequence,[1531],2
"22,18",escape_sequence,[1547],2
"22,20",escape_sequence string_content,"[1554, 1547]",0
"22,22",string_content,"[1554, 1547]",3
"22,27",escape_sequence,"[1554, 1547]",2
"22,29","""","[1554, 1547]",1
"22,30",", expression","[627, 663, 684, 1018]",2
"22,32",identifier,[476],1
"22,39",", expression","[715, 1025, 1572]",2
"22,41",identifier,[476],1
"22,45",),"[715, 1025, 1668, 1572]",1
"22,46",;,"[698, 668, 837, 1056]",1
"23,3",},"[248, 244, 31, 28]",1
"25,3",return expression ;,"[173, 244, 236, 31, 25]",5
"25,10",number_literal,[475],2
"25,11",;,"[684, 1070]",1
"26,1",},"[199, 244, 31, 25]",1
