Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",5
"3,9",identifier preproc_arg preproc_include_token2,[1879],1
"3,13",preproc_arg preproc_include_token2,[1528],1
"4,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",5
"4,9",identifier preproc_arg preproc_include_token2,[1879],1
"4,12",preproc_arg preproc_include_token2,[1528],1
"5,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"6,1",primitive_type,"[341, 43, 44, 1820]",2
"6,5",identifier,"[739, 796, 1128]",1
"6,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"6,10",primitive_type,[624],1
"6,14",),"[739, 720, 1118, 1598]",4
"7,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"8,3",primitive_type,[23],1
"8,8",identifier,"[739, 801, 1139]",1
"8,9",;,"[1363, 1455, 1361]",1
"9,3",primitive_type,"[220, 25]",6
"9,7",identifier,"[739, 801, 1139]",1
"9,12",;,"[1363, 1455, 1361]",1
"11,3",identifier = expression,"[220, 31, 25]",4
"11,9",= expression,"[405, 801, 1139, 1056]",2
"11,11",identifier,[559],1
"11,14",;,"[715, 982, 684, 1056]",1
"12,3",while parenthesized_expression statement,"[248, 244, 31, 25]",10
"12,9",( expression ),[1757],1
"12,10",( expression ),[452],4
"12,11",identifier = expression,[378],5
"12,13",= expression,"[527, 1031, 1077, 1856]",11
"12,15",identifier,[559],1
"12,22",( ),"[715, 982, 684, 1031]",17
"12,23",),[451],4
"12,24",),"[696, 668, 837, 982, 684, 1031]",2
"12,26",!= expression,"[664, 837, 1033]",6
"12,29",identifier,[618],1
"12,32",),"[715, 960, 684, 1033]",1
"13,3",{ statement },"[653, 366]",4
"14,5",if parenthesized_expression statement else_clause,[27],6
"14,8",( expression ),[1755],1
"14,9",identifier,[452],1
"14,11",!= expression,"[715, 1033]",5
"14,14",' character ',[618],3
"14,15",character ',[1618],1
"14,16",',[1562],1
"14,18",&& expression,"[690, 684, 960, 1033]",3
"14,21",identifier,[544],1
"14,23",!= expression,"[715, 976, 684, 1033]",5
"14,26",' escape_sequence ',[618],5
"14,27",escape_sequence ',[1618],2
"14,29",',[1562],1
"14,31",&& expression,"[690, 684, 960, 976, 1033]",3
"14,34",identifier,[544],1
"14,36",!= expression,"[715, 976, 684, 1033]",5
"14,39",' escape_sequence ',[618],5
"14,40",escape_sequence ',[1618],2
"14,42",',[1562],1
"14,43",),"[690, 684, 960, 976, 1033]",1
"15,5",{ preproc_if_repeat1 },"[653, 362]",1
"17,7",identifier = expression,"[248, 244, 28, 310, 220]",3
"17,13",= expression,"[405, 801, 1139, 1056]",2
"17,15",identifier,[559],1
"17,17",;,"[715, 982, 684, 1056]",1
"18,5",},"[248, 244, 31, 28]",1
"19,5",else statement,"[173, 244, 147, 28]",4
"19,10",if parenthesized_expression statement,[373],4
"19,13",( expression ),[1755],1
"19,14",identifier,[452],1
"19,19",),"[715, 1033]",1
"20,5",{ preproc_if_repeat1 },"[653, 362]",1
"21,14",( expression ),"[405, 801, 1139, 1056]",6
"21,15",' escape_sequence ',"[988, 1256, 451]",12
"21,16",escape_sequence ',[1618],2
"21,18",',[1562],1
"21,19",),"[690, 684, 1018]",2
"21,20",;,"[693, 668, 837, 1056]",1
"22,7",identifier = expression,"[248, 244, 28]",3
"22,13",= expression,"[405, 801, 1139, 1056]",2
"22,15",identifier,[559],1
"22,18",;,"[715, 982, 684, 1056]",1
"23,5",},"[248, 244, 31, 28]",1
"24,3",},"[173, 244, 147, 234, 224, 28]",1
"26,3",return expression ;,"[173, 244, 198, 31, 25]",5
"26,10",number_literal,[475],2
"26,11",;,"[684, 1070]",1
"27,1",},"[199, 244, 31, 25]",1
