Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",5
"3,9",identifier preproc_arg preproc_include_token2,[1879],1
"3,14",preproc_arg preproc_include_token2,[1528],1
"4,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",5
"4,9",identifier preproc_arg preproc_include_token2,[1879],1
"4,15",preproc_arg preproc_include_token2,[1528],1
"5,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"6,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",5
"6,9",identifier preproc_arg preproc_include_token2,[1879],1
"6,16",preproc_arg preproc_include_token2,[1528],1
"7,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"8,1",primitive_type,"[341, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"8,10",primitive_type,[624],1
"8,14",),"[739, 720, 1118, 1598]",4
"9,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"10,3",primitive_type,[23],1
"10,7",identifier,"[739, 801, 1139]",1
"10,16",[ expression ],"[1363, 1455, 1361]",4
"10,17",identifier,[420],3
"10,23",],"[827, 1071]",1
"10,24",;,"[1303, 1363, 1455, 1361]",1
"11,3",primitive_type,"[220, 25]",6
"11,7",identifier,"[739, 801, 1139]",1
"11,24",= expression,"[1363, 1455, 1361]",2
"11,26",number_literal,[459],2
"11,27",;,"[684, 1032, 1592]",1
"13,3",primitive_type,"[221, 31, 25]",6
"13,7",identifier,"[739, 801, 1139]",1
"13,22",= expression,"[1363, 1455, 1361]",2
"13,24",number_literal,[459],2
"13,25",;,"[684, 1032, 1592]",1
"16,3",primitive_type,"[221, 31, 25]",6
"16,7",identifier,"[739, 801, 1139]",1
"16,8",;,"[1363, 1455, 1361]",1
"17,3",for ( _for_statement_body ) statement,"[220, 31, 25]",7
"17,7",( _for_statement_body ) statement,[1970],1
"17,8",identifier = expression,[78],1
"17,10",= expression,"[410, 720, 1151, 1042]",1
"17,12",number_literal,[559],2
"17,13",; expression ; expression,"[684, 982, 1042]",4
"17,15",identifier,[479],1
"17,17",< expression,"[715, 1034]",3
"17,19",identifier,[506],1
"17,25",; expression,"[715, 985, 684, 1034]",1
"17,27",++ expression,"[469, 1922]",4
"17,29",identifier,[540],1
"17,30",) statement,"[715, 701, 684, 1027, 1922]",1
"18,3",{ statement },[333],4
"19,5",identifier,[27],2
"19,14",[ expression ],"[405, 801, 1139, 1056]",9
"19,15",identifier,[528],1
"19,16",],"[827, 1090]",1
"19,18",= expression,"[681, 837, 1056]",2
"19,20",number_literal,[559],2
"19,21",;,"[684, 982, 1056]",1
"20,3",},"[248, 244, 28]",1
"24,3",primitive_type,"[173, 244, 236, 31, 25]",6
"24,8",identifier,"[739, 801, 1139]",1
"24,9",;,"[1363, 1455, 1361]",1
"25,3",primitive_type,"[220, 31, 25]",6
"25,7",identifier,"[739, 801, 1139]",1
"25,24",= expression,"[1363, 1455, 1361]",2
"25,26",number_literal,[459],2
"25,27",;,"[684, 1032, 1592]",1
"26,3",while parenthesized_expression statement,"[221, 31, 25]",10
"26,9",( expression ),[1757],1
"26,10",( expression ),[452],4
"26,11",identifier = expression,[378],5
"26,13",= expression,"[527, 1031, 1077, 1856]",11
"26,15",identifier,[559],1
"26,22",( ),"[715, 982, 684, 1031]",17
"26,23",),[451],4
"26,24",),"[696, 668, 837, 982, 684, 1031]",2
"26,25",),"[664, 837, 1033]",1
"27,3",{ statement },"[653, 366]",4
"28,5",if parenthesized_expression statement else_clause,[27],6
"28,8",( expression ),[1755],1
"28,9",identifier,[452],1
"28,11",== expression,"[715, 1033]",2
"28,14",' character ',[618],3
"28,15",character ',[1618],1
"28,16",',[1562],1
"28,18",|| expression,"[690, 684, 960, 1033]",6
"28,21",identifier,[543],1
"28,23",== expression,"[715, 959, 684, 1033]",2
"28,26",' escape_sequence ',[618],5
"28,27",escape_sequence ',[1618],2
"28,29",',[1562],1
"28,31",|| expression,"[690, 684, 960, 959, 1033]",6
"28,34",identifier,[543],1
"28,36",== expression,"[715, 959, 684, 1033]",2
"28,39",' escape_sequence ',[618],5
"28,40",escape_sequence ',[1618],2
"28,42",',[1562],1
"28,44",|| expression,"[690, 684, 960, 959, 1033]",6
"28,47",identifier,[543],1
"28,49",== expression,"[715, 959, 684, 1033]",2
"28,52",identifier,[618],1
"28,55",),"[715, 960, 684, 959, 1033]",1
"29,5",{ preproc_if_repeat1 },"[653, 362]",1
"30,7",if parenthesized_expression statement,[27],3
"30,10",( expression ),[1755],1
"30,11",identifier,[452],1
"30,28",> expression,"[715, 1033]",9
"30,30",number_literal,[506],2
"30,31",),"[684, 985, 1033]",1
"31,7",{ preproc_if_repeat1 },"[653, 362]",1
"32,9",++ expression,[27],0
"32,11",identifier,[540],1
"32,20",[ expression ],"[715, 701, 684, 1056]",6
"32,21",identifier,[528],1
"32,38",- expression,"[827, 1090]",2
"32,40",number_literal,[567],1
"32,41",],"[684, 1054, 1090]",1
"32,42",;,"[681, 837, 701, 684, 1056]",1
"34,9",if parenthesized_expression statement,"[248, 244, 28]",2
"34,12",( expression ),[1755],1
"34,13",identifier,[452],1
"34,22",[ expression ],"[715, 1033]",12
"34,23",identifier,[528],1
"34,40",- expression,"[827, 1090]",2
"34,42",number_literal,[567],1
"34,43",],"[684, 1054, 1090]",1
"34,45",> expression,"[681, 837, 1033]",10
"34,47",identifier,[506],1
"34,61",),"[715, 985, 684, 1033]",1
"35,9",{ statement },"[653, 362]",5
"36,11",identifier = expression,[27],1
"36,26",= expression,"[405, 801, 1139, 1056]",2
"36,28",identifier,[559],1
"36,37",[ expression ],"[715, 982, 684, 1056]",6
"36,38",identifier,[528],1
"36,55",- expression,"[827, 1090]",2
"36,57",number_literal,[567],1
"36,58",],"[684, 1054, 1090]",1
"36,59",;,"[681, 837, 982, 684, 1056]",1
"37,9",},"[248, 244, 28]",1
"39,9",if parenthesized_expression statement,"[173, 244, 147, 31, 28]",2
"39,12",( expression ),[1755],1
"39,13",identifier,[452],1
"39,30",< expression,"[715, 1033]",7
"39,32",identifier,[506],1
"39,49",- expression,"[715, 985, 684, 1033]",18
"39,51",number_literal,[533],2
"39,52",),"[684, 975, 985, 1033]",1
"40,9",{ statement },"[653, 362]",5
"41,11",identifier = expression,[27],1
"41,28",= expression,"[405, 801, 1139, 1056]",2
"41,30",identifier,[559],1
"41,47",- expression,"[715, 982, 684, 1056]",11
"41,49",number_literal,[533],2
"41,50",;,"[684, 975, 982, 1056]",1
"42,9",},"[248, 244, 28]",1
"44,9",identifier = expression,"[173, 244, 147, 31, 28]",3
"44,26",= expression,"[405, 801, 1139, 1056]",2
"44,28",number_literal,[559],2
"44,29",;,"[684, 982, 1056]",1
"45,7",},"[248, 244, 31, 28]",1
"46,7",if parenthesized_expression statement,"[173, 244, 147, 28]",2
"46,10",( expression ),[1755],1
"46,11",identifier,[452],1
"46,13",== expression,"[715, 1033]",2
"46,16",identifier,[618],1
"46,19",),"[715, 960, 684, 1033]",1
"47,7",{ statement },"[653, 362]",5
"48,9",break ;,[27],0
"48,14",;,[1983],1
"49,7",},"[164, 244, 28]",1
"50,5",},"[173, 244, 147, 31, 28]",1
"51,5",else statement,"[173, 244, 147, 28]",4
"52,5",{ statement },[373],6
"53,7",++ expression,[27],0
"53,9",identifier,[540],1
"53,25",;,"[715, 701, 684, 1056]",1
"54,5",},"[248, 244, 28]",1
"55,3",},"[173, 244, 234, 224, 28]",1
"58,3",identifier,"[173, 244, 198, 31, 25]",3
"58,12",[ expression ],"[405, 801, 1139, 1056]",9
"58,13",identifier,[528],1
"58,30",+ expression,"[827, 1090]",4
"58,32",number_literal,[567],1
"58,33",],"[684, 1054, 1090]",1
"58,35",= expression,"[681, 837, 1056]",2
"58,37",' character ',[559],5
"58,38",character ',[1618],1
"58,39",',[1562],1
"58,40",;,"[690, 684, 982, 1056]",1
"60,10",( expression ),"[405, 801, 1139, 1056]",6
"60,11",' escape_sequence ',"[988, 1256, 451]",12
"60,12",escape_sequence ',[1618],2
"60,14",',[1562],1
"60,15",),"[690, 684, 1018]",2
"60,16",;,"[693, 668, 837, 1056]",1
"62,3",primitive_type,"[248, 244, 31, 25]",6
"62,7",identifier,"[739, 801, 1139]",1
"62,20",= expression,"[1363, 1455, 1361]",2
"62,22",number_literal,[459],2
"62,23",;,"[684, 1032, 1592]",1
"63,3",primitive_type,"[221, 31, 25]",6
"63,7",identifier,"[739, 801, 1139]",1
"63,18",= expression,"[1363, 1455, 1361]",2
"63,20",number_literal,[459],2
"63,21",;,"[684, 1032, 1592]",1
"66,9",( expression ),"[405, 801, 1139, 1056]",6
"66,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"66,53",escape_sequence,"[1554, 1547]",2
"66,55","""","[1554, 1547]",1
"66,56",),"[627, 663, 684, 1018]",2
"66,57",;,"[693, 668, 837, 1056]",1
"68,3",while parenthesized_expression statement,"[248, 244, 31, 25]",10
"68,9",( expression ),[1757],1
"68,10",identifier,[452],1
"68,19",[ expression ],"[715, 1033]",12
"68,20",identifier,[528],1
"68,32",],"[827, 1090]",1
"68,34",!= expression,"[681, 837, 1033]",6
"68,37",' character ',[618],3
"68,38",character ',[1618],1
