Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",5
"3,9",identifier preproc_arg preproc_include_token2,[1879],1
"3,17",preproc_arg preproc_include_token2,[1528],1
"4,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",5
"4,9",identifier preproc_arg preproc_include_token2,[1879],1
"4,15",preproc_arg preproc_include_token2,[1528],1
"5,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"6,1",primitive_type,"[341, 43, 44, 1820]",2
"6,5",identifier,"[739, 796, 1128]",1
"6,13",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"6,14",primitive_type,[624],1
"6,19",identifier,"[739, 720, 1118, 1598]",2
"6,23",[ ],"[1300, 1321, 1598]",7
"6,24",],[420],2
"6,25",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"6,27",primitive_type,[649],1
"6,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"6,43",),"[1300, 1321, 1748, 1601]",1
"6,44",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"8,1",primitive_type,"[225, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"8,10",primitive_type,[624],1
"8,14",),"[739, 720, 1118, 1598]",4
"9,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"10,3",primitive_type,[23],1
"10,7",identifier,"[739, 801, 1139]",1
"10,10",;,"[1363, 1455, 1361]",1
"11,3",primitive_type,"[220, 25]",6
"11,8",identifier,"[739, 801, 1139]",1
"11,12",[ expression ],"[1363, 1455, 1361]",4
"11,13",identifier,[420],3
"11,20",],"[827, 1071]",1
"11,21",;,"[1303, 1363, 1455, 1361]",1
"13,3",while parenthesized_expression statement,"[220, 31, 25]",10
"13,9",( expression ),[1757],1
"13,10",( expression ),[452],4
"13,11",identifier = expression,[378],5
"13,15",= expression,"[527, 1031, 1077, 1856]",11
"13,17",identifier,[559],1
"13,25",( expression argument_list_repeat1 ),"[715, 982, 684, 1031]",3
"13,26",identifier,[451],1
"13,30",", expression","[715, 1018]",1
"13,32",identifier,[476],1
"13,39",),"[715, 1025, 1572]",1
"13,40",),"[698, 668, 837, 982, 684, 1031]",2
"13,42",> expression,"[664, 837, 1033]",10
"13,44",number_literal,[506],2
"13,45",),"[684, 985, 1033]",1
"14,3",{ statement },"[653, 366]",4
"15,5",if parenthesized_expression statement,[27],3
"15,8",( expression ),[1755],1
"15,9",identifier,[452],1
"15,13",> expression,"[715, 1033]",9
"15,15",identifier,[506],1
"15,20",),"[715, 985, 684, 1033]",1
"16,5",{ statement },"[653, 362]",5
"17,13",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"17,14",""" string_content ""","[988, 1256, 451]",2
"17,15","string_content """,[1531],1
"17,17","""",[1547],1
"17,18",", expression","[627, 663, 684, 1018]",1
"17,20",identifier,[476],1
"17,24",),"[715, 1025, 1572]",1
"17,25",;,"[698, 668, 837, 1056]",1
"18,5",},"[248, 244, 28]",1
"19,3",},"[173, 244, 147, 28]",1
"21,3",return expression ;,"[173, 244, 198, 31, 25]",5
"21,10",number_literal,[475],2
"21,11",;,"[684, 1070]",1
"22,1",},"[199, 244, 31, 25]",1
"24,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"24,5",identifier,"[739, 796, 1128]",1
"24,13",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"24,14",primitive_type,[624],1
"24,19",identifier,"[739, 720, 1118, 1598]",2
"24,23",[ ],"[1300, 1321, 1598]",7
"24,24",],[420],2
"24,25",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"24,27",primitive_type,[649],1
"24,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"24,43",),"[1300, 1321, 1748, 1601]",1
"25,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"26,3",primitive_type,[23],1
"26,7",identifier,"[739, 801, 1139]",1
"26,8",", _declaration_declarator","[1363, 1455, 1361]",3
"26,10",identifier,[1148],1
"26,11",;,"[1363, 1477, 1617, 1457]",1
"28,3",for ( _for_statement_body ) statement,"[229, 25]",7
"28,7",( _for_statement_body ) statement,[1970],1
"28,8",identifier = expression,[78],1
"28,10",= expression,"[410, 720, 1151, 1042]",1
"28,12",number_literal,[559],2
"28,13",; expression ; expression,"[684, 982, 1042]",4
"28,15",identifier,[479],1
"28,17",< expression,"[715, 1034]",3
"28,19",identifier,[506],1
"28,32",- expression,"[715, 985, 684, 1034]",8
"28,34",number_literal,[533],2
"28,36",&& expression,"[684, 975, 985, 1034]",10
"28,39",( expression ),[544],2
"28,40",identifier = expression,[378],5
"28,42",= expression,"[527, 1031, 1077, 1856]",11
"28,44",identifier,[559],1
"28,51",( ),"[715, 982, 684, 1031]",17
"28,52",),[451],4
"28,53",),"[696, 668, 837, 982, 684, 1031]",2
"28,55",!= expression,"[664, 837, 976, 684, 1034]",6
"28,58",identifier,[618],1
"28,62",&& expression,"[715, 960, 684, 976, 1034]",14
"28,65",identifier,[544],1
"28,67",!= expression,"[715, 976, 684, 1034]",6
"28,70",' escape_sequence ',[618],5
"28,71",escape_sequence ',[1618],2
"28,73",',[1562],1
"28,74",; expression,"[690, 684, 960, 976, 1034]",2
"28,76",++ expression,"[469, 1922]",4
"28,78",identifier,[540],1
"28,79",) statement,"[715, 701, 684, 1027, 1922]",1
"29,3",{ statement },[333],4
"30,5",identifier,[27],2
"30,9",[ expression ],"[405, 801, 1139, 1056]",9
"30,10",identifier,[528],1
"30,11",],"[827, 1090]",1
"30,13",= expression,"[681, 837, 1056]",2
"30,15",identifier,[559],1
"30,16",;,"[715, 982, 684, 1056]",1
"31,3",},"[248, 244, 28]",1
"33,3",if parenthesized_expression statement,"[173, 244, 236, 31, 25]",2
"33,6",( expression ),[1755],1
"33,7",identifier,[452],1
"33,9",== expression,"[715, 1033]",2
"33,12",' escape_sequence ',[618],5
"33,13",escape_sequence ',[1618],2
"33,15",',[1562],1
"33,16",),"[690, 684, 960, 1033]",1
"34,3",{ preproc_if_repeat1 },"[653, 362]",1
"35,5",identifier,[27],2
"35,9",[ expression ],"[405, 801, 1139, 1056]",9
"35,10",identifier,[528],1
"35,11",],"[827, 1090]",1
"35,13",= expression,"[681, 837, 1056]",2
"35,15",identifier,[559],1
"35,16",;,"[715, 982, 684, 1056]",1
"36,5",++ expression,"[248, 244, 28]",0
"36,7",identifier,[540],1
"36,8",;,"[715, 701, 684, 1056]",1
"37,3",},"[248, 244, 31, 28]",1
"39,3",identifier,"[173, 244, 147, 31, 25]",4
"39,7",[ expression ],"[405, 801, 1139, 1056]",9
"39,8",identifier,[528],1
"39,9",],"[827, 1090]",1
"39,11",= expression,"[681, 837, 1056]",2
"39,13",' escape_sequence ',[559],8
"39,14",escape_sequence ',[1618],2
"39,16",',[1562],1
"39,17",;,"[690, 684, 982, 1056]",1
"41,3",return expression ;,"[248, 244, 31, 25]",5
"41,10",identifier,[475],1
"41,11",;,"[715, 1070]",1
"42,1",},"[199, 244, 31, 25]",1
