Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",2
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",5
"3,9",identifier preproc_arg preproc_include_token2,[1879],1
"3,17",preproc_arg preproc_include_token2,[1528],1
"4,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"5,1",primitive_type,"[341, 43, 44, 1820]",2
"5,5",identifier,"[739, 796, 1128]",1
"5,13",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"5,14",primitive_type,[624],1
"5,19",identifier,"[739, 720, 1118, 1598]",2
"5,23",[ ],"[1300, 1321, 1598]",5
"5,24",],[420],3
"5,25",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"5,27",primitive_type,[649],1
"5,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"5,43",),"[1300, 1321, 1748, 1601]",1
"5,44",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"6,1",primitive_type,"[225, 43, 44, 1820]",2
"6,6",identifier,"[739, 796, 1128]",1
"6,28",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"6,29",primitive_type,[624],1
"6,34",identifier,"[739, 720, 1118, 1598]",2
"6,38",[ ],"[1300, 1321, 1598]",5
"6,39",],[420],3
"6,40",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"6,42",primitive_type,[649],1
"6,46",identifier,"[739, 720, 1118, 1748, 1601]",2
"6,52",),"[1300, 1321, 1748, 1601]",1
"6,53",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"8,1",primitive_type,"[225, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"8,10",primitive_type,[624],1
"8,14",),"[739, 720, 1118, 1598]",4
"9,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"10,3",primitive_type,[23],2
"10,7",identifier,"[739, 801, 1139]",1
"10,10",;,"[1363, 1455, 1361]",1
"11,3",primitive_type,"[220, 25]",6
"11,8",identifier,"[739, 801, 1139]",1
"11,12",[ expression ],"[1363, 1455, 1361]",3
"11,13",identifier,[420],1
"11,20",],"[827, 1071]",1
"11,21",;,"[1303, 1363, 1455, 1361]",1
"13,3",while parenthesized_expression statement,"[220, 31, 25]",11
"13,9",( expression ),[1757],1
"13,10",( expression ),[452],3
"13,11",identifier = expression,[378],5
"13,15",= expression,"[527, 1031, 1077, 1856]",13
"13,17",identifier,[559],1
"13,25",( expression argument_list_repeat1 ),"[715, 982, 684, 1031]",3
"13,26",identifier,[451],1
"13,30",", expression","[715, 1018]",2
"13,32",identifier,[476],1
"13,39",),"[715, 1025, 1572]",1
"13,40",),"[698, 668, 837, 982, 684, 1031]",2
"13,42",> expression,"[664, 837, 1033]",11
"13,44",number_literal,[506],2
"13,45",),"[684, 985, 1033]",1
"14,3",{ preproc_if_repeat1 },"[653, 366]",1
"15,5",identifier,[27],1
"15,27",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
"15,28",identifier,"[988, 1256, 451]",1
"15,32",", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",2
"15,34",identifier,[476],1
"15,37",),"[715, 1025, 1572]",1
