Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",5
"3,9",identifier preproc_arg preproc_include_token2,[1879],1
"3,20",preproc_arg preproc_include_token2,[1528],1
"4,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"5,1",primitive_type,"[341, 43, 44, 1820]",2
"5,5",identifier,"[739, 796, 1128]",1
"5,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"5,10",primitive_type,[624],1
"5,14",),"[739, 720, 1118, 1598]",4
"6,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"7,3",primitive_type,[23],1
"7,7",identifier,"[739, 801, 1139]",1
"7,8",;,"[1363, 1455, 1361]",1
"8,3",unsigned primitive_type,"[220, 25]",0
"8,12",primitive_type,"[704, 770, 801, 1139]",3
"8,16",identifier,"[767, 770, 801, 1139]",1
"8,25",= expression,"[1363, 1455, 1361]",2
"8,27",number_literal,[459],2
"8,28",;,"[684, 1032, 1592]",1
"9,3",unsigned primitive_type,"[221, 31, 25]",0
"9,12",primitive_type,"[704, 770, 801, 1139]",3
"9,16",identifier,"[767, 770, 801, 1139]",1
"9,29",= expression,"[1363, 1455, 1361]",2
"9,31",number_literal,[459],2
"9,32",;,"[684, 1032, 1592]",1
"11,3",while parenthesized_expression statement,"[221, 31, 25]",9
"11,9",( expression ),[1757],1
"11,10",( expression ),[452],3
"11,11",identifier = expression,[378],5
"11,13",= expression,"[527, 1031, 1077, 1856]",12
"11,15",identifier,[559],1
"11,22",( ),"[715, 982, 684, 1031]",17
"11,23",),[451],4
"11,24",),"[696, 668, 837, 982, 684, 1031]",1
"11,26",!= expression,"[664, 837, 1033]",5
"11,29",identifier,[618],1
"11,32",),"[715, 960, 684, 1033]",1
"12,3",{ preproc_if_repeat1 },"[653, 366]",1
"13,5",++ expression,[27],0
"13,7",identifier,[540],1
"13,15",;,"[715, 701, 684, 1056]",1
"15,5",if parenthesized_expression statement else_clause,"[248, 244, 28]",8
"15,8",( expression ),[1755],1
"15,9",identifier,[452],1
"15,11",== expression,"[715, 1033]",2
"15,14",' character ',[618],3
"15,15",character ',[1618],1
"15,16",',[1562],1
"15,17",),"[690, 684, 960, 1033]",1
"16,5",{ preproc_if_repeat1 },"[653, 362]",1
"17,7",++ expression,[27],0
"17,9",identifier,[540],1
"17,21",;,"[715, 701, 684, 1056]",1
"19,7",if parenthesized_expression statement,"[248, 244, 28]",3
"19,10",( expression ),[1755],1
"19,11",identifier,[452],1
"19,20",% expression,"[715, 1033]",0
"19,22",identifier,[539],1
"19,33",== expression,"[715, 697, 684, 1033]",2
"19,36",number_literal,[618],2
"19,38",&& expression,"[684, 960, 1033]",3
"19,41",identifier,[544],1
"19,54",> expression,"[715, 976, 684, 1033]",12
"19,56",number_literal,[506],2
"19,57",),"[684, 985, 976, 1033]",1
"20,7",{ preproc_if_repeat1 },"[653, 362]",1
"21,9",identifier,[27],2
"21,16",( expression ),"[405, 801, 1139, 1056]",6
"21,17",' escape_sequence ',"[988, 1256, 451]",13
"21,18",escape_sequence ',[1618],2
"21,20",',[1562],1
"21,21",),"[690, 684, 1018]",1
"21,22",;,"[693, 668, 837, 1056]",1
"22,9",identifier = expression,"[248, 244, 28]",2
"22,22",= expression,"[405, 801, 1139, 1056]",2
"22,24",number_literal,[559],2
"22,25",;,"[684, 982, 1056]",1
"23,7",},"[248, 244, 31, 28]",1
"24,5",},"[173, 244, 147, 31, 28]",1
"25,5",else statement,"[173, 244, 147, 31, 28]",3
"26,5",{ preproc_if_repeat1 },[373],1
"27,7",while parenthesized_expression statement,[27],0
"27,13",( expression ),[1757],1
"27,14",identifier,[452],1
"27,26",),"[715, 1033]",1
"28,7",{ preproc_if_repeat1 },"[653, 366]",1
"29,9",identifier,[27],2
"29,16",( expression ),"[405, 801, 1139, 1056]",6
"29,17",' character ',"[988, 1256, 451]",10
"29,18",character ',[1618],1
"29,19",',[1562],1
"29,20",),"[690, 684, 1018]",1
"29,21",;,"[693, 668, 837, 1056]",1
"30,9",-- expression,"[248, 244, 28]",0
"30,11",identifier,[540],1
"30,23",;,"[715, 701, 684, 1056]",1
"31,7",},"[248, 244, 31, 28]",1
"33,7",if parenthesized_expression statement,"[173, 244, 198, 28]",3
"33,10",( expression ),[1755],1
"33,11",identifier,[452],1
"33,13",== expression,"[715, 1033]",2
"33,16",' escape_sequence ',[618],5
"33,17",escape_sequence ',[1618],2
"33,19",',[1562],1
"33,20",),"[690, 684, 960, 1033]",1
"34,7",{ statement },"[653, 362]",5
"35,9",identifier = expression,[27],1
"35,18",= expression,"[405, 801, 1139, 1056]",2
"35,20",number_literal,[559],2
"35,21",;,"[684, 982, 1056]",1
"36,7",},"[248, 244, 28]",1
"38,7",identifier,"[173, 244, 147, 31, 28]",5
"38,14",( expression ),"[405, 801, 1139, 1056]",6
"38,15",identifier,"[988, 1256, 451]",1
"38,16",),"[754, 1077, 1813, 1300, 1442, 715, 1018]",1
"38,17",;,"[761, 770, 801, 1139, 1301, 1363, 1455, 1361, 693, 668, 837, 1056]",1
"39,5",},"[248, 244, 31, 28, 310, 220]",1
"40,3",},"[173, 244, 234, 224, 31, 28]",1
"42,3",return expression ;,"[173, 244, 198, 31, 25]",5
"42,10",number_literal,[475],2
"42,11",;,"[684, 1070]",1
"43,1",},"[199, 244, 31, 25]",1
