Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"4,1",primitive_type,"[361, 43, 44, 1820]",2
"4,5",identifier,"[739, 796, 1128]",1
"4,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"4,10",primitive_type,[624],1
"4,14",),"[739, 720, 1118, 1598]",4
"5,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"6,3",identifier,[23],1
"6,9",( expression ),"[405, 801, 1139, 1056]",5
"6,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"6,11",string_content escape_sequence,[1531],2
"6,58",escape_sequence,[1547],2
"6,60","""","[1554, 1547]",1
"6,61",),"[627, 663, 684, 1018]",2
"6,62",;,"[693, 668, 837, 1056]",1
"7,3",identifier,"[248, 244, 25]",1
"7,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"7,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"7,11",string_content escape_sequence,[1531],2
"7,19",escape_sequence,[1547],2
"7,21","""","[1554, 1547]",1
"7,22",", expression","[627, 663, 684, 1018]",1
"7,24",identifier,[476],1
"7,32",),"[715, 1025, 1572]",1
"7,33",;,"[698, 668, 837, 1056]",1
"8,3",identifier,"[248, 244, 31, 25]",1
"8,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"8,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"8,11",string_content escape_sequence,[1531],2
"8,32",escape_sequence,[1547],2
"8,34","""","[1554, 1547]",1
"8,35",", expression","[627, 663, 684, 1018]",1
"8,37",identifier,[476],1
"8,46",),"[715, 1025, 1572]",1
"8,47",;,"[698, 668, 837, 1056]",1
"9,3",identifier,"[248, 244, 31, 25]",1
"9,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"9,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"9,11",string_content escape_sequence,[1531],2
"9,30",escape_sequence,[1547],2
"9,32","""","[1554, 1547]",1
"9,33",", expression","[627, 663, 684, 1018]",1
"9,35",identifier,[476],1
"9,44",),"[715, 1025, 1572]",1
"9,45",;,"[698, 668, 837, 1056]",1
"10,3",identifier,"[248, 244, 31, 25]",1
"10,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"10,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"10,11",string_content escape_sequence,[1531],2
"10,30",escape_sequence,[1547],2
"10,32","""","[1554, 1547]",1
"10,33",", expression","[627, 663, 684, 1018]",1
"10,35",identifier,[476],1
"10,44",),"[715, 1025, 1572]",1
"10,45",;,"[698, 668, 837, 1056]",1
"11,3",identifier,"[248, 244, 31, 25]",1
"11,9",( expression ),"[405, 801, 1139, 1056]",5
"11,10",""" escape_sequence ""","[988, 1256, 451]",18
"11,11","escape_sequence """,[1531],5
"11,13","""",[1547],1
"11,14",),"[627, 663, 684, 1018]",2
"11,15",;,"[693, 668, 837, 1056]",1
"13,3",identifier,"[248, 244, 31, 25]",1
"13,9",( expression ),"[405, 801, 1139, 1056]",5
"13,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"13,11",string_content escape_sequence,[1531],2
"13,58",escape_sequence,[1547],2
"13,60","""","[1554, 1547]",1
"13,61",),"[627, 663, 684, 1018]",2
"13,62",;,"[693, 668, 837, 1056]",1
"14,3",identifier,"[248, 244, 31, 25]",1
"14,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"14,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"14,11",string_content escape_sequence,[1531],2
"14,31",escape_sequence,[1547],2
"14,33","""","[1554, 1547]",1
"14,34",", expression","[627, 663, 684, 1018]",1
"14,36",identifier,[476],1
"14,44",),"[715, 1025, 1572]",1
"14,45",;,"[698, 668, 837, 1056]",1
"15,3",identifier,"[248, 244, 31, 25]",1
"15,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"15,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"15,11",string_content escape_sequence,[1531],2
"15,29",escape_sequence,[1547],2
"15,31","""","[1554, 1547]",1
"15,32",", expression","[627, 663, 684, 1018]",1
"15,34",identifier,[476],1
"15,41",),"[715, 1025, 1572]",1
"15,42",;,"[698, 668, 837, 1056]",1
"16,3",identifier,"[248, 244, 31, 25]",1
"16,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"16,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"16,11",string_content escape_sequence,[1531],2
"16,29",escape_sequence,[1547],2
"16,31","""","[1554, 1547]",1
"16,32",", expression","[627, 663, 684, 1018]",1
"16,34",identifier,[476],1
"16,41",),"[715, 1025, 1572]",1
"16,42",;,"[698, 668, 837, 1056]",1
"17,3",identifier,"[248, 244, 31, 25]",1
"17,9",( expression ),"[405, 801, 1139, 1056]",5
"17,10",""" escape_sequence ""","[988, 1256, 451]",18
"17,11","escape_sequence """,[1531],5
"17,13","""",[1547],1
"17,14",),"[627, 663, 684, 1018]",2
"17,15",;,"[693, 668, 837, 1056]",1
"19,3",identifier,"[248, 244, 31, 25]",1
"19,9",( expression ),"[405, 801, 1139, 1056]",5
"19,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"19,11",string_content escape_sequence,[1531],2
"19,58",escape_sequence,[1547],2
"19,60","""","[1554, 1547]",1
"19,61",),"[627, 663, 684, 1018]",2
"19,62",;,"[693, 668, 837, 1056]",1
"20,3",identifier,"[248, 244, 31, 25]",1
"20,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"20,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"20,11",string_content escape_sequence,[1531],2
"20,37",escape_sequence,[1547],2
"20,39","""","[1554, 1547]",1
"20,40",", expression","[627, 663, 684, 1018]",1
"20,42",identifier,[476],1
"20,51",),"[715, 1025, 1572]",1
"20,52",;,"[698, 668, 837, 1056]",1
"21,3",identifier,"[248, 244, 31, 25]",1
"21,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"21,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"21,11",string_content escape_sequence,[1531],2
"21,35",escape_sequence,[1547],2
"21,37","""","[1554, 1547]",1
"21,38",", expression","[627, 663, 684, 1018]",1
"21,40",identifier,[476],1
"21,48",),"[715, 1025, 1572]",1
"21,49",;,"[698, 668, 837, 1056]",1
"22,3",identifier,"[248, 244, 31, 25]",1
"22,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"22,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"22,11",string_content escape_sequence,[1531],2
"22,35",escape_sequence,[1547],2
"22,37","""","[1554, 1547]",1
"22,38",", expression","[627, 663, 684, 1018]",1
"22,40",identifier,[476],1
"22,48",),"[715, 1025, 1572]",1
"22,49",;,"[698, 668, 837, 1056]",1
"23,3",identifier,"[248, 244, 31, 25]",1
"23,9",( expression ),"[405, 801, 1139, 1056]",5
"23,10",""" escape_sequence ""","[988, 1256, 451]",18
"23,11","escape_sequence """,[1531],5
"23,13","""",[1547],1
"23,14",),"[627, 663, 684, 1018]",2
"23,15",;,"[693, 668, 837, 1056]",1
"25,3",identifier,"[248, 244, 31, 25]",1
"25,9",( expression ),"[405, 801, 1139, 1056]",5
"25,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"25,11",string_content escape_sequence,[1531],2
"25,58",escape_sequence,[1547],2
"25,60","""","[1554, 1547]",1
"25,61",),"[627, 663, 684, 1018]",2
"25,62",;,"[693, 668, 837, 1056]",1
"26,3",identifier,"[248, 244, 31, 25]",1
"26,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"26,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"26,11",string_content escape_sequence,[1531],2
"26,37",escape_sequence,[1547],2
"26,39","""","[1554, 1547]",1
"26,40",", expression","[627, 663, 684, 1018]",1
"26,42",identifier,[476],1
"26,51",),"[715, 1025, 1572]",1
"26,52",;,"[698, 668, 837, 1056]",1
"27,3",identifier,"[248, 244, 31, 25]",1
"27,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"27,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"27,11",string_content escape_sequence,[1531],2
"27,35",escape_sequence,[1547],2
"27,37","""","[1554, 1547]",1
"27,38",", expression","[627, 663, 684, 1018]",1
"27,40",identifier,[476],1
"27,48",),"[715, 1025, 1572]",1
"27,49",;,"[698, 668, 837, 1056]",1
"28,3",identifier,"[248, 244, 31, 25]",1
"28,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"28,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"28,11",string_content escape_sequence,[1531],2
"28,35",escape_sequence,[1547],2
"28,37","""","[1554, 1547]",1
"28,38",", expression","[627, 663, 684, 1018]",1
"28,40",identifier,[476],1
"28,48",),"[715, 1025, 1572]",1
"28,49",;,"[698, 668, 837, 1056]",1
"29,3",identifier,"[248, 244, 31, 25]",1
"29,9",( expression ),"[405, 801, 1139, 1056]",5
"29,10",""" escape_sequence ""","[988, 1256, 451]",18
"29,11","escape_sequence """,[1531],5
"29,13","""",[1547],1
