Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"5,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",5
"5,9",identifier preproc_arg preproc_include_token2,[1879],1
"5,16",preproc_arg preproc_include_token2,[1528],1
"6,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"7,1",primitive_type,"[341, 43, 44, 1820]",2
"7,6",identifier,"[739, 796, 1128]",1
"7,10",( parameter_declaration ),"[1363, 1458, 1356]",3
"7,11",primitive_type,[624],1
"7,15",identifier,"[739, 720, 1118, 1598]",2
"7,16",),"[1300, 1321, 1598]",2
"7,17",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"8,1",primitive_type,"[225, 43, 44, 1820]",2
"8,6",identifier,"[739, 796, 1128]",1
"8,10",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"8,11",primitive_type,[624],1
"8,15",identifier,"[739, 720, 1118, 1598]",2
"8,16",", parameter_declaration","[1300, 1321, 1598]",1
"8,18",primitive_type,[649],1
"8,23",identifier,"[739, 720, 1118, 1748, 1601]",2
"8,24",[ ],"[1300, 1321, 1748, 1601]",7
"8,25",],[420],2
"8,26",", parameter_declaration","[1297, 1300, 1321, 1748, 1601]",2
"8,28",primitive_type,[649],1
"8,32",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"8,33",),"[1300, 1321, 1748, 1669, 1601]",1
"8,34",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,6",identifier,"[739, 796, 1128]",1
"9,17",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"9,18",primitive_type,[624],1
"9,23",identifier,"[739, 720, 1118, 1598]",2
"9,27",[ ],"[1300, 1321, 1598]",7
"9,28",],[420],2
"9,29",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"9,31",primitive_type,[649],1
"9,35",identifier,"[739, 720, 1118, 1748, 1601]",2
"9,40",", parameter_declaration","[1300, 1321, 1748, 1601]",2
"9,42",primitive_type,[649],1
"9,46",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"9,50",),"[1300, 1321, 1748, 1669, 1601]",1
"9,51",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"11,1",primitive_type,"[225, 43, 44, 1820]",2
"11,5",identifier,"[739, 796, 1128]",1
"11,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"11,10",primitive_type,[624],1
"11,14",),"[739, 720, 1118, 1598]",4
"12,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"13,3",primitive_type,[23],1
"13,8",identifier,"[739, 801, 1139]",1
"13,9",[ expression ],"[1363, 1455, 1361]",4
"13,10",identifier,[420],3
"13,16",],"[827, 1071]",1
"13,17",;,"[1303, 1363, 1455, 1361]",1
"15,3",primitive_type,"[220, 25]",6
"15,7",identifier,"[739, 801, 1139]",1
"15,9",= expression,"[1363, 1455, 1361]",2
"15,11",number_literal,[459],2
"15,13",;,"[684, 1032, 1592]",1
"17,7",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"17,9",", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",1
"17,11",identifier,[476],1
"17,12",", expression","[715, 1025, 1572]",2
"17,14",number_literal,[476],2
"17,16",),"[684, 1025, 1668, 1572]",1
"17,17",;,"[698, 668, 837, 1056]",1
"19,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"19,10",""" string_content ""","[988, 1256, 451]",2
"19,11","string_content """,[1531],1
"19,13","""",[1547],1
"19,14",", expression","[627, 663, 684, 1018]",1
"19,16",identifier,[476],1
"19,17",),"[715, 1025, 1572]",1
"19,18",;,"[698, 668, 837, 1056]",1
"21,3",return expression ;,"[248, 244, 31, 25]",5
"21,10",number_literal,[475],2
"21,11",;,"[684, 1070]",1
"22,1",},"[199, 244, 31, 25]",1
"24,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"24,6",identifier,"[739, 796, 1128]",1
"24,10",( parameter_declaration ),"[1363, 1458, 1356]",3
"24,11",primitive_type,[624],1
"24,15",identifier,"[739, 720, 1118, 1598]",2
"24,16",),"[1300, 1321, 1598]",2
"25,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"26,3",if parenthesized_expression statement,[23],4
"26,6",( expression ),[1755],1
"26,7",identifier,[452],1
"26,9",<= expression,"[715, 1033]",16
"26,12",number_literal,[506],2
"26,13",),"[684, 985, 1033]",1
"27,3",{ statement },"[653, 362]",5
"28,5",return expression ;,[27],11
"28,12",identifier,[475],1
"28,14",+ expression,"[715, 1070]",10
"28,16",' character ',[533],4
"28,17",character ',[1618],1
"28,18",',[1562],1
"28,19",;,"[690, 684, 975, 1070]",1
"29,3",},"[199, 244, 28]",1
"31,3",return expression ;,"[173, 244, 147, 25]",6
"31,10",identifier,[475],1
"31,12",+ expression,"[715, 1070]",10
"31,14",' character ',[533],4
"31,15",character ',[1618],1
"31,16",',[1562],1
"31,18",- expression,"[690, 684, 975, 1070]",11
"31,20",number_literal,[533],2
"31,22",;,"[684, 975, 1070]",1
"32,1",},"[199, 244, 31, 25]",1
"34,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"34,6",identifier,"[739, 796, 1128]",1
"34,10",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"34,11",primitive_type,[624],1
"34,15",identifier,"[739, 720, 1118, 1598]",2
"34,16",", parameter_declaration","[1300, 1321, 1598]",1
"34,18",primitive_type,[649],1
"34,23",identifier,"[739, 720, 1118, 1748, 1601]",2
"34,24",[ ],"[1300, 1321, 1748, 1601]",7
"34,25",],[420],2
"34,26",", parameter_declaration","[1297, 1300, 1321, 1748, 1601]",2
"34,28",primitive_type,[649],1
"34,32",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"34,33",),"[1300, 1321, 1748, 1669, 1601]",1
"35,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"36,3",primitive_type,[23],1
"36,7",identifier,"[739, 801, 1139]",1
"36,9",= expression,"[1363, 1455, 1361]",2
"36,11",number_literal,[459],2
"36,12",", init_declarator","[684, 1032, 1592]",11
"36,14",identifier,[1148],1
"36,19",= expression,"[1363, 1477, 1619, 1457]",1
"36,21",identifier,[459],1
"36,22",;,"[715, 1032, 1765, 1619]",10
"38,3",do statement while parenthesized_expression ;,"[230, 25]",0
"39,3",{ preproc_if_repeat1 },[372],1
"40,5",identifier,[23],3
"40,6",[ expression ],"[405, 801, 1139, 1056]",9
"40,7",identifier,[528],1
"40,8",++,"[827, 1090]",5
"40,10",],"[667, 684, 1090]",1
"40,12",= expression,"[681, 837, 1056]",2
"40,14",identifier,[559],1
"40,18",( expression ),"[715, 982, 684, 1056]",4
"40,19",identifier,[451],1
"40,22",( expression ),"[715, 1018]",8
"40,23",identifier,[451],1
"40,24",),"[715, 1018]",2
"40,26",% expression,"[693, 668, 837, 1018]",0
"40,28",identifier,[539],1
"40,29",),"[715, 697, 684, 1018]",2
"40,30",;,"[693, 668, 837, 982, 684, 1056]",1
"41,5",identifier /= expression,"[248, 244, 25]",0
"41,7",/= expression,"[405, 801, 1139, 1056]",0
"41,10",identifier,[559],1
"41,11",;,"[715, 982, 684, 1056]",1
"42,3",},"[248, 244, 31, 25]",1
"42,5",while parenthesized_expression ;,"[87, 244, 1980]",1
"42,11",( expression ),[1729],1
"42,12",identifier /= expression,[453],0
"42,14",/= expression,"[715, 1031]",0
"42,17",identifier,[559],1
"42,18",),"[715, 982, 684, 1031]",1
"42,19",;,"[664, 1857]",1
"44,3",switch parenthesized_expression compound_statement,"[235, 244, 31, 25]",15
"44,10",( expression ),[1721],1
"44,11",identifier,[453],1
"44,12",),"[715, 1031]",1
"45,3",{ preproc_if_repeat1 },"[664, 1708]",1
"46,3",case expression : case_statement_repeat1,[27],10
"46,8",number_literal,[564],3
"46,9",: case_statement_repeat1,"[684, 1076]",1
"47,5",identifier,"[64, 244, 28]",4
"47,6",[ expression ],"[403, 720, 1140, 1056]",6
"47,7",identifier,[528],1
"47,8",++,"[827, 1090]",5
"47,10",],"[667, 684, 1090]",1
"47,12",= expression,"[681, 837, 1056]",2
"47,14",' character ',[559],5
"47,15",character ',[1618],1
"47,16",',[1562],1
"47,17",;,"[690, 684, 982, 1056]",1
"48,5",identifier,"[248, 52, 244, 28]",4
"48,6",[ expression ],"[403, 720, 1140, 1056]",6
"48,7",identifier,[528],1
"48,8",++,"[827, 1090]",5
"48,10",],"[667, 684, 1090]",1
"48,12",= expression,"[681, 837, 1056]",2
"48,14",' character ',[559],5
"48,15",character ',[1618],1
"48,16",',[1562],1
"48,17",;,"[690, 684, 982, 1056]",1
"49,5",break ;,"[248, 55, 52, 244, 28]",5
"49,10",;,[1983],1
"51,3",case expression : case_statement_repeat1,"[164, 55, 52, 244, 28]",6
"51,8",number_literal,[564],3
"51,10",: case_statement_repeat1,"[684, 1076]",1
