Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"4,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"4,10",system_lib_string preproc_include_token2,[1392],1
"4,20",preproc_include_token2,[1816],1
"6,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",5
"6,9",identifier preproc_arg preproc_include_token2,[1879],1
"6,16",preproc_arg preproc_include_token2,[1528],1
"7,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"8,1",primitive_type,"[341, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"8,10",primitive_type,[624],1
"8,14",identifier,"[739, 720, 1118, 1598]",2
"8,15",),"[1300, 1321, 1598]",2
"8,16",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,6",identifier,"[739, 796, 1128]",1
"9,18",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"9,19",primitive_type,[624],1
"9,23",identifier,"[739, 720, 1118, 1598]",2
"9,24",", parameter_declaration","[1300, 1321, 1598]",1
"9,26",primitive_type,[649],1
"9,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"9,32",[ ],"[1300, 1321, 1748, 1601]",7
"9,33",],[420],2
"9,34",", parameter_declaration","[1297, 1300, 1321, 1748, 1601]",2
"9,36",primitive_type,[649],1
"9,40",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"9,47",),"[1300, 1321, 1748, 1669, 1601]",1
"9,48",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"10,1",primitive_type,"[225, 43, 44, 1820]",2
"10,6",identifier,"[739, 796, 1128]",1
"10,17",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"10,18",primitive_type,[624],1
"10,23",identifier,"[739, 720, 1118, 1598]",2
"10,27",[ ],"[1300, 1321, 1598]",7
"10,28",],[420],2
"10,29",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"10,31",primitive_type,[649],1
"10,35",identifier,"[739, 720, 1118, 1748, 1601]",2
"10,40",", parameter_declaration","[1300, 1321, 1748, 1601]",2
"10,42",primitive_type,[649],1
"10,46",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"10,50",),"[1300, 1321, 1748, 1669, 1601]",1
"10,51",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"12,1",primitive_type,"[225, 43, 44, 1820]",2
"12,5",identifier,"[739, 796, 1128]",1
"12,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"12,10",primitive_type,[624],1
"12,14",),"[739, 720, 1118, 1598]",4
"13,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"14,3",primitive_type,[23],1
"14,7",identifier,"[739, 801, 1139]",1
"14,9",= expression,"[1363, 1455, 1361]",2
"14,11",number_literal,[459],2
"14,15",;,"[684, 1032, 1592]",1
"15,3",primitive_type,"[221, 25]",6
"15,8",identifier,"[739, 801, 1139]",1
"15,18",[ expression ],"[1363, 1455, 1361]",4
"15,19",identifier,[420],3
"15,25",],"[827, 1071]",1
"15,26",;,"[1303, 1363, 1455, 1361]",1
"17,15",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"17,17",", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",1
"17,19",identifier,[476],1
"17,29",", expression","[715, 1025, 1572]",2
"17,31",number_literal,[476],2
"17,32",),"[684, 1025, 1668, 1572]",1
"17,33",;,"[698, 668, 837, 1056]",1
"18,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"18,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"18,11",string_content escape_sequence,[1531],2
"18,13",escape_sequence,[1547],2
"18,15","""","[1554, 1547]",1
"18,16",", expression","[627, 663, 684, 1018]",1
"18,18",identifier,[476],1
"18,28",),"[715, 1025, 1572]",1
"18,29",;,"[698, 668, 837, 1056]",1
"20,3",return expression ;,"[248, 244, 31, 25]",5
"20,10",number_literal,[475],2
"20,11",;,"[684, 1070]",1
"21,1",},"[199, 244, 31, 25]",1
"23,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"23,5",identifier,"[739, 796, 1128]",1
"23,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"23,10",primitive_type,[624],1
"23,14",identifier,"[739, 720, 1118, 1598]",2
"23,15",),"[1300, 1321, 1598]",2
"24,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"25,3",primitive_type,[23],1
"25,7",identifier,"[739, 801, 1139]",1
"25,9",= expression,"[1363, 1455, 1361]",2
"25,11",number_literal,[459],2
"25,12",;,"[684, 1032, 1592]",1
"27,3",do statement while parenthesized_expression ;,"[221, 25]",0
"28,3",{ statement },[372],4
"29,5",++ expression,[23],0
"29,7",identifier,[540],1
"29,8",;,"[715, 701, 684, 1056]",1
"30,3",},"[248, 244, 25]",1
"30,5",while parenthesized_expression ;,"[87, 244, 1980]",1
"30,11",( expression ),[1729],1
"30,12",identifier /= expression,[453],0
"30,14",/= expression,"[715, 1031]",0
"30,17",number_literal,[559],2
"30,19",),"[684, 982, 1031]",1
"30,20",;,"[664, 1857]",1
"32,3",return expression ;,"[235, 244, 31, 25]",5
"32,10",identifier,[475],1
"32,11",;,"[715, 1070]",1
"33,1",},"[199, 244, 31, 25]",1
"35,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"35,6",identifier,"[739, 796, 1128]",1
"35,18",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"35,19",primitive_type,[624],1
"35,23",identifier,"[739, 720, 1118, 1598]",2
"35,24",", parameter_declaration","[1300, 1321, 1598]",1
"35,26",primitive_type,[649],1
"35,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"35,32",[ ],"[1300, 1321, 1748, 1601]",7
"35,33",],[420],2
"35,34",", parameter_declaration","[1297, 1300, 1321, 1748, 1601]",2
"35,36",primitive_type,[649],1
"35,40",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"35,47",),"[1300, 1321, 1748, 1669, 1601]",1
"36,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"37,3",primitive_type,[23],1
"37,7",identifier,"[739, 801, 1139]",1
"37,9",= expression,"[1363, 1455, 1361]",2
"37,11",number_literal,[459],2
"37,12",", init_declarator","[684, 1032, 1592]",11
"37,14",identifier,[1148],1
"37,19",= expression,"[1363, 1477, 1619, 1457]",1
"37,21",identifier,[459],1
"37,22",;,"[715, 1032, 1765, 1619]",10
"39,3",do statement while parenthesized_expression ;,"[230, 25]",0
"40,3",{ statement },[372],4
"41,5",identifier,[23],3
"41,6",[ expression ],"[405, 801, 1139, 1056]",9
"41,7",identifier,[528],1
"41,8",++,"[827, 1090]",5
"41,10",],"[667, 684, 1090]",1
"41,12",= expression,"[681, 837, 1056]",2
"41,14",identifier,[559],1
"41,17",( expression ),"[715, 982, 684, 1056]",4
"41,18",identifier,[451],1
"41,20",% expression,"[715, 1018]",0
"41,22",number_literal,[539],2
"41,24",),"[684, 697, 1018]",2
"41,26",+ expression,"[693, 668, 837, 982, 684, 1056]",9
"41,28",' character ',[533],4
"41,29",character ',[1618],1
"41,30",',[1562],1
"41,31",;,"[690, 684, 975, 982, 1056]",1
"42,3",},"[248, 244, 25]",1
"42,5",while parenthesized_expression ;,"[87, 244, 1980]",1
"42,11",( expression ),[1729],1
"42,12",identifier /= expression,[453],0
"42,14",/= expression,"[715, 1031]",0
"42,17",number_literal,[559],2
"42,19",),"[684, 982, 1031]",1
"42,20",;,"[664, 1857]",1
"44,3",if parenthesized_expression statement,"[235, 244, 31, 25]",2
"44,6",( expression ),[1755],1
"44,7",identifier,[452],1
"44,12",< expression,"[715, 1033]",7
"44,14",number_literal,[506],2
"44,15",),"[684, 985, 1033]",1
"45,3",{ statement },"[653, 362]",5
"46,5",identifier,[27],2
"46,6",[ expression ],"[405, 801, 1139, 1056]",9
"46,7",identifier,[528],1
"46,8",++,"[827, 1090]",5
"46,10",],"[667, 684, 1090]",1
"46,12",= expression,"[681, 837, 1056]",2
"46,14",' character ',[559],5
"46,15",character ',[1618],1
"46,16",',[1562],1
"46,17",;,"[690, 684, 982, 1056]",1
"47,3",},"[248, 244, 28]",1
"49,3",primitive_type,"[173, 244, 147, 31, 25]",7
"49,7",identifier,"[739, 801, 1139]",1
"49,11",= expression,"[1363, 1455, 1361]",2
"49,13",identifier,[459],1
"49,17",( expression ),"[715, 1032, 1592]",3
"49,18",identifier,[451],1
"49,22",),"[715, 1018]",2
"49,23",;,"[693, 668, 837, 1032, 1592]",2
"50,3",while parenthesized_expression statement,"[221, 31, 25]",10
"50,9",( expression ),[1757],1
"50,10",identifier,[452],1
"50,14",< expression,"[715, 1033]",7
"50,16",identifier,[506],1
"50,23",),"[715, 985, 684, 1033]",1
"51,3",{ preproc_if_repeat1 },"[653, 366]",1
