Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",2
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"4,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",7
"4,9",identifier preproc_arg preproc_include_token2,[1879],1
"4,16",preproc_arg preproc_include_token2,[1528],1
"4,20",preproc_include_token2,[1877],1
"6,1",primitive_type,"[341, 43, 44, 1820]",2
"6,5",identifier,"[739, 796, 1128]",1
"6,13",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"6,14",primitive_type,[624],1
"6,19",identifier,"[739, 720, 1118, 1598]",2
"6,23",[ ],"[1300, 1321, 1598]",5
"6,24",],[420],3
"6,25",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"6,27",primitive_type,[649],1
"6,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"6,34",),"[1300, 1321, 1748, 1601]",1
"6,35",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"7,1",primitive_type,"[225, 43, 44, 1820]",2
"7,5",identifier,"[739, 796, 1128]",1
"7,13",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"7,14",primitive_type,[624],1
"7,19",identifier,"[739, 720, 1118, 1598]",2
"7,25",[ ],"[1300, 1321, 1598]",5
"7,26",],[420],3
"7,27",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"7,29",primitive_type,[649],1
"7,34",identifier,"[739, 720, 1118, 1748, 1601]",2
"7,41",[ ],"[1300, 1321, 1748, 1601]",6
"7,42",],[420],3
"7,43",),"[1297, 1300, 1321, 1748, 1601]",1
"7,44",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,5",identifier,"[739, 796, 1128]",1
"9,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"9,10",primitive_type,[624],1
"9,14",),"[739, 720, 1118, 1598]",4
"10,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"11,3",primitive_type,[23],2
"11,8",identifier,"[739, 801, 1139]",1
"11,12",[ expression ],"[1363, 1455, 1361]",3
"11,13",identifier,[420],1
"11,19",],"[827, 1071]",1
"11,20",;,"[1303, 1363, 1455, 1361]",1
"12,3",primitive_type,"[220, 25]",6
"12,8",identifier,"[739, 801, 1139]",1
"12,15",[ expression ],"[1363, 1455, 1361]",3
"12,16",identifier,[420],1
"12,22",],"[827, 1071]",1
"12,24",= expression,"[1303, 1363, 1455, 1361]",2
"12,26",""" string_content """,[459],7
"12,27","string_content """,[1531],1
"12,34","""",[1547],1
"12,35",;,"[627, 663, 684, 1032, 1592]",1
"14,3",identifier,"[221, 31, 25]",1
"14,11",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
"14,12",identifier,"[988, 1256, 451]",1
"14,16",", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",2
"14,18",identifier,[476],1
"14,24",),"[715, 1025, 1572]",1
"14,25",;,"[698, 668, 837, 1056]",1
"15,3",identifier,"[248, 244, 31, 25]",1
"15,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
