Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",2
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",primitive_type,"[361, 44, 1820]",2
"3,5",identifier,"[739, 796, 1128]",1
"3,10",( parameter_declaration ),"[1363, 1458, 1356]",3
"3,11",primitive_type,[624],1
"3,15",),"[739, 720, 1118, 1598]",4
"3,16",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"4,1",primitive_type,"[225, 43, 44, 1820]",2
"4,6",identifier,"[739, 796, 1128]",1
"4,13",( parameter_declaration ),"[1363, 1458, 1356]",3
"4,14",primitive_type,[624],1
"4,18",identifier,"[739, 720, 1118, 1598]",2
"4,19",),"[1300, 1321, 1598]",2
"4,20",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"6,1",primitive_type,"[225, 43, 44, 1820]",2
"6,5",identifier,"[739, 796, 1128]",1
"6,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"6,10",primitive_type,[624],1
"6,14",),"[739, 720, 1118, 1598]",4
"7,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"8,3",primitive_type,[23],2
"8,8",identifier,"[739, 801, 1139]",1
"8,10",= expression,"[1363, 1455, 1361]",2
"8,12",identifier,[459],1
"8,17",( ),"[715, 1032, 1592]",9
"8,18",),[451],4
"8,19",;,"[696, 668, 837, 1032, 1592]",2
"9,3",identifier,"[221, 25]",1
"9,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
"9,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"9,11",string_content escape_sequence,[1531],2
"9,13",escape_sequence,[1547],2
"9,15","""","[1554, 1547]",1
"9,16",", expression","[627, 663, 684, 1018]",2
"9,18",identifier,[476],1
"9,19",),"[715, 1025, 1572]",1
"9,20",;,"[698, 668, 837, 1056]",1
"11,3",identifier,"[248, 244, 31, 25]",1
"11,10",( expression ),"[405, 801, 1139, 1056]",3
"11,11",identifier,"[988, 1256, 451]",1
"11,12",),"[754, 1077, 1813, 1300, 1442, 715, 1018]",1
"11,13",;,"[761, 770, 801, 1139, 1301, 1363, 1455, 1361, 693, 668, 837, 1056]",1
"13,3",identifier,"[248, 244, 31, 25, 310, 220]",1
"13,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
"13,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"13,11",string_content escape_sequence,[1531],2
"13,13",escape_sequence,[1547],2
"13,15","""","[1554, 1547]",1
"13,16",", expression","[627, 663, 684, 1018]",2
"13,18",identifier = expression,[476],20
"13,20",= expression,"[715, 1025, 1572]",5
"13,22",identifier,[559],1
"13,27",( ),"[715, 982, 684, 1025, 1572]",11
"13,28",),[451],4
"13,29",),"[696, 668, 837, 982, 684, 1025, 1572]",1
"13,30",;,"[698, 668, 837, 1056]",1
"15,3",return expression ;,"[248, 244, 31, 25]",5
"15,10",number_literal,[475],2
"15,11",;,"[684, 1070]",1
"16,1",},"[199, 244, 31, 25]",2
"18,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"18,5",identifier,"[739, 796, 1128]",1
"18,9",= expression,"[1363, 1458, 1356]",6
"18,11",number_literal,[459],2
"18,13",;,"[684, 1032, 1606]",4
"20,1",primitive_type,"[226, 43, 44, 1820]",2
