Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,19",preproc_include_token2,[1816],1
"5,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",6
"5,9",identifier preproc_arg preproc_include_token2,[1879],1
"5,15",preproc_arg preproc_include_token2,[1528],1
"6,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",6
"6,9",identifier preproc_arg preproc_include_token2,[1879],1
"6,16",preproc_arg preproc_include_token2,[1528],1
"7,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",6
"7,9",identifier preproc_arg preproc_include_token2,[1879],1
"7,18",preproc_arg preproc_include_token2,[1528],1
"8,1",#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",6
"8,9",identifier preproc_arg preproc_include_token2,[1879],1
"8,16",preproc_arg preproc_include_token2,[1528],1
"9,1",preproc_include_token2,"[341, 43, 44, 1820]",0
"10,1",primitive_type,"[341, 43, 44, 1820]",2
"10,5",identifier,"[739, 796, 1128]",1
"10,10",( parameter_declaration ),"[1363, 1458, 1356]",3
"10,11",primitive_type,[624],1
"10,15",[ ],"[739, 720, 1118, 1598]",14
"10,16",],[419],2
"10,17",),"[1459, 1443, 1393, 1598]",2
"10,18",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"11,1",primitive_type,"[225, 43, 44, 1820]",2
"11,6",identifier,"[739, 796, 1128]",1
"11,10",( parameter_declaration ),"[1363, 1458, 1356]",3
"11,11",primitive_type,[624],1
"11,17",),"[739, 720, 1118, 1598]",4
"11,18",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"12,1",primitive_type,"[225, 43, 44, 1820]",2
"12,8",identifier,"[739, 796, 1128]",1
"12,11",( parameter_declaration ),"[1363, 1458, 1356]",3
"12,12",primitive_type,[624],1
"12,16",),"[739, 720, 1118, 1598]",4
"12,17",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"14,1",primitive_type,"[225, 43, 44, 1820]",2
"14,5",identifier,"[739, 796, 1128]",1
"14,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"14,10",primitive_type,[624],1
"14,14",),"[739, 720, 1118, 1598]",4
"15,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"16,3",primitive_type,[23],2
"16,7",identifier,"[739, 801, 1139]",1
"16,11",;,"[1363, 1455, 1361]",1
"17,3",primitive_type,"[220, 25]",6
"17,10",identifier,"[739, 801, 1139]",1
"17,13",;,"[1363, 1455, 1361]",1
"18,3",primitive_type,"[220, 31, 25]",6
"18,8",identifier,"[739, 801, 1139]",1
"18,9",[ expression ],"[1363, 1455, 1361]",5
"18,10",identifier,[420],3
"18,15",],"[827, 1071]",1
"18,16",;,"[1303, 1363, 1455, 1361]",1
"20,3",while parenthesized_expression statement,"[220, 31, 25]",13
"20,9",( expression ),[1757],1
"20,10",( expression ),[452],4
"20,11",identifier = expression,[378],5
"20,16",= expression,"[527, 1031, 1077, 1856]",12
"20,18",identifier,[559],1
"20,23",( expression ),"[715, 982, 684, 1031]",5
"20,24",identifier,[451],1
"20,25",),"[715, 1018]",2
"20,26",),"[693, 668, 837, 982, 684, 1031]",2
"20,28",!= expression,"[664, 837, 1033]",6
"20,31",identifier,[618],1
"20,34",),"[715, 960, 684, 1033]",1
"21,3",{ statement },"[653, 366]",8
"22,5",switch parenthesized_expression compound_statement,[27],17
"22,12",( expression ),[1721],1
"22,13",identifier,[453],1
"22,17",),"[715, 1031]",1
"23,5",{ preproc_if_repeat1 },"[664, 1708]",1
"24,5",case expression : case_statement_repeat1,[27],10
"24,10",identifier,[564],1
"24,16",: case_statement_repeat1,"[715, 1076]",1
"25,7",identifier,"[64, 244, 28]",4
"25,11",( expression ),"[403, 720, 1140, 1056]",4
"25,12",identifier,"[988, 1256, 451]",1
"25,16",( expression ),"[754, 1077, 1813, 1300, 1442, 715, 1018]",4
"25,17",identifier,"[988, 623, 451, 423]",1
"25,18",),"[754, 1077, 1813, 720, 1118, 1598, 715, 1018]",2
"25,19",),"[761, 770, 1077, 1813, 693, 668, 837, 1018, 1290, 1254, 1300, 1442, 1452, 1443, 1474]",2
"25,20",;,"[693, 668, 837, 1056, 1301, 1363, 1455, 1457, 761, 770, 720, 1140]",1
"26,7",break ;,"[248, 52, 244, 28, 220]",6
"26,12",;,[1983],1
"28,5",case expression : case_statement_repeat1,"[164, 55, 52, 244, 28]",6
"28,10",' character ',[564],2
"28,11",character ',[1618],1
"28,12",',[1562],1
"28,13",: case_statement_repeat1,"[690, 684, 1076]",1
"29,7",identifier,"[64, 244, 31, 28]",4
"29,11",( expression ),"[403, 720, 1140, 1056]",4
"29,12",identifier,"[988, 1256, 451]",1
"29,15",( ),"[754, 1077, 1813, 1300, 1442, 715, 1018]",18
"29,16",),"[988, 623, 451, 423]",2
"29,18",+ expression,"[1282, 1254, 1300, 1442, 1452, 1443, 1474, 1813, 696, 668, 837, 1018]",7
"29,20",identifier,[533],1
"29,23",( ),"[715, 975, 684, 1018]",14
"29,24",),[451],4
"29,25",),"[696, 668, 837, 975, 684, 1018]",2
"29,26",;,"[693, 668, 837, 1056]",1
"30,7",break ;,"[248, 52, 244, 31, 28]",6
"30,12",;,[1983],1
"32,5",case expression : case_statement_repeat1,"[164, 55, 52, 244, 31, 28]",6
"32,10",' character ',[564],2
"32,11",character ',[1618],1
"32,12",',[1562],1
"32,13",: case_statement_repeat1,"[690, 684, 1076]",1
"33,7",identifier = expression,"[64, 244, 31, 28]",3
"33,11",= expression,"[403, 720, 1140, 1056]",9
"33,13",identifier,[559],1
"33,16",( ),"[715, 982, 684, 1056]",9
"33,17",),[451],4
"33,18",;,"[696, 668, 837, 982, 684, 1056]",1
"34,7",identifier,"[248, 52, 244, 31, 28]",2
"34,11",( expression ),"[403, 720, 1140, 1056]",4
"34,12",identifier,"[988, 1256, 451]",1
"34,15",( ),"[754, 1077, 1813, 1300, 1442, 715, 1018]",18
"34,16",),"[988, 623, 451, 423]",2
"34,18",- expression,"[1282, 1254, 1300, 1442, 1452, 1443, 1474, 1813, 696, 668, 837, 1018]",17
"34,20",identifier,[533],1
"34,23",),"[715, 975, 684, 1018]",2
"34,24",;,"[693, 668, 837, 1056]",1
"35,7",break ;,"[248, 55, 52, 244, 31, 28]",6
"35,12",;,[1983],1
"37,5",case expression : case_statement_repeat1,"[164, 55, 52, 244, 31, 28]",6
"37,10",' character ',[564],2
"37,11",character ',[1618],1
"37,12",',[1562],1
"37,13",: case_statement_repeat1,"[690, 684, 1076]",1
"38,7",identifier,"[64, 244, 31, 28]",4
"38,11",( expression ),"[403, 720, 1140, 1056]",4
"38,12",identifier,"[988, 1256, 451]",1
"38,15",( ),"[754, 1077, 1813, 1300, 1442, 715, 1018]",18
"38,16",),"[988, 623, 451, 423]",2
"38,18",* expression,"[1282, 1254, 1300, 1442, 1452, 1443, 1474, 1813, 696, 668, 837, 1018]",15
"38,20",identifier,[539],1
"38,23",( ),"[715, 697, 684, 1018]",14
"38,24",),[451],4
"38,25",),"[696, 668, 837, 697, 684, 1018]",2
"38,26",;,"[693, 668, 837, 1056]",1
"39,7",break ;,"[248, 52, 244, 31, 28]",6
"39,12",;,[1983],1
"41,5",case expression : case_statement_repeat1,"[164, 55, 52, 244, 31, 28]",6
"41,10",' character ',[564],2
"41,11",character ',[1618],1
"41,12",',[1562],1
"41,13",: case_statement_repeat1,"[690, 684, 1076]",1
"42,7",identifier = expression,"[64, 244, 31, 28]",3
"42,11",= expression,"[403, 720, 1140, 1056]",9
"42,13",identifier,[559],1
"42,16",( ),"[715, 982, 684, 1056]",9
"42,17",),[451],4
"42,18",;,"[696, 668, 837, 982, 684, 1056]",1
"44,7",if parenthesized_expression statement else_clause,"[248, 52, 244, 31, 28]",11
"44,10",( expression ),[1755],1
"44,11",identifier,[452],1
"44,15",!= expression,"[715, 1033]",5
"44,18",number_literal,[618],2
"44,21",),"[684, 960, 1033]",1
"45,7",{ statement },"[653, 362]",5
"46,9",identifier,[27],1
"46,13",( expression ),"[405, 801, 1139, 1056]",5
"46,14",identifier,"[988, 1256, 451]",1
"46,17",( ),"[754, 1077, 1813, 1300, 1442, 715, 1018]",18
"46,18",),"[988, 623, 451, 423]",2
"46,20",/ expression,"[1282, 1254, 1300, 1442, 1452, 1443, 1474, 1813, 696, 668, 837, 1018]",0
"46,22",identifier,[539],1
"46,25",),"[715, 697, 684, 1018]",2
"46,26",;,"[693, 668, 837, 1056]",1
"47,7",},"[248, 244, 28]",1
"48,7",else statement,"[173, 244, 147, 55, 52, 31, 28]",5
"49,7",{ statement },[373],6
"50,9",identifier,[27],1
"50,15",( expression ),"[405, 801, 1139, 1056]",5
"50,16",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"50,17",string_content escape_sequence,[1531],2
"50,37",escape_sequence,[1547],2
"50,39","""","[1554, 1547]",1
"50,40",),"[627, 663, 684, 1018]",2
"50,41",;,"[693, 668, 837, 1056]",1
"51,7",},"[248, 244, 28]",1
