Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",#define identifier preproc_params preproc_arg preproc_include_token2,"[361, 44, 1820]",8
"3,9",identifier preproc_params preproc_arg preproc_include_token2,[1879],2
"3,13",( identifier preproc_params_repeat1 ),[1528],3
"3,14",identifier preproc_params_repeat1 ),[1649],2
"3,15",", identifier",[1631],2
"3,17",identifier,[1707],1
"3,18",", identifier","[1759, 1586]",2
"3,20",identifier,[1707],1
"3,21",),"[1759, 1577, 1586]",1
"4,3",preproc_arg preproc_include_token2,"[327, 43, 44, 1820]",0
"10,1",preproc_include_token2,"[327, 43, 44, 1820]",0
"11,1",primitive_type,"[327, 43, 44, 1820]",2
"11,5",identifier,"[739, 796, 1128]",1
"11,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"11,10",primitive_type,[624],1
"11,14",),"[739, 720, 1118, 1598]",4
"12,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"13,3",primitive_type,[23],2
"13,7",identifier,"[739, 801, 1139]",1
"13,9",= expression,"[1363, 1455, 1361]",2
"13,11",number_literal,[459],2
"13,12",", init_declarator","[684, 1032, 1592]",12
"13,14",identifier,[1148],1
"13,16",= expression,"[1363, 1477, 1619, 1457]",5
"13,18",number_literal,[459],2
"13,19",;,"[684, 1032, 1765, 1619]",10
"15,3",identifier,"[230, 25]",3
"15,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"15,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"15,11",string_content escape_sequence,[1531],2
"15,23",escape_sequence,[1547],2
"15,25","""","[1554, 1547]",1
"15,26",", expression","[627, 663, 684, 1018]",1
"15,28",identifier,[476],1
"15,29",", expression","[715, 1025, 1572]",2
"15,31",identifier,[476],1
"15,32",),"[715, 1025, 1668, 1572]",1
"15,33",;,"[698, 668, 837, 1056]",1
"17,3",identifier,"[248, 244, 31, 25]",1
"17,7",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"17,8",identifier,"[988, 1256, 451]",1
"17,11",", expression","[739, 1077, 1813, 1300, 1442, 715, 1018]",1
"17,13",identifier,[476],1
"17,14",", expression","[715, 1025, 1572]",2
"17,16",identifier,[476],1
"17,17",),"[715, 1025, 1668, 1572]",1
"17,18",;,"[698, 668, 837, 1056]",1
"18,3",identifier,"[248, 244, 31, 25]",1
"18,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"18,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"18,11",string_content escape_sequence,[1531],2
"18,23",escape_sequence,[1547],2
"18,25","""","[1554, 1547]",1
"18,26",", expression","[627, 663, 684, 1018]",1
"18,28",identifier,[476],1
"18,29",", expression","[715, 1025, 1572]",2
"18,31",identifier,[476],1
"18,32",),"[715, 1025, 1668, 1572]",1
"18,33",;,"[698, 668, 837, 1056]",1
"20,3",return expression ;,"[248, 244, 31, 25]",6
"20,10",number_literal,[475],2
"20,11",;,"[684, 1070]",1
"21,1",},"[199, 244, 31, 25]",1
