Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",primitive_type,"[361, 44, 1820]",2
"3,5",identifier,"[739, 796, 1128]",1
"3,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"3,10",const,[624],4
"3,16",primitive_type,"[711, 695]",1
"3,21",* _declarator,"[739, 719, 1118, 1598]",1
"3,22",identifier,"[788, 1443, 1393, 1598]",1
"3,23",),"[1300, 1366, 1321, 1598]",2
"3,24",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"5,1",primitive_type,"[225, 43, 44, 1820]",2
"5,5",identifier,"[739, 796, 1128]",1
"5,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"5,10",primitive_type,[624],1
"5,14",),"[739, 720, 1118, 1598]",4
"6,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"7,3",primitive_type,[23],1
"7,7",identifier,"[739, 801, 1139]",1
"7,8",;,"[1363, 1455, 1361]",1
"8,3",primitive_type,"[220, 25]",6
"8,8",* _declarator,"[739, 801, 1139]",2
"8,9",identifier,[949],1
"8,11",= expression,"[1300, 1291, 1363, 1455, 1361]",2
"8,13",""" string_content """,[459],7
"8,14","string_content """,[1531],1
"8,19","""",[1547],1
"8,20",;,"[627, 663, 684, 1032, 1592]",1
"10,3",identifier = expression,"[221, 31, 25]",3
"10,5",= expression,"[405, 801, 1139, 1056]",2
"10,7",identifier,[559],1
"10,11",( expression ),"[715, 982, 684, 1056]",4
"10,12",identifier,[451],1
"10,13",),"[715, 1018]",1
"10,14",;,"[693, 668, 837, 982, 684, 1056]",1
"12,3",identifier,"[248, 244, 31, 25]",4
"12,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",4
"12,10",""" string_content ""","[988, 1256, 451]",3
"12,11","string_content """,[1531],1
"12,19","""",[1547],1
"12,20",", expression","[627, 663, 684, 1018]",2
"12,22",identifier,[476],1
"12,23",),"[715, 1025, 1572]",1
"12,24",;,"[698, 668, 837, 1056]",1
"14,3",return expression ;,"[248, 244, 31, 25]",5
"14,10",number_literal,[475],2
"14,11",;,"[684, 1070]",1
"15,1",},"[199, 244, 31, 25]",1
"17,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"17,5",identifier,"[739, 796, 1128]",1
"17,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"17,10",const,[624],4
"17,16",primitive_type,"[711, 695]",1
"17,21",* _declarator,"[739, 719, 1118, 1598]",1
"17,22",identifier,"[788, 1443, 1393, 1598]",1
"17,23",),"[1300, 1366, 1321, 1598]",2
"18,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"19,3",primitive_type,[23],1
"19,7",identifier,"[739, 801, 1139]",1
"19,9",= expression,"[1363, 1455, 1361]",2
"19,11",number_literal,[459],2
"19,12",;,"[684, 1032, 1592]",1
"21,3",while parenthesized_expression statement,"[221, 25]",9
"21,9",( expression ),[1757],1
"21,10",* expression,[452],4
"21,11",identifier,[555],1
"21,13",!= expression,"[625, 692, 837, 1033]",6
"21,16",' escape_sequence ',[618],5
"21,17",escape_sequence ',[1618],2
"21,19",',[1562],1
"21,21",&& expression,"[690, 684, 960, 1033]",3
"21,24",* expression,[544],4
"21,25",identifier,[555],1
"21,27",> expression,"[625, 692, 837, 976, 684, 1033]",13
"21,29",' character ',[506],3
"21,30",character ',[1618],1
"21,31",',[1562],1
"21,33",&& expression,"[690, 684, 985, 976, 1033]",3
"21,36",* expression,[544],4
"21,37",identifier,[555],1
"21,39",< expression,"[625, 692, 837, 976, 684, 1033]",11
"21,41",' character ',[506],3
"21,42",character ',[1618],1
"21,43",',[1562],1
"21,44",),"[690, 684, 985, 976, 1033]",1
"22,3",{ preproc_if_repeat1 },"[653, 366]",1
"23,5",identifier = expression,[27],1
"23,7",= expression,"[405, 801, 1139, 1056]",2
"23,9",identifier,[559],1
"23,11",* expression,"[715, 982, 684, 1056]",16
"23,13",number_literal,[539],2
"23,16",+ expression,"[684, 697, 982, 1056]",8
"23,18",* expression,[533],6
"23,19",identifier,[555],1
"23,21",- expression,"[625, 692, 837, 975, 684, 982, 1056]",11
"23,23",' character ',[533],4
"23,24",character ',[1618],1
"23,25",',[1562],1
"23,26",;,"[690, 684, 975, 982, 1056]",1
"24,5",++ expression,"[248, 244, 28]",0
"24,7",identifier,[540],1
"24,8",;,"[715, 701, 684, 1056]",1
"25,3",},"[248, 244, 31, 28]",1
"27,3",return expression ;,"[173, 244, 198, 31, 25]",5
"27,10",identifier,[475],1
"27,11",;,"[715, 1070]",1
"28,1",},"[199, 244, 31, 25]",1
