Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"4,1",primitive_type,"[361, 43, 44, 1820]",2
"4,6",identifier,"[739, 796, 1128]",1
"4,13",( parameter_declaration ),"[1363, 1458, 1356]",3
"4,14",primitive_type,[624],1
"4,19",* _declarator,"[739, 720, 1118, 1598]",1
"4,20",identifier,"[788, 1443, 1393, 1598]",1
"4,21",),"[1300, 1366, 1321, 1598]",2
"4,22",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"6,1",primitive_type,"[225, 43, 44, 1820]",2
"6,5",identifier,"[739, 796, 1128]",1
"6,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"6,10",primitive_type,[624],1
"6,14",),"[739, 720, 1118, 1598]",4
"7,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"8,3",primitive_type,[23],1
"8,8",identifier,"[739, 801, 1139]",1
"8,9",[ expression ],"[1363, 1455, 1361]",4
"8,10",number_literal,[420],1
"8,13",],"[684, 1071]",1
"8,15",= expression,"[1303, 1363, 1455, 1361]",2
"8,17",""" string_content """,[459],7
"8,18","string_content """,[1531],1
"8,22","""",[1547],1
"8,23",;,"[627, 663, 684, 1032, 1592]",1
"13,3",return expression ;,"[248, 244, 31, 25, 310, 220]",5
"13,10",number_literal,[475],2
"13,11",;,"[684, 1070]",1
"14,1",},"[199, 244, 31, 25]",1
"16,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"16,6",identifier,"[739, 796, 1128]",1
"16,13",( parameter_declaration ),"[1363, 1458, 1356]",3
"16,14",primitive_type,[624],1
"16,19",* _declarator,"[739, 720, 1118, 1598]",1
"16,20",identifier,"[788, 1443, 1393, 1598]",1
"16,21",),"[1300, 1366, 1321, 1598]",2
"17,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"18,3",primitive_type,[23],1
"18,8",* _declarator,"[739, 801, 1139]",2
"18,9",identifier,[949],1
"18,11",= expression,"[1300, 1291, 1363, 1455, 1361]",2
"18,13",identifier,[459],1
"18,15",+ expression,"[715, 1032, 1592]",7
"18,17",identifier,[533],1
"18,23",( expression ),"[715, 975, 684, 1032, 1592]",4
"18,24",identifier,[451],1
"18,25",),"[715, 1018]",2
"18,27",- expression,"[693, 668, 837, 975, 684, 1032, 1592]",9
"18,29",number_literal,[533],2
"18,30",;,"[684, 975, 1032, 1592]",1
"19,3",primitive_type,"[221, 25]",6
"19,8",identifier,"[739, 801, 1139]",1
"19,12",= expression,"[1363, 1455, 1361]",2
"19,14",number_literal,[459],2
"19,15",;,"[684, 1032, 1592]",1
"21,3",if parenthesized_expression statement,"[221, 31, 25]",2
"21,6",( expression ),[1755],1
"21,7",* expression,[452],3
"21,8",identifier,[555],1
"21,10",== expression,"[625, 692, 837, 1033]",3
"21,13",' escape_sequence ',[618],5
"21,14",escape_sequence ',[1618],2
"21,16",',[1562],1
"21,17",),"[690, 684, 960, 1033]",1
"22,5",return ;,"[653, 362]",8
"22,11",;,[475],3
"24,3",while parenthesized_expression statement,"[163, 244, 147, 31, 25]",11
"24,9",( expression ),[1757],1
"24,10",identifier,[452],1
"24,12",< expression,"[715, 1033]",7
"24,14",identifier,[506],1
"24,15",),"[715, 985, 684, 1033]",1
"25,3",{ preproc_if_repeat1 },"[653, 366]",1
"26,5",identifier = expression,[27],1
"26,9",= expression,"[405, 801, 1139, 1056]",2
"26,11",* expression,[559],6
"26,12",identifier,[555],1
"26,13",;,"[625, 692, 837, 982, 684, 1056]",1
"27,5",* expression,"[248, 244, 28]",12
"27,6",identifier,[555],1
"27,7",--,"[625, 692, 837, 1056]",10
"27,10",= expression,"[667, 684, 692, 837, 1056]",2
"27,12",* expression,[559],6
"27,13",identifier,[555],1
"27,14",;,"[625, 692, 837, 982, 684, 1056]",1
"28,5",* expression,"[248, 244, 31, 28]",12
"28,6",identifier,[555],1
"28,7",++,"[625, 692, 837, 1056]",8
"28,10",= expression,"[667, 684, 692, 837, 1056]",2
"28,12",identifier,[559],1
"28,15",;,"[715, 982, 684, 1056]",1
"29,3",},"[248, 244, 31, 28]",1
"30,1",},"[173, 244, 198, 31, 25]",1
