Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"3,1",static,"[361, 44, 1820]",1
"3,8",primitive_type,"[722, 695]",1
"3,13",identifier,"[739, 719, 1128]",1
"3,28",[ ],"[1363, 1458, 1356]",7
"3,29",],[420],2
"3,31",= initializer_list,"[1297, 1363, 1458, 1356]",8
"3,33",{ expression initializer_list_repeat1 },[459],4
"3,34",number_literal,[432],1
"3,35",", expression","[684, 1015]",1
"3,37",number_literal,[442],1
"3,39",", expression","[684, 1030, 1660]",1
"3,41",number_literal,[441],1
"3,43",", expression","[684, 1030, 1597, 1660]",1
"3,45",number_literal,[441],1
"3,47",", expression","[684, 1030, 1597, 1660]",1
"3,49",number_literal,[441],1
"3,51",", expression","[684, 1030, 1597, 1660]",1
"3,53",number_literal,[441],1
"3,55",", expression","[684, 1030, 1597, 1660]",1
"3,57",number_literal,[441],1
"3,59",", expression","[684, 1030, 1597, 1660]",1
"3,61",number_literal,[441],1
"3,63",", expression","[684, 1030, 1597, 1660]",1
"3,65",number_literal,[441],1
"3,67",", expression","[684, 1030, 1597, 1660]",1
"3,69",number_literal,[441],1
"3,71",", expression","[684, 1030, 1597, 1660]",1
"3,73",number_literal,[441],1
"3,75",", expression","[684, 1030, 1597, 1660]",1
"3,77",number_literal,[441],1
"3,79",", expression","[684, 1030, 1597, 1660]",1
"3,81",number_literal,[441],1
"3,83",},"[684, 1030, 1597, 1660]",2
"3,84",;,"[671, 1754, 1606]",1
"4,1",static,"[226, 43, 44, 1820]",1
"4,8",primitive_type,"[722, 695]",1
"4,13",identifier,"[739, 719, 1128]",1
"4,33",[ ],"[1363, 1458, 1356]",7
"4,34",],[420],2
"4,36",= initializer_list,"[1297, 1363, 1458, 1356]",8
"4,38",{ expression initializer_list_repeat1 },[459],4
"4,39",number_literal,[432],1
"4,40",", expression","[684, 1015]",1
"4,42",number_literal,[442],1
"4,44",", expression","[684, 1030, 1660]",1
"4,46",number_literal,[441],1
"4,48",", expression","[684, 1030, 1597, 1660]",1
"4,50",number_literal,[441],1
"4,52",", expression","[684, 1030, 1597, 1660]",1
"4,54",number_literal,[441],1
"4,56",", expression","[684, 1030, 1597, 1660]",1
"4,58",number_literal,[441],1
"4,60",", expression","[684, 1030, 1597, 1660]",1
"4,62",number_literal,[441],1
"4,64",", expression","[684, 1030, 1597, 1660]",1
"4,66",number_literal,[441],1
"4,68",", expression","[684, 1030, 1597, 1660]",1
"4,70",number_literal,[441],1
"4,72",", expression","[684, 1030, 1597, 1660]",1
"4,74",number_literal,[441],1
"4,76",", expression","[684, 1030, 1597, 1660]",1
"4,78",number_literal,[441],1
"4,80",", expression","[684, 1030, 1597, 1660]",1
"4,82",number_literal,[441],1
"4,84",", expression","[684, 1030, 1597, 1660]",1
"4,86",number_literal,[441],1
"4,88",},"[684, 1030, 1597, 1660]",2
"4,89",;,"[671, 1754, 1606]",1
"6,1",static,"[226, 43, 44, 1820]",1
"6,8",primitive_type,"[722, 695]",1
"6,13",* _declarator,"[739, 719, 1128]",2
"6,14",identifier,[949],1
"6,20",[ expression ],"[1300, 1291, 1363, 1458, 1356]",10
"6,21",number_literal,[420],1
"6,22",],"[684, 1071]",1
"6,24",= initializer_list,"[1303, 1300, 1291, 1363, 1458, 1356]",8
"6,26",{ expression initializer_list_repeat1 },[459],4
"6,27",identifier,[432],5
"6,42",", expression","[794, 1015]",1
"6,44",identifier,[442],2
"6,64",},"[794, 1030, 1660]",2
"6,65",;,"[671, 1754, 1606]",1
"8,1",primitive_type,"[226, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,16",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"8,17",primitive_type,[624],1
"8,21",identifier,"[739, 720, 1118, 1598]",2
"8,25",", parameter_declaration","[1300, 1321, 1598]",1
"8,27",primitive_type,[649],1
"8,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"8,36",", parameter_declaration","[1300, 1321, 1748, 1601]",2
"8,38",primitive_type,[649],1
"8,42",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"8,45",),"[1300, 1321, 1748, 1669, 1601]",1
"8,46",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,6",identifier,"[739, 796, 1128]",1
"9,15",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"9,16",primitive_type,[624],1
"9,20",identifier,"[739, 720, 1118, 1598]",2
"9,24",", parameter_declaration","[1300, 1321, 1598]",1
"9,26",primitive_type,[649],1
"9,30",identifier,"[739, 720, 1118, 1748, 1601]",2
"9,37",", parameter_declaration","[1300, 1321, 1748, 1601]",2
"9,39",primitive_type,[649],1
"9,43",* _declarator,"[739, 720, 1118, 1748, 1669, 1601]",1
"9,44",identifier,"[788, 1443, 1393, 1748, 1669, 1601]",1
"9,50",", parameter_declaration","[1300, 1366, 1321, 1748, 1669, 1601]",2
"9,52",primitive_type,[649],1
"9,56",* _declarator,"[739, 720, 1118, 1748, 1669, 1601]",1
"9,57",identifier,"[788, 1443, 1393, 1748, 1669, 1601]",1
"9,60",),"[1300, 1366, 1321, 1748, 1669, 1601]",1
"9,61",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"11,1",primitive_type,"[225, 43, 44, 1820]",2
"11,5",identifier,"[739, 796, 1128]",1
"11,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"11,10",primitive_type,[624],1
"11,14",),"[739, 720, 1118, 1598]",4
"12,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"13,3",primitive_type,[23],1
"13,7",identifier,"[739, 801, 1139]",1
"13,11",= expression,"[1363, 1455, 1361]",2
"13,13",identifier,[459],1
"13,24",( expression argument_list_repeat1 ),"[715, 1032, 1592]",5
"13,25",number_literal,[451],6
"13,29",", expression","[684, 1018]",1
"13,31",number_literal,[476],2
"13,32",", expression","[684, 1025, 1572]",2
"13,34",number_literal,[476],2
"13,36",),"[684, 1025, 1668, 1572]",1
"13,37",;,"[698, 668, 837, 1032, 1592]",2
"14,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"14,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"14,11",string_content escape_sequence,[1531],2
"14,30",escape_sequence,[1547],2
"14,32","""","[1554, 1547]",1
"14,33",", expression","[627, 663, 684, 1018]",1
"14,35",identifier,[476],1
"14,38",),"[715, 1025, 1572]",1
"14,39",;,"[698, 668, 837, 1056]",1
"16,3",primitive_type,"[248, 244, 31, 25]",6
"16,7",identifier,"[739, 801, 1139]",1
"16,21",= expression,"[1363, 1455, 1361]",2
"16,23",identifier,[459],1
"16,34",( expression argument_list_repeat1 ),"[715, 1032, 1592]",5
"16,35",number_literal,[451],6
"16,39",", expression","[684, 1018]",1
"16,41",number_literal,[476],2
"16,43",", expression","[684, 1025, 1572]",2
"16,45",number_literal,[476],2
"16,46",),"[684, 1025, 1668, 1572]",1
"16,47",;,"[698, 668, 837, 1032, 1592]",2
"17,3",if parenthesized_expression statement,"[221, 31, 25]",2
"17,6",( expression ),[1755],1
"17,7",identifier,[452],1
"17,21",== expression,"[715, 1033]",2
"17,24",number_literal,[618],2
"17,26",),"[684, 960, 1033]",1
"18,3",{ statement },"[653, 362]",5
"19,11",( expression ),"[405, 801, 1139, 1056]",6
"19,12",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"19,13",string_content escape_sequence,[1531],2
"19,45",escape_sequence,[1547],2
"19,47","""","[1554, 1547]",1
"19,48",),"[627, 663, 684, 1018]",2
"19,49",;,"[693, 668, 837, 1056]",1
"20,3",},"[248, 244, 28]",1
"22,3",primitive_type,"[173, 244, 147, 31, 25]",7
"22,7",identifier,"[739, 801, 1139]",1
"22,19",= expression,"[1363, 1455, 1361]",2
"22,21",identifier,[459],1
"22,32",( expression argument_list_repeat1 ),"[715, 1032, 1592]",5
"22,33",number_literal,[451],6
"22,37",", expression","[684, 1018]",1
"22,39",number_literal,[476],2
"22,41",", expression","[684, 1025, 1572]",2
"22,43",number_literal,[476],2
"22,45",),"[684, 1025, 1668, 1572]",1
"22,46",;,"[698, 668, 837, 1032, 1592]",2
"23,3",if parenthesized_expression statement,"[221, 31, 25]",2
"23,6",( expression ),[1755],1
"23,7",identifier,[452],1
"23,19",== expression,"[715, 1033]",2
"23,22",number_literal,[618],2
"23,24",),"[684, 960, 1033]",1
"24,3",{ statement },"[653, 362]",5
"25,11",( expression ),"[405, 801, 1139, 1056]",6
"25,12",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"25,13",string_content escape_sequence,[1531],2
"25,43",escape_sequence,[1547],2
"25,45","""","[1554, 1547]",1
"25,46",),"[627, 663, 684, 1018]",2
"25,47",;,"[693, 668, 837, 1056]",1
"26,3",},"[248, 244, 28]",1
"28,3",primitive_type,"[173, 244, 147, 31, 25]",7
"28,7",identifier,"[739, 801, 1139]",1
"28,12",;,"[1363, 1455, 1361]",1
"29,3",primitive_type,"[220, 31, 25]",6
"29,7",identifier,"[739, 801, 1139]",1
"29,16",;,"[1363, 1455, 1361]",1
"31,12",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"31,13",number_literal,"[988, 1256, 451]",6
"31,17",", expression","[684, 1018]",1
"31,19",number_literal,[476],2
