Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"4,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"4,10",system_lib_string preproc_include_token2,[1392],1
"4,19",preproc_include_token2,[1816],1
"6,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",5
"6,9",identifier preproc_arg preproc_include_token2,[1879],1
"6,28",preproc_arg preproc_include_token2,[1528],1
"6,29",preproc_include_token2,[1877],1
"8,1",primitive_type,"[341, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,16",( parameter_declaration ),"[1363, 1458, 1356]",3
"8,17",primitive_type,[624],1
"8,22",* _declarator,"[739, 720, 1118, 1598]",1
"8,23",identifier,"[788, 1443, 1393, 1598]",1
"8,26",),"[1300, 1366, 1321, 1598]",2
"8,27",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,5",identifier,"[739, 796, 1128]",1
"9,22",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"9,23",primitive_type,[624],1
"9,27",identifier,"[739, 720, 1118, 1598]",2
"9,31",", parameter_declaration","[1300, 1321, 1598]",1
"9,33",primitive_type,[649],1
"9,38",* _declarator,"[739, 720, 1118, 1748, 1601]",1
"9,39",identifier,"[788, 1443, 1393, 1748, 1601]",1
"9,43",[ ],"[1300, 1366, 1321, 1748, 1601]",4
"9,44",],[420],3
"9,45",),"[1297, 1300, 1366, 1321, 1748, 1601]",1
"9,46",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"11,1",primitive_type,"[225, 43, 44, 1820]",2
"11,5",identifier,"[739, 796, 1128]",1
"11,9",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"11,10",primitive_type,[624],1
"11,14",identifier,"[739, 720, 1118, 1598]",2
"11,18",", parameter_declaration","[1300, 1321, 1598]",1
"11,20",primitive_type,[649],1
"11,25",* _declarator,"[739, 720, 1118, 1748, 1601]",1
"11,26",identifier,"[788, 1443, 1393, 1748, 1601]",1
"11,30",[ ],"[1300, 1366, 1321, 1748, 1601]",4
"11,31",],[420],3
"11,32",),"[1297, 1300, 1366, 1321, 1748, 1601]",1
"12,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"13,3",if parenthesized_expression statement,[23],3
"13,6",( expression ),[1755],1
"13,7",! expression,[452],2
"13,8",identifier,[541],1
"13,25",( expression argument_list_repeat1 ),"[715, 691, 684, 1033]",8
"13,26",identifier,[451],1
"13,30",", expression","[715, 1018]",2
"13,32",identifier,[476],1
"13,36",),"[715, 1025, 1572]",1
"13,37",),"[698, 668, 837, 691, 684, 1033]",1
"14,3",{ preproc_if_repeat1 },"[653, 362]",1
"15,5",identifier,[27],2
"15,9",( expression ),"[405, 801, 1139, 1056]",6
"15,10",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"15,11",string_content escape_sequence,[1531],2
"15,36",escape_sequence,[1547],2
"15,38","""","[1554, 1547]",1
"15,39",),"[627, 663, 684, 1018]",1
"15,40",;,"[693, 668, 837, 1056]",1
"16,5",return expression ;,"[248, 244, 28]",7
"16,12",identifier,[475],1
"16,24",;,"[715, 1070]",1
"17,3",},"[199, 244, 31, 28]",1
"19,3",primitive_type,"[173, 244, 147, 25]",7
"19,7",identifier,"[739, 801, 1139]",1
"19,8",;,"[1363, 1455, 1361]",1
"20,3",primitive_type,"[220, 31, 25]",6
"20,10",identifier,"[739, 801, 1139]",1
"20,18",= expression,"[1363, 1455, 1361]",2
"20,20",number_literal,[459],2
"20,21",;,"[684, 1032, 1592]",1
"21,3",primitive_type,"[221, 31, 25]",6
"21,10",identifier,"[739, 801, 1139]",1
"21,19",= expression,"[1363, 1455, 1361]",2
"21,21",number_literal,[459],2
"21,22",;,"[684, 1032, 1592]",1
"22,3",primitive_type,"[221, 31, 25]",6
"22,10",identifier,"[739, 801, 1139]",1
"22,19",= expression,"[1363, 1455, 1361]",2
"22,21",identifier,[459],1
"22,39",;,"[715, 1032, 1592]",1
"23,3",primitive_type,"[221, 31, 25]",6
"23,10",identifier,"[739, 801, 1139]",1
"23,22",;,"[1363, 1455, 1361]",1
"24,3",primitive_type,"[220, 31, 25]",6
"24,10",identifier,"[739, 801, 1139]",1
"24,32",;,"[1363, 1455, 1361]",1
"25,3",primitive_type,"[220, 31, 25]",6
"25,10",identifier,"[739, 801, 1139]",1
"25,41",= expression,"[1363, 1455, 1361]",2
"25,43",identifier,[459],1
"25,48",- expression,"[715, 1032, 1592]",8
"25,50",number_literal,[533],2
"25,51",;,"[684, 975, 1032, 1592]",1
"27,3",primitive_type,"[221, 31, 25]",6
"27,10",identifier,"[739, 801, 1139]",1
"27,26",= expression,"[1363, 1455, 1361]",2
"27,28",number_literal,[459],2
"27,29",;,"[684, 1032, 1592]",1
"28,3",primitive_type,"[221, 31, 25]",6
"28,10",identifier,"[739, 801, 1139]",1
"28,32",= expression,"[1363, 1455, 1361]",2
"28,34",number_literal,[459],2
"28,35",;,"[684, 1032, 1592]",1
"30,3",for ( _for_statement_body ) statement,"[221, 31, 25]",7
"30,7",( _for_statement_body ) statement,[1970],1
"30,8",primitive_type,[78],0
"30,15",identifier,"[739, 720, 1151]",0
"30,17",= expression,"[1363, 1465, 1457]",1
"30,19",number_literal,[459],2
"30,20",;,"[684, 1032, 1605]",0
"30,22",identifier,"[915, 455]",0
"30,24",< expression,"[715, 1048]",11
"30,26",identifier,[506],1
"30,30",; expression,"[715, 985, 684, 1048]",0
"30,32",identifier,"[461, 1922]",0
"30,33",++,"[715, 1038, 1922]",0
"30,35",) statement,"[667, 684, 1038, 1922]",1
"31,3",{ statement },[333],4
"32,5",if parenthesized_expression statement else_clause,[27],6
"32,8",( expression ),[1755],1
"32,9",identifier,[452],1
"32,13",[ expression ],"[715, 1033]",11
"32,14",identifier,[528],2
"32,15",],"[827, 1090]",1
"32,16",[ expression ],"[681, 837, 1033]",12
"32,17",number_literal,[528],1
"32,18",],"[684, 1090]",1
"32,20",== expression,"[681, 837, 1033]",3
"32,23",' character ',[618],3
"32,24",character ',[1618],1
"32,25",',[1562],1
"32,26",),"[690, 684, 960, 1033]",1
"33,5",{ preproc_if_repeat1 },"[653, 362]",1
"34,7",identifier = expression,[27],1
"34,29",= expression,"[405, 801, 1139, 1056]",2
"34,31",identifier,[559],1
"34,35",( expression ),"[715, 982, 684, 1056]",4
"34,36",identifier,[451],1
"34,40",[ expression ],"[715, 1018]",4
"34,41",identifier,[528],2
"34,42",],"[827, 1090]",1
"34,44",+ expression,"[681, 837, 1018]",7
"34,46",number_literal,[533],2
"34,47",),"[684, 975, 1018]",1
"34,48",;,"[693, 668, 837, 982, 684, 1056]",1
"35,7",-- expression,"[248, 244, 28]",0
"35,9",identifier,[540],1
"35,39",;,"[715, 701, 684, 1056]",1
"36,5",},"[248, 244, 31, 28]",1
"37,5",else statement,"[173, 244, 147, 28]",3
"37,10",if parenthesized_expression statement,[373],5
"37,13",( expression ),[1755],1
"37,14",identifier,[452],1
"37,18",[ expression ],"[715, 1033]",11
"37,19",identifier,[528],2
"37,20",],"[827, 1090]",1
"37,21",[ expression ],"[681, 837, 1033]",12
"37,22",number_literal,[528],1
"37,23",],"[684, 1090]",1
"37,25",== expression,"[681, 837, 1033]",3
"37,28",' character ',[618],3
"37,29",character ',[1618],1
"37,30",',[1562],1
"37,31",),"[690, 684, 960, 1033]",1
"38,5",{ preproc_if_repeat1 },"[653, 362]",1
"39,7",identifier = expression,[27],1
"39,23",= expression,"[405, 801, 1139, 1056]",2
"39,25",identifier,[559],1
"39,29",( expression ),"[715, 982, 684, 1056]",4
"39,30",identifier,[451],1
"39,34",[ expression ],"[715, 1018]",4
"39,35",identifier,[528],2
"39,36",],"[827, 1090]",1
"39,38",+ expression,"[681, 837, 1018]",7
"39,40",number_literal,[533],2
"39,41",),"[684, 975, 1018]",1
"39,42",;,"[693, 668, 837, 982, 684, 1056]",1
"40,7",-- expression,"[248, 244, 28]",0
"40,9",identifier,[540],1
"40,39",;,"[715, 701, 684, 1056]",1
"41,5",},"[248, 244, 31, 28]",1
"42,3",},"[173, 244, 147, 234, 224, 28]",1
"44,3",identifier = expression,"[173, 244, 236, 31, 25]",3
"44,26",= expression,"[405, 801, 1139, 1056]",2
"44,28",identifier,[559],1
"44,58",;,"[715, 982, 684, 1056]",1
"46,3",while parenthesized_expression statement,"[248, 244, 31, 25]",9
"46,9",( expression ),[1757],1
"46,10",( expression ),[452],3
"46,11",identifier = expression,[378],5
"46,13",= expression,"[527, 1031, 1077, 1856]",12
"46,15",identifier,[559],1
"46,22",( ),"[715, 982, 684, 1031]",17
"46,23",),[451],4
"46,24",),"[696, 668, 837, 982, 684, 1031]",1
"46,26",!= expression,"[664, 837, 1033]",5
"46,29",identifier,[618],1
"46,32",),"[715, 960, 684, 1033]",1
"47,3",{ statement },"[653, 366]",4
"48,5",if parenthesized_expression statement else_clause,[27],6
