Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",2
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"4,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"4,10",system_lib_string preproc_include_token2,[1392],1
"4,19",preproc_include_token2,[1816],1
"6,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",7
"6,9",identifier preproc_arg preproc_include_token2,[1879],1
"6,19",preproc_arg preproc_include_token2,[1528],1
"6,22",preproc_include_token2,[1877],1
"8,1",enum identifier enumerator_list,"[341, 43, 44, 1820]",0
"8,6",identifier enumerator_list,[1674],2
"9,1",{ enumerator_list_repeat1 enumerator },"[824, 770, 796, 1128]",4
"10,3",identifier,[1296],2
"10,8",",","[1640, 1718]",2
"11,3",identifier,"[1485, 1308]",1
"12,1",},"[1640, 1734]",3
"12,2",;,"[771, 874, 770, 796, 1128]",3
"14,1",struct identifier field_declaration_list,"[330, 43, 44, 1820]",11
"14,8",identifier field_declaration_list,[1408],2
"15,1",{ preproc_if_in_field_declaration_list_repeat1 },"[703, 770, 796, 1128]",4
"16,3",primitive_type,[447],2
"16,8",* _field_declarator,"[739, 720, 1275]",3
"16,9",identifier,[953],1
"16,13",;,"[1378, 1318, 1382, 1304, 1536]",1
"17,3",primitive_type,"[880, 450]",1
"17,8",* _field_declarator,"[739, 720, 1275]",3
"17,9",identifier,[953],1
"17,19",;,"[1378, 1318, 1382, 1304, 1536]",1
"18,3",struct identifier,"[880, 445, 450]",5
"18,10",identifier,[1408],1
"18,20",* _field_declarator,"[703, 770, 720, 1275]",3
"18,21",identifier,[953],1
"18,25",;,"[1378, 1318, 1382, 1304, 1536]",1
"19,1",},"[880, 445, 450]",2
"19,2",;,"[774, 728, 770, 796, 1128]",3
"20,1",declaration,"[330, 43, 44, 1820]",10
"22,1",primitive_type,"[330, 43, 44, 1820]",2
"22,6",* _declarator,"[739, 796, 1128]",2
"22,7",identifier,[949],1
"22,14",( parameter_declaration ),"[1300, 1291, 1363, 1458, 1356]",3
"22,15",primitive_type,[623],1
"22,20",* _declarator,"[739, 720, 1118, 1598]",1
"22,21",identifier,"[788, 1443, 1393, 1598]",1
"22,24",),"[1300, 1366, 1321, 1598]",2
"22,25",;,"[1290, 1254, 1300, 1291, 1363, 1458, 1356]",4
"24,1",primitive_type,"[225, 43, 44, 1820]",2
"24,8",identifier,"[739, 796, 1128]",1
"24,12",( parameter_declaration ),"[1363, 1458, 1356]",3
"24,13",primitive_type,[624],1
"24,18",* _declarator,"[739, 720, 1118, 1598]",1
"24,19",identifier,"[788, 1443, 1393, 1598]",1
"24,22",),"[1300, 1366, 1321, 1598]",2
"24,23",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"25,1",struct identifier,"[225, 43, 44, 1820]",17
"25,8",identifier,[1408],1
"25,18",* _declarator,"[703, 770, 796, 1128]",2
"25,19",identifier,[949],1
