Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"4,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"4,10",system_lib_string preproc_include_token2,[1392],1
"4,19",preproc_include_token2,[1816],1
"6,1",primitive_type,"[361, 43, 44, 1820]",2
"6,5",identifier,"[739, 796, 1128]",1
"6,16",( parameter_declaration ),"[1363, 1458, 1356]",3
"6,17",primitive_type,[624],1
"6,21",identifier,"[739, 720, 1118, 1598]",2
"6,22",),"[1300, 1321, 1598]",2
"6,23",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"7,1",primitive_type,"[225, 43, 44, 1820]",2
"7,5",identifier,"[739, 796, 1128]",1
"7,16",( parameter_declaration ),"[1363, 1458, 1356]",3
"7,17",primitive_type,[624],1
"7,21",identifier,"[739, 720, 1118, 1598]",2
"7,22",),"[1300, 1321, 1598]",2
"7,23",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,5",identifier,"[739, 796, 1128]",1
"9,9",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"9,10",primitive_type,[624],1
"9,14",identifier,"[739, 720, 1118, 1598]",2
"9,18",", parameter_declaration","[1300, 1321, 1598]",1
"9,20",primitive_type,[649],1
"9,25",* _declarator,"[739, 720, 1118, 1748, 1601]",1
"9,26",identifier,"[788, 1443, 1393, 1748, 1601]",1
"9,30",[ ],"[1300, 1366, 1321, 1748, 1601]",4
"9,31",],[420],3
"9,32",),"[1297, 1300, 1366, 1321, 1748, 1601]",1
"10,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"11,3",if parenthesized_expression statement else_clause,[23],6
"11,6",( expression ),[1755],1
"11,7",identifier,[452],1
"11,18",( expression ),"[715, 1033]",9
"11,19",' character ',[451],10
"11,20",character ',[1618],1
"11,21",',[1562],1
"11,22",),"[690, 684, 1018]",1
"11,23",),"[693, 668, 837, 1033]",1
"12,3",{ statement },"[653, 362]",5
"13,5",identifier,[27],2
"13,9",( expression ),"[405, 801, 1139, 1056]",6
"13,10",""" string_content ""","[988, 1256, 451]",3
"13,11","string_content """,[1531],1
"13,49","""",[1547],1
"13,50",),"[627, 663, 684, 1018]",1
"13,51",;,"[693, 668, 837, 1056]",1
"14,3",},"[248, 244, 28]",1
"15,3",else statement,"[173, 244, 147, 25]",2
"16,3",{ statement },[373],6
"17,5",identifier,[27],2
"17,9",( expression ),"[405, 801, 1139, 1056]",6
"17,10",""" string_content ""","[988, 1256, 451]",3
"17,11","string_content """,[1531],1
"17,49","""",[1547],1
"17,50",),"[627, 663, 684, 1018]",1
"17,51",;,"[693, 668, 837, 1056]",1
"18,3",},"[248, 244, 28]",1
"20,3",if parenthesized_expression statement else_clause,"[173, 244, 234, 224, 25]",8
"20,6",( expression ),[1755],1
"20,7",identifier,[452],1
"20,18",( expression ),"[715, 1033]",9
"20,19",' character ',[451],10
"20,20",character ',[1618],1
"20,21",',[1562],1
"20,22",),"[690, 684, 1018]",1
"20,23",),"[693, 668, 837, 1033]",1
"21,3",{ statement },"[653, 362]",5
"22,5",identifier,[27],2
"22,9",( expression ),"[405, 801, 1139, 1056]",6
"22,10",""" string_content ""","[988, 1256, 451]",3
"22,11","string_content """,[1531],1
"22,49","""",[1547],1
"22,50",),"[627, 663, 684, 1018]",1
"22,51",;,"[693, 668, 837, 1056]",1
"23,3",},"[248, 244, 28]",1
"24,3",else statement,"[173, 244, 147, 31, 25]",2
"25,3",{ statement },[373],6
"26,5",identifier,[27],2
"26,9",( expression ),"[405, 801, 1139, 1056]",6
"26,10",""" string_content ""","[988, 1256, 451]",3
"26,11","string_content """,[1531],1
"26,49","""",[1547],1
"26,50",),"[627, 663, 684, 1018]",1
"26,51",;,"[693, 668, 837, 1056]",1
"27,3",},"[248, 244, 28]",1
"29,3",identifier,"[173, 244, 234, 224, 31, 25]",4
"29,7",( expression ),"[405, 801, 1139, 1056]",6
"29,8",identifier,"[988, 1256, 451]",1
"29,20",),"[754, 1077, 1813, 1300, 1442, 715, 1018]",1
"29,21",;,"[761, 770, 801, 1139, 1301, 1363, 1455, 1361, 693, 668, 837, 1056]",1
"30,1",},"[248, 244, 31, 25, 310, 220]",1
"32,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"32,5",identifier,"[739, 796, 1128]",1
"32,16",( parameter_declaration ),"[1363, 1458, 1356]",3
"32,17",primitive_type,[624],1
"32,21",identifier,"[739, 720, 1118, 1598]",2
"32,22",),"[1300, 1321, 1598]",2
"33,1",{ statement },"[1290, 1260, 1511, 1458, 1300, 1356]",5
"34,3",return expression ;,[23],5
"34,10",( expression ),[475],7
"34,11",identifier,[378],1
"34,13",>= expression,"[527, 1031, 1077, 1856]",0
"34,16",' character ',[506],3
"34,17",character ',[1618],1
"34,18",',[1562],1
"34,20",&& expression,"[690, 684, 985, 1031]",5
"34,23",identifier,[544],1
"34,25",<= expression,"[715, 976, 684, 1031]",19
"34,28",' character ',[506],3
"34,29",character ',[1618],1
"34,30",',[1562],1
"34,31",),"[690, 684, 985, 976, 1031]",1
"34,32",;,"[664, 837, 1070]",2
"35,1",},"[199, 244, 25]",1
"37,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"37,5",identifier,"[739, 796, 1128]",1
"37,16",( parameter_declaration ),"[1363, 1458, 1356]",3
"37,17",primitive_type,[624],1
"37,21",identifier,"[739, 720, 1118, 1598]",2
"37,22",),"[1300, 1321, 1598]",2
"38,1",{ statement },"[1290, 1260, 1511, 1458, 1300, 1356]",5
"39,3",return expression ;,[23],5
"39,10",( expression ),[475],7
"39,11",identifier,[378],1
"39,17",( expression argument_list_repeat1 ),"[527, 1031, 1077, 1856]",0
"39,18",""" string_content ""","[988, 423, 451]",3
"39,19","string_content """,[1531],1
"39,45","""",[1547],1
"39,46",", expression","[627, 663, 684, 1018]",2
"39,48",identifier,[476],1
"39,49",),"[715, 1025, 1572]",1
"39,51",!= expression,"[698, 668, 837, 1031]",13
"39,54",NULL,[618],4
"39,58",),"[680, 684, 960, 1031]",1
"39,59",;,"[664, 837, 1070]",2
"40,1",},"[199, 244, 25]",1
