Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include string_literal preproc_include_token2,"[361, 44, 1820]",4
"2,10",""" string_content """,[1392],2
"2,11","string_content """,[1532],1
"2,21","""",[1520],1
"2,22",preproc_include_token2,"[1914, 1816]",1
"4,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",6
"4,9",identifier preproc_arg preproc_include_token2,[1879],1
"4,21",preproc_arg preproc_include_token2,[1528],1
"4,57",preproc_include_token2,[1877],1
"6,1",identifier,"[341, 43, 44, 1820]",5
"6,6",identifier,"[408, 796, 1128, 1101]",1
"6,16",[ expression ],"[1363, 1458, 1356]",16
"6,17",identifier,[420],3
"6,37",],"[827, 1071]",1
"6,39",= initializer_list,"[1303, 1363, 1458, 1356]",14
"6,41",{ initializer_list initializer_list_repeat1 },[459],11
"7,5",{ expression initializer_list_repeat1 },[432],4
"7,6",number_literal,[432],1
"7,7",", expression","[684, 1015]",1
"7,9",( type_descriptor ) expression,[442],14
"7,10",primitive_type,[378],2
"7,15",*,"[739, 1077, 1856]",3
"7,16",) expression,"[943, 1443, 1474, 1856]",1
"7,17",number_literal,[456],2
"7,18",", expression","[684, 699, 1030, 1660]",1
"7,20",( type_descriptor ) expression,[441],18
"7,21",primitive_type,[378],2
"7,26",*,"[739, 1077, 1856]",3
"7,27",) expression,"[943, 1443, 1474, 1856]",1
"7,28",number_literal,[456],2
"7,29",", initializer_list","[684, 699, 1030, 1597, 1660]",3
"7,31",{ expression initializer_list_repeat1 },[441],2
"7,32",number_literal,[432],1
"7,33",", expression","[684, 1015]",1
"7,35",number_literal,[442],1
"7,36",", expression","[684, 1030, 1660]",1
"7,38",number_literal,[441],1
"7,39",", expression","[684, 1030, 1597, 1660]",1
"7,41",number_literal,[441],1
"7,42",", expression","[684, 1030, 1597, 1660]",1
"7,44",number_literal,[441],1
"7,45",},"[684, 1030, 1597, 1660]",2
"7,46",", expression","[671, 1683, 1597, 1660]",1
"7,48",number_literal,[441],1
"7,49",},"[684, 1030, 1597, 1660]",2
"7,50",", initializer_list","[671, 1643]",2
"7,56",initializer_list,[442],9
"8,5",{ expression initializer_list_repeat1 },[442],5
"8,6",number_literal,[432],1
"8,7",", expression","[684, 1015]",1
"8,9",( type_descriptor ) expression,[442],14
"8,10",primitive_type,[378],2
"8,15",*,"[739, 1077, 1856]",3
"8,16",) expression,"[943, 1443, 1474, 1856]",1
"8,17",number_literal,[456],2
"8,18",", expression","[684, 699, 1030, 1660]",1
"8,20",( type_descriptor ) expression,[441],18
"8,21",primitive_type,[378],2
"8,26",*,"[739, 1077, 1856]",3
"8,27",) expression,"[943, 1443, 1474, 1856]",1
"8,28",number_literal,[456],2
"8,29",", initializer_list","[684, 699, 1030, 1597, 1660]",3
"8,31",{ expression initializer_list_repeat1 },[441],2
"8,32",number_literal,[432],1
"8,33",", expression","[684, 1015]",1
"8,35",number_literal,[442],1
"8,36",", expression","[684, 1030, 1660]",1
"8,38",number_literal,[441],1
"8,39",", expression","[684, 1030, 1597, 1660]",1
"8,41",number_literal,[441],1
"8,42",", expression","[684, 1030, 1597, 1660]",1
"8,44",number_literal,[441],1
"8,45",},"[684, 1030, 1597, 1660]",2
"8,46",", expression","[671, 1683, 1597, 1660]",1
"8,48",number_literal,[441],1
"8,49",},"[684, 1030, 1597, 1660]",2
"8,50",", initializer_list","[671, 1683, 1660]",3
"8,56",initializer_list,[441],6
"9,5",{ expression initializer_list_repeat1 },[441],2
"9,6",number_literal,[432],1
"9,7",", expression","[684, 1015]",1
"9,9",( type_descriptor ) expression,[442],14
"9,10",primitive_type,[378],2
"9,15",*,"[739, 1077, 1856]",3
"9,16",) expression,"[943, 1443, 1474, 1856]",1
"9,17",number_literal,[456],2
"9,18",", expression","[684, 699, 1030, 1660]",1
"9,20",( type_descriptor ) expression,[441],18
"9,21",primitive_type,[378],2
"9,26",*,"[739, 1077, 1856]",3
"9,27",) expression,"[943, 1443, 1474, 1856]",1
"9,28",number_literal,[456],2
"9,29",", initializer_list","[684, 699, 1030, 1597, 1660]",3
"9,31",{ expression initializer_list_repeat1 },[441],2
"9,32",number_literal,[432],1
"9,33",", expression","[684, 1015]",1
"9,35",number_literal,[442],1
"9,36",", expression","[684, 1030, 1660]",1
"9,38",number_literal,[441],1
"9,39",", expression","[684, 1030, 1597, 1660]",1
"9,41",number_literal,[441],1
"9,42",", expression","[684, 1030, 1597, 1660]",1
"9,44",number_literal,[441],1
"9,45",},"[684, 1030, 1597, 1660]",2
"9,46",", expression","[671, 1683, 1597, 1660]",1
"9,48",number_literal,[441],1
"9,49",},"[684, 1030, 1597, 1660]",2
"9,51",},"[671, 1683, 1597, 1660]",2
"10,1",},"[671, 1683, 1597, 1660]",2
"10,2",;,"[671, 1754, 1606]",1
"12,1",primitive_type,"[226, 43, 44, 1820]",2
"12,6",* _declarator,"[739, 796, 1128]",2
"12,7",identifier,[949],1
"12,13",( parameter_declaration ),"[1300, 1291, 1363, 1458, 1356]",3
"12,14",long unsigned,[623],0
"12,19",unsigned,"[704, 770, 720, 1118, 1598]",0
"12,28",primitive_type,"[750, 770, 720, 1118, 1598, 704]",6
"12,32",identifier,"[767, 770, 720, 1118, 1598]",2
"12,36",),"[1300, 1321, 1598]",2
"12,37",;,"[1290, 1254, 1300, 1291, 1363, 1458, 1356]",5
"13,1",long primitive_type,"[225, 43, 44, 1820]",0
"13,6",primitive_type,"[704, 770, 796, 1128]",3
"13,10",identifier,"[767, 770, 796, 1128]",1
"13,15",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"13,16",primitive_type,[624],1
"13,20",identifier,"[739, 720, 1118, 1598]",2
"13,35",", parameter_declaration","[1300, 1321, 1598]",1
"13,37",long primitive_type,[649],10
"13,42",primitive_type,"[704, 770, 720, 1118, 1748, 1601]",6
"13,46",identifier,"[767, 770, 720, 1118, 1748, 1601]",2
"13,52",", parameter_declaration","[1300, 1321, 1748, 1601]",1
"13,54",primitive_type,[649],1
"13,58",identifier,"[739, 720, 1118, 1748, 1669, 1601]",2
"13,64",),"[1300, 1321, 1748, 1669, 1601]",2
"13,65",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"14,1",long primitive_type,"[225, 43, 44, 1820]",0
"14,6",primitive_type,"[704, 770, 796, 1128]",3
"14,10",identifier,"[767, 770, 796, 1128]",1
"14,14",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"14,15",primitive_type,[624],1
"14,19",identifier,"[739, 720, 1118, 1598]",2
"14,34",", parameter_declaration","[1300, 1321, 1598]",1
"14,36",primitive_type,[649],1
"14,41",* _declarator,"[739, 720, 1118, 1748, 1601]",1
"14,42",identifier,"[788, 1443, 1393, 1748, 1601]",1
"14,48",", parameter_declaration","[1300, 1366, 1321, 1748, 1601]",1
"14,50",long unsigned,[649],0
"14,55",unsigned,"[704, 770, 720, 1118, 1748, 1669, 1601]",0
"14,64",primitive_type,"[750, 770, 720, 1118, 1748, 1669, 1601, 704]",6
"14,68",identifier,"[767, 770, 720, 1118, 1748, 1669, 1601]",2
"14,79",),"[1300, 1321, 1748, 1669, 1601]",2
"14,80",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"15,1",long primitive_type,"[225, 43, 44, 1820]",0
"15,6",primitive_type,"[704, 770, 796, 1128]",3
"15,10",identifier,"[767, 770, 796, 1128]",1
"15,15",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"15,16",primitive_type,[624],1
"15,20",identifier,"[739, 720, 1118, 1598]",2
"15,35",", parameter_declaration","[1300, 1321, 1598]",1
"15,37",primitive_type,[649],1
"15,42",* _declarator,"[739, 720, 1118, 1748, 1601]",1
"15,43",identifier,"[788, 1443, 1393, 1748, 1601]",1
"15,49",", parameter_declaration","[1300, 1366, 1321, 1748, 1601]",1
"15,51",long unsigned,[649],0
"15,56",unsigned,"[704, 770, 720, 1118, 1748, 1669, 1601]",0
"15,65",primitive_type,"[750, 770, 720, 1118, 1748, 1669, 1601, 704]",6
"15,69",identifier,"[767, 770, 720, 1118, 1748, 1669, 1601]",2
"15,80",),"[1300, 1321, 1748, 1669, 1601]",2
"15,81",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"17,1",primitive_type,"[225, 43, 44, 1820]",2
"17,5",identifier,"[739, 796, 1128]",1
"17,17",( parameter_declaration ),"[1363, 1458, 1356]",3
"17,18",identifier,[624],2
"17,23",* _declarator,"[890, 720, 1118, 1598]",1
"17,24",identifier,"[788, 1443, 1393, 1598]",1
"17,30",),"[1300, 1366, 1321, 1598]",2
"18,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"19,3",primitive_type,[23],2
"19,7",identifier,"[739, 801, 1139]",1
"19,18",;,"[1363, 1455, 1361]",1
"21,3",if parenthesized_expression statement,"[220, 25]",2
"21,6",( expression ),[1755],1
"21,7",identifier,[452],1
"21,13",-> identifier,"[715, 1033]",4
"21,15",identifier,[1994],1
"21,19",. identifier,"[677, 837, 1033]",13
"21,20",identifier,[1994],1
"21,26",== expression,"[677, 837, 1033]",3
"21,29",number_literal,[618],2
"21,31",|| expression,"[684, 960, 1033]",7
"21,34",identifier,[543],1
"21,40",-> identifier,"[715, 959, 684, 1033]",5
"21,42",identifier,[1994],1
