Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
9,system_lib_string preproc_include_token2,[8864],FOUND,2
19,preproc_include_token2,[11404],FOUND,1
21,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
30,system_lib_string preproc_include_token2,[8864],FOUND,2
39,preproc_include_token2,[11404],FOUND,1
41,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
50,system_lib_string preproc_include_token2,[8864],FOUND,2
58,preproc_include_token2,[11404],FOUND,1
60,using namespace identifier ;,"[595, 35, 34, 10785]",FOUND,34
66,namespace identifier ;,[8420],FOUND,3
76,identifier ;,[8600],FOUND,1
79,;,[9376],FOUND,1
82,primitive_type,"[578, 35, 34, 10785]",FOUND,3
86,identifier,"[3999, 4304, 6284]",FOUND,2
90,( ),"[8213, 8018]",FOUND,6
91,),[137],FOUND,3
92,{ preproc_if_repeat1 },"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,1
99,identifier,[4],FOUND,2
106,identifier,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,1
110,;,"[8213, 7972]",FOUND,2
117,identifier,"[685, 61]",FOUND,1
125,identifier,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,2
135,;,"[8213, 7972]",FOUND,2
142,identifier,"[685, 41, 61]",FOUND,1
152,. identifier,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,5
153,identifier,[8043],FOUND,1
157,( expression ),"[3618, 5064, 6753]",FOUND,2
158,""" string_content """,[1186],FOUND,3
159,"string_content """,[9416],FOUND,1
165,"""",[9293],FOUND,1
166,),"[5290, 4783, 6317, 6547]",FOUND,1
167,;,"[3823, 3786, 5064, 6753]",FOUND,1
174,while condition_clause statement,"[607, 550, 41, 61]",FOUND,23
179,( expression ),[10274],FOUND,1
180,identifier,[128],FOUND,1
191,>> expression,"[1035, 3920, 6274, 6522, 10073]",FOUND,44
194,identifier,[1631],FOUND,1
198,),"[3260, 6321, 5900, 6522, 10073]",FOUND,2
199,{ statement },"[2309, 161]",FOUND,2
210,if condition_clause statement else_clause,[38],FOUND,12
212,( expression ),[9693],FOUND,1
213,identifier,[128],FOUND,1
218,== expression,"[1035, 3920, 6274, 6522, 10073]",FOUND,3
221,""" string_content """,[1838],FOUND,4
222,"string_content """,[9416],FOUND,1
226,"""",[9293],FOUND,1
227,),"[5290, 4783, 6317, 6333, 5900, 6522]",FOUND,1
228,{ preproc_if_repeat1 },"[2309, 199]",FOUND,2
243,identifier = expression,[38],FOUND,3
248,= expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,9
250,""" string_content """,[1222],FOUND,4
251,"string_content """,[9416],FOUND,1
255,"""",[9293],FOUND,1
256,;,"[5290, 4783, 6317, 6387, 5900, 6753]",FOUND,1
271,identifier,"[607, 550, 39]",FOUND,2
276,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
279,identifier,[1631],FOUND,1
284,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
287,""" string_content """,[1631],FOUND,2
288,"string_content """,[9416],FOUND,1
289,"""",[9293],FOUND,1
290,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
301,},"[607, 550, 41, 39]",FOUND,1
312,else statement,"[542, 550, 543, 39]",FOUND,6
316,{ statement },[187],FOUND,1
331,identifier,[38],FOUND,1
336,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
339,identifier,[1631],FOUND,1
344,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
347,""" string_content """,[1631],FOUND,2
348,"string_content """,[9416],FOUND,1
349,"""",[9293],FOUND,1
350,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
361,},"[607, 550, 39]",FOUND,1
368,},"[542, 550, 722, 701, 39]",FOUND,1
375,return expression ;,"[542, 550, 677, 41, 61]",FOUND,7
382,number_literal,[1185],FOUND,6
383,;,"[6317, 6692]",FOUND,1
386,},"[678, 550, 41, 61]",FOUND,2
