Location,Ground_Truth,State_List,Coverage_Result,Rank
806,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
815,system_lib_string preproc_include_token2,[8864],FOUND,2
825,preproc_include_token2,[11404],FOUND,1
827,using namespace identifier ;,"[595, 34, 10785]",FOUND,28
833,namespace identifier ;,[8420],FOUND,3
843,identifier ;,[8600],FOUND,1
846,;,[9376],FOUND,1
849,class _class_declaration,"[578, 35, 34, 10785]",FOUND,16
855,identifier,[7119],FOUND,1
860,{ preproc_if_in_field_declaration_list_repeat1 },"[4426, 3904, 4867, 4859, 4714, 4304, 6284]",FOUND,3
863,private,[642],FOUND,11
870,:,"[10982, 11109]",FOUND,1
877,identifier,"[3278, 637]",FOUND,3
884,identifier,"[5879, 3920, 7964, 8957]",FOUND,2
895,;,"[8658, 7880]",FOUND,1
902,primitive_type,"[3282, 583, 637]",FOUND,1
907,identifier,"[4176, 3920, 7964]",FOUND,2
918,;,"[8658, 7880]",FOUND,1
925,primitive_type,"[3282, 583, 637]",FOUND,1
929,identifier,"[4176, 3920, 7964]",FOUND,2
952,;,"[8658, 7880]",FOUND,1
959,primitive_type,"[3282, 583, 637]",FOUND,1
966,identifier,"[4176, 3920, 7964]",FOUND,2
971,;,"[8658, 7880]",FOUND,1
974,public,"[3282, 583, 637]",FOUND,14
980,:,"[10982, 11109]",FOUND,1
987,primitive_type,"[3278, 583, 637]",FOUND,1
992,identifier,"[4176, 3920, 7964]",FOUND,2
1009,( ),"[8658, 7880]",FOUND,3
1010,),[2218],FOUND,2
1011,;,"[6296, 4234, 8715, 8721, 7880]",FOUND,1
1018,primitive_type,"[3282, 583, 637]",FOUND,1
1023,identifier,"[4176, 3920, 7964]",FOUND,2
1032,( ),"[8658, 7880]",FOUND,3
1033,),[2218],FOUND,2
1034,;,"[6296, 4234, 8715, 8721, 7880]",FOUND,1
1041,primitive_type,"[3282, 583, 637]",FOUND,1
1046,identifier,"[4176, 3920, 7964]",FOUND,2
1058,( ),"[8658, 7880]",FOUND,3
1059,),[2218],FOUND,2
1060,;,"[6296, 4234, 8715, 8721, 7880]",FOUND,1
1067,primitive_type,"[3282, 583, 637]",FOUND,1
1072,identifier,"[4176, 3920, 7964]",FOUND,2
1083,( ),"[8658, 7880]",FOUND,3
1084,),[2218],FOUND,2
1085,;,"[6296, 4234, 8715, 8721, 7880]",FOUND,1
1088,},"[3282, 583, 637]",FOUND,2
1089,;,"[4770, 4569, 4867, 4859, 4714, 4304, 6284]",FOUND,3
1094,primitive_type,"[747, 35, 34, 10785]",FOUND,3
1099,identifier ::,"[3999, 4304, 6284]",FOUND,1
1104,::,"[8213, 8018]",FOUND,1
1106,identifier,"[8873, 7878]",FOUND,1
1123,( ),"[8166, 8469, 8018]",FOUND,5
1124,),[137],FOUND,3
1125,{ preproc_if_repeat1 },"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,1
1131,preproc_if_repeat1 },[4],FOUND,3
1187,identifier,[4],FOUND,2
1192,<< expression,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,13
1195,""" string_content """,[1631],FOUND,2
1196,"string_content """,[9416],FOUND,1
1230,"""",[9293],FOUND,1
1232,<< expression,"[5290, 4783, 6317, 6321, 5900, 6427]",FOUND,11
1235,identifier,[1631],FOUND,1
1239,;,"[3260, 6321, 5900, 6427, 10073]",FOUND,3
1246,identifier,"[607, 550, 61]",FOUND,1
1251,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
1254,""" string_content """,[1631],FOUND,2
