Location,Ground_Truth,State_List,Coverage_Result,Rank
1763,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
1772,system_lib_string preproc_include_token2,[8864],FOUND,2
1782,preproc_include_token2,[11404],FOUND,1
1784,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
1793,system_lib_string preproc_include_token2,[8864],FOUND,2
1800,preproc_include_token2,[11404],FOUND,1
1802,using namespace identifier ;,"[595, 35, 34, 10785]",FOUND,34
1808,namespace identifier ;,[8420],FOUND,3
1818,identifier ;,[8600],FOUND,1
1821,;,[9376],FOUND,1
1824,class _class_declaration,"[578, 35, 34, 10785]",FOUND,16
1830,identifier,[7119],FOUND,1
1838,{ preproc_if_in_field_declaration_list_repeat1 },"[4426, 3904, 4867, 4859, 4714, 4304, 6284]",FOUND,3
1841,public,[642],FOUND,1
1847,:,"[10982, 11109]",FOUND,1
1854,identifier,"[3278, 637]",FOUND,3
1862,( parameter_declaration parameter_list_repeat1 ),"[5879, 3920, 7964, 8957]",FOUND,7
1863,primitive_type,"[7875, 2218]",FOUND,4
1867,identifier,"[9061, 8900, 4176, 3920, 5283, 9742]",FOUND,4
1870,", parameter_declaration","[8213, 8633, 9742]",FOUND,3
1872,primitive_type,[2241],FOUND,3
1876,identifier,"[4176, 3920, 5283, 10445, 9942]",FOUND,3
1879,),"[8213, 8633, 10445, 9942]",FOUND,1
1880,;,"[6315, 4494, 8470, 8599, 8957]",FOUND,7
1886,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
1926,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
1967,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
1991,identifier,"[3225, 583, 637]",FOUND,3
1999,( parameter_declaration ),"[5879, 3920, 7964, 8957]",FOUND,4
2000,primitive_type,"[7875, 2218]",FOUND,4
2004,identifier,"[9061, 8900, 4176, 3920, 5283, 9742]",FOUND,4
2015,),"[8213, 8633, 9742]",FOUND,1
2016,;,"[6311, 4494, 8470, 8599, 8957]",FOUND,7
2022,declaration,"[3225, 583, 637]",FOUND,37
2061,declaration,"[3225, 583, 637]",FOUND,37
2102,declaration,"[3225, 583, 637]",FOUND,37
2130,identifier,"[3225, 583, 637]",FOUND,3
2138,( ),"[5879, 3920, 7964, 8957]",FOUND,6
2139,),"[7875, 2218]",FOUND,2
2140,;,"[6296, 4494, 8470, 8599, 8957]",FOUND,7
2146,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
2191,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
2219,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
2260,friend declaration,"[3225, 583, 637]",FOUND,59
2267,identifier,[2028],FOUND,2
2276,operator +,"[4258, 3920, 6283, 11334]",FOUND,15
2285,+,[4753],FOUND,10
2286,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
2287,const,[137],FOUND,5
2293,identifier,"[3482, 2722]",FOUND,1
2301,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2303,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2312,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2314,const,[2241],FOUND,4
2320,identifier,"[3482, 2722]",FOUND,1
2328,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2330,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2339,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2340,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
2346,friend_declaration,"[3228, 3187, 583, 637]",FOUND,66
2377,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
2384,identifier,[2028],FOUND,2
2393,operator -,"[4258, 3920, 6283, 11334]",NOT_FOUND,0
2402,-,[4753],FOUND,12
2403,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
2404,const,[137],FOUND,5
2410,identifier,"[3482, 2722]",FOUND,1
2418,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2420,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2429,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2431,const,[2241],FOUND,4
2437,identifier,"[3482, 2722]",FOUND,1
2445,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2447,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2456,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2457,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
2463,preproc_if_in_field_declaration_list_repeat1,"[3228, 3187, 583, 637]",FOUND,5
2494,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
2501,identifier,[2028],FOUND,2
2510,operator *,"[4258, 3920, 6283, 11334]",NOT_FOUND,0
2519,*,[4753],FOUND,8
2520,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
2521,const,[137],FOUND,5
2527,identifier,"[3482, 2722]",FOUND,1
2535,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2537,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2546,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2548,const,[2241],FOUND,4
2554,identifier,"[3482, 2722]",FOUND,1
2562,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2564,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2573,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2574,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
2580,friend_declaration,"[3228, 3187, 583, 637]",FOUND,66
2611,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
2618,identifier,[2028],FOUND,2
2627,operator /,"[4258, 3920, 6283, 11334]",NOT_FOUND,0
2636,/,[4753],FOUND,20
2637,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
2638,const,[137],FOUND,5
2644,identifier,"[3482, 2722]",FOUND,1
2652,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2654,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2663,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2665,const,[2241],FOUND,4
2671,identifier,"[3482, 2722]",FOUND,1
2679,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2681,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2690,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2691,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
2697,preproc_if_in_field_declaration_list_repeat1,"[3228, 3187, 583, 637]",FOUND,5
2728,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
2735,primitive_type,[2028],FOUND,1
2740,operator ==,"[4176, 3920, 6283]",FOUND,5
2749,==,[4753],FOUND,4
2751,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
2752,const,[137],FOUND,5
2758,identifier,"[3482, 2722]",FOUND,1
2766,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2768,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2777,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2779,const,[2241],FOUND,4
2785,identifier,"[3482, 2722]",FOUND,1
2793,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2795,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2804,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2805,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
2811,friend_declaration,"[3228, 3187, 583, 637]",FOUND,66
2843,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
2850,primitive_type,[2028],FOUND,1
2855,operator >,"[4176, 3920, 6283]",NOT_FOUND,0
2864,>,[4753],FOUND,16
2865,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
2866,const,[137],FOUND,5
2872,identifier,"[3482, 2722]",FOUND,1
2880,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
2882,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
2891,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
2893,const,[2241],FOUND,4
2899,identifier,"[3482, 2722]",FOUND,1
2907,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
2909,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
2918,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
2919,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
