Location,Ground_Truth,State_List,Coverage_Result,Rank
1428,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
1437,system_lib_string preproc_include_token2,[8864],FOUND,2
1447,preproc_include_token2,[11404],FOUND,1
1449,using namespace identifier ;,"[595, 34, 10785]",FOUND,28
1455,namespace identifier ;,[8420],FOUND,3
1465,identifier ;,[8600],FOUND,1
1468,;,[9376],FOUND,1
1473,class _class_declaration,"[578, 35, 34, 10785]",FOUND,16
1479,identifier,[7119],FOUND,1
1486,{ preproc_if_in_field_declaration_list_repeat1 },"[4426, 3904, 4867, 4859, 4714, 4304, 6284]",FOUND,3
1489,public,[642],FOUND,1
1495,:,"[10982, 11109]",FOUND,1
1501,declaration,"[3278, 637]",FOUND,45
1522,identifier,"[3278, 637]",FOUND,3
1529,( parameter_declaration ),"[5879, 3920, 7964, 8957]",FOUND,4
1530,primitive_type,"[7875, 2218]",FOUND,4
1537,identifier,"[9061, 8900, 4176, 3920, 5283, 9742]",FOUND,4
1538,),"[8213, 8633, 9742]",FOUND,1
1539,;,"[6311, 4494, 8470, 8599, 8957]",FOUND,7
1545,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
1597,identifier,"[3225, 583, 637]",FOUND,3
1604,( parameter_declaration parameter_list_repeat1 ),"[5879, 3920, 7964, 8957]",FOUND,7
1605,primitive_type,"[7875, 2218]",FOUND,4
1612,identifier,"[9061, 8900, 4176, 3920, 5283, 9742]",FOUND,4
1613,", parameter_declaration","[8213, 8633, 9742]",FOUND,3
1615,primitive_type,[2241],FOUND,3
1622,identifier,"[4176, 3920, 5283, 10445, 9942]",FOUND,3
1623,),"[8213, 8633, 10445, 9942]",FOUND,1
1624,;,"[6315, 4494, 8470, 8599, 8957]",FOUND,7
1630,declaration,"[3225, 583, 637]",FOUND,37
1662,declaration,"[3225, 583, 637]",FOUND,37
1696,identifier,"[3225, 583, 637]",FOUND,3
1703,( ),"[5879, 3920, 7964, 8957]",FOUND,6
1704,),"[7875, 2218]",FOUND,2
1705,;,"[6296, 4494, 8470, 8599, 8957]",FOUND,7
1711,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
1761,preproc_if_in_field_declaration_list_repeat1,"[3225, 583, 637]",FOUND,5
1798,friend declaration,"[3225, 583, 637]",FOUND,59
1805,identifier,[2028],FOUND,2
1813,operator ==,"[4258, 3920, 6283, 11334]",FOUND,5
1822,==,[4753],FOUND,4
1824,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
1825,const,[137],FOUND,5
1831,identifier,"[3482, 2722]",FOUND,1
1838,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
1840,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
1848,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
1850,const,[2241],FOUND,4
1856,identifier,"[3482, 2722]",FOUND,1
1863,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
1865,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
1873,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
1874,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
1883,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
1890,identifier,[2028],FOUND,2
1898,operator +,"[4258, 3920, 6283, 11334]",FOUND,15
1907,+,[4753],FOUND,10
1908,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
1909,const,[137],FOUND,5
1915,identifier,"[3482, 2722]",FOUND,1
1922,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
1924,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
1932,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
1934,const,[2241],FOUND,4
1940,identifier,"[3482, 2722]",FOUND,1
1947,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
1949,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
1957,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
1958,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
1967,friend declaration,"[3228, 3187, 583, 637]",FOUND,59
1974,identifier,[2028],FOUND,2
1982,operator -,"[4258, 3920, 6283, 11334]",NOT_FOUND,0
1991,-,[4753],FOUND,12
1992,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
