Location,Ground_Truth,State_List,Coverage_Result,Rank
464,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
473,system_lib_string preproc_include_token2,[8864],FOUND,2
483,preproc_include_token2,[11404],FOUND,1
485,using namespace identifier ;,"[595, 34, 10785]",FOUND,28
491,namespace identifier ;,[8420],FOUND,3
501,identifier ;,[8600],FOUND,1
504,;,[9376],FOUND,1
509,class _class_declaration,"[578, 35, 34, 10785]",FOUND,16
515,identifier,[7119],FOUND,1
523,{ preproc_if_in_field_declaration_list_repeat1 },"[4426, 3904, 4867, 4859, 4714, 4304, 6284]",FOUND,3
526,public,[642],FOUND,1
532,:,"[10982, 11109]",FOUND,1
539,primitive_type,"[3278, 637]",FOUND,1
544,identifier,"[4176, 3920, 7964]",FOUND,2
548,( parameter_declaration ),"[8658, 7880]",FOUND,4
549,primitive_type,[2218],FOUND,4
553,identifier,"[4176, 3920, 5283, 9742]",FOUND,4
560,),"[8213, 8633, 9742]",FOUND,1
561,;,"[6311, 4234, 8715, 8721, 7880]",FOUND,1
568,primitive_type,"[3282, 583, 637]",FOUND,1
573,identifier,"[4176, 3920, 7964]",FOUND,2
577,( parameter_declaration ),"[8658, 7880]",FOUND,4
578,primitive_type,[2218],FOUND,4
582,identifier,"[4176, 3920, 5283, 9742]",FOUND,4
589,),"[8213, 8633, 9742]",FOUND,1
590,;,"[6311, 4234, 8715, 8721, 7880]",FOUND,1
599,friend declaration,"[3282, 583, 637]",FOUND,59
606,primitive_type,[2028],FOUND,1
610,operator *,"[4176, 3920, 6283]",NOT_FOUND,0
619,*,[4753],FOUND,8
620,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 7991]",FOUND,2
621,const,[137],FOUND,5
627,identifier,"[3482, 2722]",FOUND,1
635,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
637,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
639,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
641,const,[2241],FOUND,4
647,identifier,"[3482, 2722]",FOUND,1
655,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
657,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
659,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
660,;,"[6315, 4505, 8470, 8469, 7991]",FOUND,8
662,preproc_if_in_field_declaration_list_repeat1,"[3228, 3187, 583, 637]",FOUND,5
706,private,"[3228, 3187, 583, 637]",FOUND,9
713,:,"[10982, 11109]",FOUND,1
720,primitive_type,"[3278, 583, 637]",FOUND,1
724,identifier,"[4176, 3920, 7964]",FOUND,2
725,;,"[8658, 7880]",FOUND,1
732,primitive_type,"[3282, 583, 637]",FOUND,1
736,identifier,"[4176, 3920, 7964]",FOUND,2
737,;,"[8658, 7880]",FOUND,1
746,primitive_type,"[3282, 583, 637]",FOUND,1
750,identifier,"[4176, 3920, 7964]",FOUND,2
754,( ),"[8658, 7880]",FOUND,3
755,),[2218],FOUND,2
757,const,"[6296, 4234, 8715, 8721, 7880]",FOUND,4
762,;,"[4238, 6264, 6569, 8715, 8721, 7880]",FOUND,1
769,primitive_type,"[3282, 583, 637]",FOUND,1
773,identifier,"[4176, 3920, 7964]",FOUND,2
777,( ),"[8658, 7880]",FOUND,3
778,),[2218],FOUND,2
780,const,"[6296, 4234, 8715, 8721, 7880]",FOUND,4
785,;,"[4238, 6264, 6569, 8715, 8721, 7880]",FOUND,1
788,},"[3282, 583, 637]",FOUND,2
789,;,"[4770, 4569, 4867, 4859, 4714, 4304, 6284]",FOUND,3
794,primitive_type,"[747, 35, 34, 10785]",FOUND,3
799,identifier ::,"[3999, 4304, 6284]",FOUND,1
807,::,"[8213, 8018]",FOUND,1
809,identifier,"[8873, 7878]",FOUND,1
813,( parameter_declaration ),"[8166, 8469, 8018]",FOUND,3
814,primitive_type,[137],FOUND,4
818,identifier,"[3999, 3920, 5283, 9742]",FOUND,4
825,),"[8213, 8633, 9742]",FOUND,1
826,{ statement },"[6311, 4505, 8470, 8469, 8018]",FOUND,5
833,identifier = expression,[4],FOUND,18
835,= expression,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,22
837,identifier,[1222],FOUND,1
844,;,"[3260, 6387, 5900, 6427, 10073]",FOUND,6
847,},"[607, 550, 61]",FOUND,2
850,primitive_type,"[253, 745, 35, 34, 10785]",FOUND,3
854,identifier ::,"[3999, 4304, 6284]",FOUND,1
862,::,"[8213, 8018]",FOUND,1
864,identifier,"[8873, 7878]",FOUND,1
868,( ),"[8166, 8469, 8018]",FOUND,5
869,),[137],FOUND,3
871,const,"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,2
876,{ statement },"[4238, 6264, 6919, 8470, 8469, 8018]",FOUND,4
878,return expression ;,[4],FOUND,5
885,identifier,[1185],FOUND,1
886,;,"[3260, 6692, 10073]",FOUND,2
888,},"[678, 550, 61]",FOUND,2
891,primitive_type,"[253, 745, 35, 34, 10785]",FOUND,3
896,identifier ::,"[3999, 4304, 6284]",FOUND,1
904,::,"[8213, 8018]",FOUND,1
906,identifier,"[8873, 7878]",FOUND,1
910,( parameter_declaration ),"[8166, 8469, 8018]",FOUND,3
911,primitive_type,[137],FOUND,4
915,identifier,"[3999, 3920, 5283, 9742]",FOUND,4
922,),"[8213, 8633, 9742]",FOUND,1
923,{ statement },"[6311, 4505, 8470, 8469, 8018]",FOUND,5
930,identifier = expression,[4],FOUND,18
932,= expression,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,22
934,identifier,[1222],FOUND,1
941,;,"[3260, 6387, 5900, 6427, 10073]",FOUND,6
944,},"[607, 550, 61]",FOUND,2
947,primitive_type,"[253, 745, 35, 34, 10785]",FOUND,3
951,identifier ::,"[3999, 4304, 6284]",FOUND,1
959,::,"[8213, 8018]",FOUND,1
961,identifier,"[8873, 7878]",FOUND,1
965,( ),"[8166, 8469, 8018]",FOUND,5
966,),[137],FOUND,3
968,const,"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,2
973,{ statement },"[4238, 6264, 6919, 8470, 8469, 8018]",FOUND,4
975,return expression ;,[4],FOUND,5
982,identifier,[1185],FOUND,1
983,;,"[3260, 6692, 10073]",FOUND,2
985,},"[678, 550, 61]",FOUND,2
990,primitive_type,"[253, 745, 35, 34, 10785]",FOUND,3
994,operator *,"[3999, 4304, 6284]",NOT_FOUND,0
1003,*,[4753],FOUND,8
1004,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 8018]",FOUND,2
1005,const,[137],FOUND,5
1011,identifier,"[3482, 2722]",FOUND,1
1019,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
1021,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
1023,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
1025,const,[2241],FOUND,4
1031,identifier,"[3482, 2722]",FOUND,1
1039,& _declarator,"[4513, 3936, 5283, 10445, 9942]",FOUND,1
1041,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
1043,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
1044,{ statement },"[6315, 4505, 8470, 8469, 8018]",FOUND,5
1051,return expression ;,[4],FOUND,5
1058,( expression ),[1185],FOUND,11
1059,identifier,[217],FOUND,1
1061,. identifier,"[1929, 4607, 7094, 10894, 10312]",FOUND,2
1062,identifier,[8090],FOUND,1
1066,( ),"[5054, 5566, 4607]",FOUND,4
1067,),[1188],FOUND,1
1069,* expression,"[5541, 5506, 5566, 4607]",FOUND,18
1071,identifier,"[1394, 10893]",FOUND,2
1073,. identifier,"[3537, 5086, 5492, 4607, 10312]",FOUND,2
1074,identifier,[8090],FOUND,1
1078,( ),"[5054, 5566, 5086, 5492, 4607]",FOUND,4
1079,),[1188],FOUND,1
1080,),"[5541, 5506, 5566, 5086, 5492, 4607]",FOUND,1
1082,+ expression,"[3684, 5064, 6692]",FOUND,12
1084,( expression ),[1592],FOUND,5
1085,identifier,[217],FOUND,1
1087,. identifier,"[1929, 4607, 7094, 10894, 10312]",FOUND,2
1088,identifier,[8090],FOUND,1
