Location,Ground_Truth,State_List,Coverage_Result,Rank
50,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
59,system_lib_string preproc_include_token2,[8864],FOUND,2
69,preproc_include_token2,[11404],FOUND,1
70,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
79,system_lib_string preproc_include_token2,[8864],FOUND,2
87,preproc_include_token2,[11404],FOUND,1
89,primitive_type,"[595, 35, 34, 10785]",FOUND,3
94,identifier,"[3999, 4304, 6284]",FOUND,2
100,( parameter_declaration ),"[8213, 8018]",FOUND,4
101,primitive_type,[137],FOUND,4
105,identifier,"[3999, 3920, 5283, 9742]",FOUND,4
106,),"[8213, 8633, 9742]",FOUND,1
108,{ statement },"[6311, 4505, 8470, 8469, 8018]",FOUND,5
114,return expression ;,[4],FOUND,5
121,identifier,[1185],FOUND,1
122,% expression,"[3260, 6692, 10073]",FOUND,37
123,number_literal,[1608],FOUND,1
125,!= expression,"[6317, 5774, 5900, 6692]",FOUND,17
128,number_literal,[1838],FOUND,2
129,;,"[6317, 6333, 5900, 6692]",FOUND,1
131,},"[678, 550, 61]",FOUND,2
134,primitive_type,"[253, 745, 35, 34, 10785]",FOUND,3
138,identifier,"[3999, 4304, 6284]",FOUND,2
142,( ),"[8213, 8018]",FOUND,6
143,),[137],FOUND,3
145,{ preproc_if_repeat1 },"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,1
151,preproc_if_repeat1 },[4],FOUND,3
166,preproc_if_repeat1 },[4],FOUND,3
180,preproc_if_repeat1 },[4],FOUND,3
193,preproc_if_repeat1 },[4],FOUND,3
207,preproc_if_repeat1 },[4],FOUND,3
220,preproc_if_repeat1 },[4],FOUND,3
234,preproc_if_repeat1 },[4],FOUND,3
247,preproc_if_repeat1 },[4],FOUND,3
261,identifier ::,[4],FOUND,1
264,::,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,5
266,identifier template_argument_list,"[8873, 7676]",FOUND,2
272,< type_descriptor >,"[1865, 4449, 4369, 6309, 10073, 5268, 6427, 8957]",FOUND,4
273,primitive_type,"[1630, 278]",FOUND,2
276,>,"[9473, 4197, 7417, 9302]",FOUND,1
278,identifier,"[1858, 1868, 3646, 4449, 4369, 6309, 10073, 3872, 5268, 6427, 8957]",FOUND,1
279,{ expression initializer_list_repeat1 },"[8213, 7972]",FOUND,15
280,number_literal,[6],FOUND,8
281,", expression","[6317, 6427]",FOUND,3
282,number_literal,[1031],FOUND,1
283,", expression","[6317, 6609, 9927, 11328]",FOUND,1
284,number_literal,"[1293, 1074]",FOUND,1
285,", expression","[6317, 6562, 10056, 11328, 6787, 9714, 9927]",FOUND,1
286,number_literal,"[1293, 1074]",FOUND,1
287,", expression","[6317, 6562, 10056, 11328, 6787, 9714, 9927]",FOUND,1
288,number_literal,"[1293, 1074]",FOUND,1
289,", expression","[6317, 6562, 10056, 11328, 6787, 9714, 9927]",FOUND,1
290,number_literal,"[1293, 1074]",FOUND,1
291,", expression","[6317, 6562, 10056, 11328, 6787, 9714, 9927]",FOUND,1
292,number_literal,"[1293, 1074]",FOUND,1
293,},"[6317, 6562, 10056, 11328, 6787, 9714, 9927]",FOUND,2
294,;,"[5663, 10081, 9805]",FOUND,1
301,for ( _for_range_loop_body ) statement,"[687, 61]",FOUND,10
305,( _for_range_loop_body ) statement,[10948],FOUND,1
306,auto,[124],FOUND,2
310,& _declarator,"[4706, 4714, 3920, 6293]",FOUND,3
312,identifier,[7448],FOUND,1
314,: expression,"[8213, 8388, 8469, 8152]",FOUND,2
316,identifier,[1251],FOUND,1
317,) statement,"[3260, 7037, 10813, 10073]",FOUND,3
319,{ statement },[198],FOUND,1
329,statement },[38],FOUND,8
383,if condition_clause statement else_clause,[38],FOUND,12
386,( init_statement expression ),[9693],NOT_FOUND,0
387,auto,[128],FOUND,10
392,identifier,"[4706, 4714, 3920, 6274]",FOUND,2
396,= expression,"[8213, 8251]",FOUND,2
398,identifier,[1229],FOUND,2
404,( expression ),"[3260, 6593, 9752, 10886, 10073]",FOUND,10
405,identifier,[1186],FOUND,1
406,),"[3260, 6547, 10073]",FOUND,1
407,;,"[3823, 3786, 5064, 6593, 9752, 10886]",FOUND,2
409,identifier,"[1145, 1878, 146]",NOT_FOUND,0
412,),"[1035, 3920, 7393, 6701, 10073]",NOT_FOUND,0
414,{ statement },"[2329, 199]",FOUND,1
428,identifier ::,[38],FOUND,2
431,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
433,identifier,"[8873, 7676]",FOUND,1
438,<< expression,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,7
441,identifier,[1631],FOUND,1
443,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
446,""" string_literal_repeat1 """,[1631],FOUND,3
447,string_content escape_sequence,[9416],FOUND,2
451,escape_sequence,[9293],FOUND,2
453,"""","[9350, 9293]",FOUND,1
454,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
464,},"[607, 550, 39]",FOUND,1
466,else statement,"[542, 550, 543, 39]",FOUND,6
471,{ statement },[187],FOUND,1
485,identifier ::,[38],FOUND,2
488,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
490,identifier,"[8873, 7676]",FOUND,1
495,<< expression,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,7
498,identifier,[1631],FOUND,1
500,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
503,""" string_literal_repeat1 """,[1631],FOUND,3
504,string_content escape_sequence,[9416],FOUND,2
