Location,Ground_Truth,State_List,Coverage_Result,Rank
37,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
46,system_lib_string preproc_include_token2,[8864],FOUND,2
56,preproc_include_token2,[11404],FOUND,1
57,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
66,system_lib_string preproc_include_token2,[8864],FOUND,2
76,preproc_include_token2,[11404],FOUND,1
77,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
86,system_lib_string preproc_include_token2,[8864],FOUND,2
94,preproc_include_token2,[11404],FOUND,1
95,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
104,system_lib_string preproc_include_token2,[8864],FOUND,2
119,preproc_include_token2,[11404],FOUND,1
120,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
129,system_lib_string preproc_include_token2,[8864],FOUND,2
137,preproc_include_token2,[11404],FOUND,1
138,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
147,system_lib_string preproc_include_token2,[8864],FOUND,2
156,preproc_include_token2,[11404],FOUND,1
158,translation_unit_repeat1,"[595, 35, 34, 10785]",FOUND,6
187,template template_parameter_list function_definition,"[595, 35, 34, 10785]",FOUND,24
196,< type_parameter_declaration template_parameter_list_repeat1 >,[1863],FOUND,3
197,typename identifier,[2179],FOUND,1
206,identifier,"[6576, 9658]",FOUND,1
208,", type_parameter_declaration","[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,4
210,typename identifier,[2194],FOUND,1
219,identifier,"[6576, 10321, 9748]",FOUND,1
221,>,"[4637, 4739, 4714, 3920, 5212, 10321, 9748]",FOUND,2
223,identifier ::,"[3203, 994]",FOUND,3
226,::,"[4219, 4304, 6284, 8957]",FOUND,10
228,identifier,"[8873, 7652]",FOUND,1
235,& _declarator,"[5349, 4521, 4304, 6284, 8469, 8957]",FOUND,9
237,operator <<,[7448],FOUND,3
245,<<,[4753],FOUND,3
247,( parameter_declaration parameter_list_repeat1 ),"[8277, 8469, 8388, 8018]",FOUND,2
248,identifier ::,[2218],FOUND,3
251,::,"[4513, 3920, 5283, 9742]",FOUND,6
253,identifier,"[8873, 8579]",FOUND,1
260,& _declarator,"[4732, 4521, 3920, 5283, 9742]",FOUND,1
262,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
264,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
266,const,[2241],FOUND,4
272,identifier ::,"[3482, 2722]",FOUND,3
275,::,"[4513, 3936, 5283, 10445, 9942]",FOUND,4
277,identifier template_argument_list,"[8873, 8579]",FOUND,2
281,< type_descriptor template_argument_list_repeat1 >,"[4732, 4521, 3936, 5283, 10445, 9942]",FOUND,16
282,identifier,[273],FOUND,2
284,", type_descriptor","[1938, 7417, 9519, 6493, 10478]",FOUND,8
286,identifier,[287],FOUND,1
288,>,"[1938, 7417, 9768, 10050, 10051, 6764, 10478]",FOUND,7
289,& _declarator,"[5205, 4203, 3646, 4521, 3936, 5283, 10445, 9942, 5207]",FOUND,1
291,identifier,"[5743, 8961, 8829, 10445, 9942]",FOUND,1
296,),"[8213, 8689, 8469, 8633, 10445, 9942]",FOUND,1
298,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 8388, 8018]",FOUND,1
304,identifier,[4],FOUND,2
307,<< expression,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,13
310,""" string_content """,[1631],FOUND,2
311,"string_content """,[9416],FOUND,1
312,"""",[9293],FOUND,1
314,<< expression,"[5290, 4783, 6317, 6321, 5900, 6427]",FOUND,11
317,identifier,[1631],FOUND,1
322,. identifier,"[3260, 6321, 5900, 6427, 10073]",FOUND,7
323,identifier,[8043],FOUND,1
329,<< expression,"[3618, 5064, 6321, 5900, 6427]",FOUND,10
332,""" string_content """,[1631],FOUND,2
333,"string_content """,[9416],FOUND,1
334,"""",[9293],FOUND,1
336,<< expression,"[5290, 4783, 6317, 6321, 5900, 6427]",FOUND,11
339,identifier,[1631],FOUND,1
344,. identifier,"[3260, 6321, 5900, 6427, 10073]",FOUND,7
345,identifier,[8043],FOUND,1
352,<< expression,"[3618, 5064, 6321, 5900, 6427]",FOUND,10
355,""" string_content """,[1631],FOUND,2
356,"string_content """,[9416],FOUND,1
357,"""",[9293],FOUND,1
358,;,"[5290, 4783, 6317, 6321, 5900, 6427]",FOUND,2
364,return expression ;,"[607, 550, 61]",FOUND,5
371,identifier,[1185],FOUND,1
373,;,"[3260, 6692, 10073]",FOUND,2
375,},"[678, 550, 41, 61]",FOUND,2
377,template_declaration,"[253, 745, 704, 35, 34, 10785]",FOUND,44
425,template template_parameter_list function_definition,"[253, 745, 704, 35, 34, 10785]",FOUND,24
434,< type_parameter_declaration >,[1863],FOUND,1
435,typename identifier,[2179],FOUND,1
444,identifier,"[6576, 9658]",FOUND,1
451,>,"[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,2
453,identifier ::,"[3252, 994]",FOUND,3
456,::,"[4219, 4304, 6284, 8957]",FOUND,10
458,identifier,"[8873, 7652]",FOUND,1
465,& _declarator,"[5349, 4521, 4304, 6284, 8469, 8957]",FOUND,9
467,identifier,[7448],FOUND,1
474,( parameter_declaration parameter_list_repeat1 ),"[8213, 8388, 8469, 8018]",FOUND,3
475,identifier ::,[2218],FOUND,3
478,::,"[4513, 3920, 5283, 9742]",FOUND,6
480,identifier,"[8873, 8579]",FOUND,1
487,& _declarator,"[4732, 4521, 3920, 5283, 9742]",FOUND,1
489,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
491,", parameter_declaration","[8213, 8689, 8469, 8633, 9742]",FOUND,3
493,identifier,[2241],FOUND,1
501,identifier,"[4513, 3920, 5283, 10445, 9942]",FOUND,3
506,", parameter_declaration","[8213, 8633, 10445, 9942]",FOUND,3
508,identifier,[2241],FOUND,1
516,identifier,"[4513, 3920, 5283, 10445, 9837, 9942]",FOUND,3
520,", optional_parameter_declaration","[8213, 8633, 10445, 9837, 9942]",FOUND,7
522,const,[2241],FOUND,4
528,identifier ::,"[3482, 2722]",FOUND,3
531,::,"[4513, 3936, 5283, 10445, 9837, 9942]",FOUND,4
533,identifier,"[8873, 8579]",FOUND,1
539,& _declarator,"[4732, 4521, 3936, 5283, 10445, 9837, 9942]",FOUND,1
541,identifier,"[5743, 8961, 8829, 10445, 9837, 9942]",FOUND,1
545,= expression,"[8213, 8689, 8469, 8633, 10445, 9837, 9942]",FOUND,4
546,""" """,[1439],FOUND,7
547,"""",[9416],FOUND,3
548,),"[5238, 4783, 6317, 6689, 10445, 9837, 9942]",FOUND,1
550,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 8388, 8018]",FOUND,1
556,identifier ::,[4],FOUND,1
559,::,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,5
561,identifier,"[8873, 7676]",FOUND,1
568,identifier,"[1865, 4449, 4369, 6309, 10073, 5268, 6427, 8957]",FOUND,1
573,;,"[8213, 7972]",FOUND,2
579,identifier,"[685, 61]",FOUND,1
582,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
585,identifier,[1631],FOUND,1
590,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
593,""" string_content """,[1631],FOUND,2
594,"string_content """,[9416],FOUND,1
598,"""",[9293],FOUND,1
599,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
605,while condition_clause statement,"[607, 550, 41, 61]",FOUND,23
611,( expression ),[10274],FOUND,1
612,identifier,[128],FOUND,1
618,!= expression,"[1035, 3920, 6274, 6522, 10073]",FOUND,8
621,identifier,[1838],FOUND,1
625,),"[3260, 6333, 5900, 6522, 10073]",FOUND,2
627,{ preproc_if_repeat1 },"[2309, 161]",FOUND,1
637,identifier,[38],FOUND,1
640,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
643,identifier,[1631],FOUND,1
649,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
652,* expression,[1631],FOUND,11
653,identifier,[1826],FOUND,1
658,;,"[2420, 3665, 5064, 6321, 5900, 6753, 10270]",FOUND,1
668,identifier = expression,"[607, 550, 39]",FOUND,6
674,= expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,9
676,""" string_content """,[1222],FOUND,4
677,"string_content """,[9416],FOUND,1
679,"""",[9293],FOUND,1
680,;,"[5290, 4783, 6317, 6387, 5900, 6753]",FOUND,1
690,++ expression,"[607, 550, 41, 39]",FOUND,29
692,identifier,[1522],FOUND,1
697,;,"[3260, 5699, 5900, 6753, 10073]",FOUND,1
703,},"[607, 550, 41, 39]",FOUND,1
709,identifier,"[542, 550, 677, 41, 61]",FOUND,1
712,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
715,""" string_literal_repeat1 """,[1631],FOUND,3
716,string_content escape_sequence,[9416],FOUND,2
717,escape_sequence,[9293],FOUND,2
719,"""","[9350, 9293]",FOUND,1
720,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
726,return expression ;,"[607, 550, 41, 61]",FOUND,7
733,identifier,[1185],FOUND,1
