Location,Ground_Truth,State_List,Coverage_Result,Rank
70,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
79,system_lib_string preproc_include_token2,[8864],FOUND,2
88,preproc_include_token2,[11404],FOUND,1
89,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
98,system_lib_string preproc_include_token2,[8864],FOUND,2
105,preproc_include_token2,[11404],FOUND,1
106,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
115,system_lib_string preproc_include_token2,[8864],FOUND,2
124,preproc_include_token2,[11404],FOUND,1
126,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
134,identifier preproc_include_token2,[11016],FOUND,3
168,preproc_include_token2,[9454],FOUND,3
169,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
178,""" string_content """,[8864],FOUND,1
179,"string_content """,[9382],FOUND,1
196,"""",[9383],FOUND,1
197,preproc_include_token2,"[11434, 11404]",FOUND,1
199,_empty_declaration,"[595, 35, 34, 10785]",FOUND,28
234,class _class_declaration,"[595, 35, 34, 10785]",FOUND,16
240,identifier,[7119],FOUND,1
247,{ preproc_if_in_field_declaration_list_repeat1 },"[4426, 3904, 4867, 4859, 4714, 4304, 6284]",FOUND,3
249,public,[642],FOUND,1
255,:,"[10982, 11109]",FOUND,1
261,identifier,"[3278, 637]",FOUND,3
267,( parameter_declaration ),"[5879, 3920, 7964, 8957]",FOUND,4
268,identifier ::,"[7875, 2218]",FOUND,3
271,::,"[9061, 8900, 4513, 3920, 5283, 9742]",FOUND,6
273,identifier,"[8873, 8579]",FOUND,1
280,identifier,"[4732, 4521, 3920, 5283, 9742]",FOUND,4
282,),"[8213, 8633, 9742]",FOUND,1
292,: field_initializer field_initializer_list_repeat1,"[6311, 4494, 8470, 8599, 8957]",FOUND,5
294,identifier argument_list,[8262],FOUND,1
299,( expression ),[9034],FOUND,1
300,new type_specifier new_declarator,[1180],FOUND,24
304,primitive_type,[7039],FOUND,2
310,[ expression ],"[3390, 5387, 5900, 6567]",FOUND,12
311,identifier,[1577],FOUND,1
313,],"[3654, 6909, 10093]",FOUND,2
314,),"[5458, 5454, 5900, 6567]",FOUND,1
324,", field_initializer","[7900, 10031, 9756, 10228]",FOUND,1
326,identifier argument_list,[8258],FOUND,1
328,( expression ),[9034],FOUND,1
329,identifier,[1180],FOUND,1
331,),"[3260, 6567, 10073]",FOUND,3
337,{ },"[7900, 10031, 10070, 10033, 10228]",FOUND,2
339,},[64],FOUND,1
346,~ identifier,"[3131, 3319, 583, 637]",FOUND,12
347,identifier,[10972],FOUND,1
353,( ),"[8374, 8469, 8957]",FOUND,2
354,),[2218],FOUND,2
360,{ preproc_if_repeat1 },"[6296, 4494, 8470, 8599, 8957]",FOUND,12
370,delete [ ] expression,[64],FOUND,26
376,[ ] expression,[1557],FOUND,2
377,] expression,[7848],FOUND,1
379,identifier,"[1040, 7935]",FOUND,6
384,;,"[3260, 6366, 5900, 6753, 10073]",FOUND,1
394,identifier = expression,"[607, 550, 65]",FOUND,6
397,= expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,9
399,number_literal,[1222],FOUND,3
400,;,"[6317, 6387, 5900, 6753]",FOUND,1
406,},"[607, 550, 41, 65]",FOUND,3
413,primitive_type,"[3134, 3193, 583, 637]",FOUND,1
419,& _field_declarator,"[4176, 3920, 7964]",FOUND,4
421,operator [],[8345],FOUND,3
429,[],[4753],FOUND,9
431,( parameter_declaration ),"[8277, 8661, 8532, 8721, 7880]",FOUND,4
432,identifier ::,[2218],FOUND,3
435,::,"[4513, 3920, 5283, 9742]",FOUND,6
437,identifier,"[8873, 8579]",FOUND,1
444,identifier,"[4732, 4521, 3920, 5283, 9742]",FOUND,4
445,),"[8213, 8633, 9742]",FOUND,1
451,{ statement },"[6311, 4234, 8715, 8721, 8532, 7880]",FOUND,2
461,return expression ;,[8],FOUND,1
468,identifier,[1185],FOUND,1
473,[ expression ],"[3260, 6692, 10073]",FOUND,25
474,identifier,[1206],FOUND,1
475,],"[3654, 6520, 10093]",FOUND,1
476,;,"[3768, 3784, 5064, 6692]",FOUND,1
482,},"[678, 550, 65]",FOUND,1
489,identifier ::,"[3134, 3288, 583, 637]",FOUND,4
492,::,"[5879, 3920, 7964, 8957]",FOUND,3
494,identifier,"[8873, 7622]",FOUND,1
501,identifier,"[6266, 4521, 3920, 7964, 8469, 8957]",FOUND,2
505,( ),"[8658, 7880]",FOUND,3
506,),[2218],FOUND,2
508,const,"[6296, 4234, 8715, 8721, 7880]",FOUND,4
518,{ statement },"[4238, 6264, 6569, 8715, 8721, 7880]",FOUND,2
528,return expression ;,[8],FOUND,1
535,identifier,[1185],FOUND,1
537,;,"[3260, 6692, 10073]",FOUND,2
543,},"[678, 550, 65]",FOUND,1
546,private,"[3134, 3288, 583, 637]",FOUND,9
553,:,"[10982, 11109]",FOUND,1
559,primitive_type,"[3278, 583, 637]",FOUND,1
566,* _field_declarator,"[4176, 3920, 7964]",FOUND,3
567,identifier,[6202],FOUND,1
572,;,"[8658, 8512, 8721, 7880]",FOUND,1
578,identifier ::,"[3282, 583, 637]",FOUND,4
581,::,"[5879, 3920, 7964, 8957]",FOUND,3
583,identifier,"[8873, 7622]",FOUND,1
590,identifier,"[6266, 4521, 3920, 7964, 8469, 8957]",FOUND,2
592,;,"[8658, 7880]",FOUND,1
594,},"[3282, 583, 637]",FOUND,2
595,;,"[4770, 4569, 4867, 4859, 4714, 4304, 6284]",FOUND,3
661,primitive_type,"[747, 35, 34, 10785]",FOUND,3
668,identifier,"[3999, 4304, 6284]",FOUND,2
680,( parameter_declaration parameter_list_repeat1 ),"[8213, 8018]",FOUND,3
681,identifier ::,[137],FOUND,2
684,::,"[1202, 3920, 5283, 9742, 6567, 10073]",FOUND,7
686,identifier,"[8873, 7803]",FOUND,1
693,& _declarator,"[1902, 4449, 3920, 5283, 9742, 10073, 5064, 6567]",FOUND,2
695,identifier,"[5743, 8961, 8829, 9742, 1627]",FOUND,1
697,", parameter_declaration","[8213, 8689, 8469, 8633, 9742, 3260, 6332, 5900, 6567, 10073]",FOUND,3
699,identifier ::,"[2241, 1203]",FOUND,4
702,::,"[4513, 3920, 5283, 10445, 9942, 3260, 6721, 9770, 10073]",FOUND,1
704,identifier,"[8873, 8579, 7797]",FOUND,1
711,identifier,"[4732, 4521, 3920, 5283, 10445, 9942, 3509, 5064, 6721, 9770, 10073]",FOUND,6
712,),"[8213, 8633, 10445, 9942]",FOUND,1
714,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 8018]",FOUND,1
720,identifier,[4],FOUND,2
727,identifier,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,1
728,{ expression },"[8213, 7972]",FOUND,14
729,identifier,[6],FOUND,1
730,},"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,15
731,;,"[5708, 10081, 9805]",FOUND,1
738,for ( _for_statement_body ) statement,"[687, 61]",FOUND,16
742,( _for_statement_body ) statement,[10948],FOUND,2
743,identifier ::,[124],FOUND,3
746,::,"[1035, 3920, 6293, 6636, 10073]",FOUND,4
748,identifier,"[8873, 7866]",FOUND,1
755,identifier,"[1853, 4449, 3920, 6293, 10073, 5064, 6636]",FOUND,3
757,= expression,"[8213, 8152]",FOUND,3
759,number_literal,[1243],FOUND,2
760,;,"[6317, 6771, 9752]",FOUND,7
762,identifier,"[1145, 280, 2572]",FOUND,1
764,!= expression,"[3260, 6784, 10073, 4109, 3920, 7426]",FOUND,10
767,identifier,[1838],FOUND,1
768,; expression,"[3260, 6333, 5900, 6784, 10073]",FOUND,3
770,++ expression,"[1250, 10810]",FOUND,2
772,identifier,[1522],FOUND,1
773,) statement,"[3260, 5699, 5900, 6793, 10810, 10073]",FOUND,3
775,{ statement },[196],FOUND,2
785,identifier,[38],FOUND,1
788,>> expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,43
791,identifier,[1631],FOUND,1
792,[ expression ],"[3260, 6321, 5900, 6753, 10073]",FOUND,11
793,identifier,[1206],FOUND,1
794,],"[3654, 6520, 10093]",FOUND,1
795,;,"[3768, 3784, 5064, 6321, 5900, 6753]",FOUND,1
801,},"[607, 550, 39]",FOUND,1
808,primitive_type,"[542, 550, 724, 41, 61]",FOUND,11
815,identifier,"[3999, 4369, 6309]",FOUND,1
819,= expression,"[8213, 7972]",FOUND,1
821,number_literal,[1243],FOUND,2
823,;,"[6317, 6771, 9805]",FOUND,1
829,for ( _for_statement_body ) statement,"[687, 41, 61]",FOUND,17
833,( _for_statement_body ) statement,[10948],FOUND,2
834,identifier ::,[124],FOUND,3
837,::,"[1035, 3920, 6293, 6636, 10073]",FOUND,4
839,identifier,"[8873, 7866]",FOUND,1
846,identifier,"[1853, 4449, 3920, 6293, 10073, 5064, 6636]",FOUND,3
848,= expression,"[8213, 8152]",FOUND,3
850,number_literal,[1243],FOUND,2
851,;,"[6317, 6771, 9752]",FOUND,7
853,identifier,"[1145, 280, 2572]",FOUND,1
855,!= expression,"[3260, 6784, 10073, 4109, 3920, 7426]",FOUND,10
858,identifier,[1838],FOUND,1
859,; expression,"[3260, 6333, 5900, 6784, 10073]",FOUND,3
861,++ expression,"[1250, 10810]",FOUND,2
863,identifier,[1522],FOUND,1
864,) statement,"[3260, 5699, 5900, 6793, 10810, 10073]",FOUND,3
866,{ statement },[196],FOUND,2
876,identifier += expression,[38],FOUND,13
880,+= expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,17
883,identifier,[1222],FOUND,1
884,[ expression ],"[3260, 6387, 5900, 6753, 10073]",FOUND,10
885,identifier,[1206],FOUND,1
886,],"[3654, 6520, 10093]",FOUND,1
887,;,"[3768, 3784, 5064, 6387, 5900, 6753]",FOUND,1
893,},"[607, 550, 39]",FOUND,1
900,return expression ;,"[542, 550, 724, 41, 61]",FOUND,7
907,identifier,[1185],FOUND,1
910,;,"[3260, 6692, 10073]",FOUND,2
912,},"[678, 550, 41, 61]",FOUND,2
915,identifier,"[253, 745, 35, 34, 10785]",FOUND,4
924,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
925,""" string_content ""","[1186, 2218, 6374]",FOUND,3
926,"string_content """,[9416],FOUND,1
934,"""",[9293],FOUND,1
935,),"[5290, 4783, 6317, 6547]",FOUND,1
937,{ preproc_if_repeat1 },"[3823, 3786, 5856, 7176]",NOT_FOUND,0
943,identifier ::,"[0, 43]",FOUND,3
946,::,"[1047, 4369, 6309, 6753, 8957, 10073, 1082, 4304, 6284, 7176]",FOUND,5
948,identifier,"[8873, 7676]",FOUND,1
