Location,Ground_Truth,State_List,Coverage_Result,Rank
61,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
70,system_lib_string preproc_include_token2,[8864],FOUND,2
79,preproc_include_token2,[11404],FOUND,1
80,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
89,system_lib_string preproc_include_token2,[8864],FOUND,2
98,preproc_include_token2,[11404],FOUND,1
100,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
108,identifier preproc_include_token2,[11016],FOUND,3
142,preproc_include_token2,[9454],FOUND,3
143,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
152,""" string_content """,[8864],FOUND,1
153,"string_content """,[9382],FOUND,1
170,"""",[9383],FOUND,1
171,preproc_include_token2,"[11434, 11404]",FOUND,1
173,struct _class_declaration,"[595, 35, 34, 10785]",FOUND,15
180,identifier,[7252],FOUND,1
186,{ preproc_if_in_field_declaration_list_repeat1 },"[4426, 3904, 4867, 4680, 4714, 4304, 6284]",FOUND,3
192,identifier ::,[642],FOUND,5
195,::,"[5879, 3920, 7964, 8957]",FOUND,3
197,identifier,"[8873, 7622]",FOUND,1
204,identifier,"[6266, 4521, 3920, 7964, 8469, 8957]",FOUND,2
208,;,"[8658, 7880]",FOUND,1
214,primitive_type,"[3282, 637]",FOUND,1
218,identifier,"[4176, 3920, 7964]",FOUND,2
223,;,"[8658, 7880]",FOUND,1
225,},"[3282, 583, 637]",FOUND,2
226,;,"[4770, 4569, 4867, 4680, 4714, 4304, 6284]",FOUND,3
283,identifier,"[747, 35, 34, 10785]",FOUND,4
289,identifier,"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,4
299,( parameter_declaration ),"[8213, 8018]",FOUND,4
300,identifier ::,[137],FOUND,2
303,::,"[1202, 3920, 5283, 9742, 6567, 10073]",FOUND,7
305,identifier,"[8873, 7803]",FOUND,1
312,& _declarator,"[1902, 4449, 3920, 5283, 9742, 10073, 5064, 6567]",FOUND,2
314,identifier,"[5743, 8961, 8829, 9742, 1627]",FOUND,1
316,),"[8213, 8689, 8469, 8633, 9742, 3260, 6332, 5900, 6567, 10073]",FOUND,2
318,{ preproc_if_repeat1 },"[6311, 4505, 8470, 8469, 8018, 7900, 10081, 10012]",FOUND,1
324,identifier ::,[4],FOUND,1
327,::,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,5
329,identifier,"[8873, 7676]",FOUND,1
336,identifier,"[1865, 4449, 4369, 6309, 10073, 5268, 6427, 8957]",FOUND,1
340,;,"[8213, 7972]",FOUND,2
346,primitive_type,"[685, 61]",FOUND,7
350,identifier,"[3999, 4369, 6309]",FOUND,1
355,;,"[8213, 7972]",FOUND,2
361,identifier,"[685, 41, 61]",FOUND,1
364,>> expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,43
367,identifier,[1631],FOUND,1
372,>> expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,30
375,identifier,[1631],FOUND,1
380,;,"[3260, 6321, 5900, 6753, 10073]",FOUND,1
386,return initializer_list ;,"[607, 550, 41, 61]",FOUND,36
393,{ expression initializer_list_repeat1 },[1185],FOUND,14
394,identifier,[1034],FOUND,3
398,", expression","[3421, 6596, 10073]",FOUND,1
400,identifier,[1100],FOUND,3
405,},"[3421, 6787, 9927, 10073]",FOUND,2
406,;,"[5663, 10952]",FOUND,1
408,},"[678, 550, 41, 61]",FOUND,2
442,},"[678, 550, 41, 61]",FOUND,2
445,identifier,"[253, 745, 35, 34, 10785]",FOUND,4
454,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
455,""" string_content ""","[1186, 2218, 6374]",FOUND,3
456,"string_content """,[9416],FOUND,1
465,"""",[9293],FOUND,1
466,),"[5290, 4783, 6317, 6547]",FOUND,1
468,{ preproc_if_repeat1 },"[3823, 3786, 5856, 7176]",NOT_FOUND,0
474,{ preproc_if_repeat1 },"[0, 43]",FOUND,24
484,identifier ::,"[38, 43]",FOUND,2
487,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
489,identifier,"[8873, 7676]",FOUND,1
503,identifier,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,2
505,( expression ),"[8213, 7972]",FOUND,9
506,""" string_content """,[137],FOUND,7
507,"string_content """,[9416],FOUND,1
513,"""",[9293],FOUND,1
514,),"[5290, 4783, 6317, 6567]",FOUND,1
515,;,"[7900, 10081, 9805]",FOUND,1
525,auto,"[687, 39]",FOUND,12
530,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
534,= expression,"[8213, 7972]",FOUND,1
536,identifier,[1243],FOUND,1
546,( expression ),"[3260, 6771, 9805, 10073]",FOUND,3
547,identifier,[1186],FOUND,1
549,),"[3260, 6547, 10073]",FOUND,1
550,;,"[3823, 3786, 5064, 6771, 9805]",FOUND,1
560,statement,"[687, 41, 39]",FOUND,4
589,identifier,"[687, 41, 39]",FOUND,2
596,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
597,identifier,"[1186, 2218, 6374]",FOUND,1
600,. identifier,"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,4
601,identifier,[8043],FOUND,1
