Location,Ground_Truth,State_List,Coverage_Result,Rank
73,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
82,system_lib_string preproc_include_token2,[8864],FOUND,2
92,preproc_include_token2,[11404],FOUND,1
93,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
102,system_lib_string preproc_include_token2,[8864],FOUND,2
117,preproc_include_token2,[11404],FOUND,1
119,primitive_type,"[595, 35, 34, 10785]",FOUND,3
124,identifier,"[3999, 4304, 6284]",FOUND,2
137,( ),"[8213, 8018]",FOUND,6
138,),[137],FOUND,3
140,{ preproc_if_repeat1 },"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,1
146,identifier ::,[4],FOUND,1
149,::,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,5
151,identifier template_argument_list,"[8873, 7676]",FOUND,2
164,< type_descriptor template_argument_list_repeat1 >,"[1865, 4449, 4369, 6309, 10073, 5268, 6427, 8957]",FOUND,20
165,identifier ::,"[1630, 278]",FOUND,3
168,::,"[3260, 6338, 5900, 6427, 10073, 1938, 7417, 9302, 6571, 10478]",FOUND,1
170,identifier,"[8873, 7797, 7816]",FOUND,1
176,", type_descriptor","[3509, 5064, 6338, 5900, 6427, 10073, 2879, 5788, 6571, 4655, 7417, 9302, 10478]",FOUND,22
178,primitive_type,"[1031, 287]",FOUND,4
181,>,"[9473, 4197, 7417, 9768, 9662, 9661]",FOUND,1
183,identifier,"[1861, 1868, 3646, 4449, 4369, 6309, 10073, 3872, 5268, 6427, 8957, 1860]",FOUND,1
184,{ initializer_list initializer_list_repeat1 },"[8213, 7972]",FOUND,23
194,{ expression initializer_list_repeat1 },[6],FOUND,10
195,""" string_content """,[5],FOUND,1
196,"string_content """,[9416],FOUND,1
199,"""",[9293],FOUND,1
200,", expression","[5290, 4783, 6317, 6427]",FOUND,3
202,number_literal,[1031],FOUND,1
203,},"[6317, 6609, 9927, 11328]",FOUND,2
204,", initializer_list","[5663, 9533]",FOUND,1
214,{ expression initializer_list_repeat1 },[1100],FOUND,4
215,""" string_content """,[1034],FOUND,2
216,"string_content """,[9416],FOUND,1
219,"""",[9293],FOUND,1
220,", expression","[5290, 4783, 6317, 6596]",FOUND,1
222,number_literal,[1100],FOUND,1
223,},"[6317, 6787, 9927]",FOUND,2
224,", initializer_list","[5663, 10342, 9927]",FOUND,3
234,{ expression initializer_list_repeat1 },[1074],FOUND,2
235,""" string_content """,[1034],FOUND,2
236,"string_content """,[9416],FOUND,1
241,"""",[9293],FOUND,1
242,", expression","[5290, 4783, 6317, 6596]",FOUND,1
244,number_literal,[1100],FOUND,1
245,},"[6317, 6787, 9927]",FOUND,2
251,},"[5663, 10342, 9714, 9927]",FOUND,2
252,;,"[5663, 10081, 9805]",FOUND,1
258,statement,"[687, 61]",FOUND,8
298,for ( _for_range_loop_body ) statement,"[687, 61]",FOUND,10
302,( _for_range_loop_body ) statement,[10948],FOUND,1
303,const,[124],FOUND,5
309,auto,"[3482, 2645]",FOUND,4
313,& _declarator,"[4706, 4714, 3936, 6293]",FOUND,2
315,identifier,[7448],FOUND,1
318,: expression,"[8213, 8388, 8469, 8152]",FOUND,2
320,identifier,[1251],FOUND,1
321,) statement,"[3260, 7037, 10813, 10073]",FOUND,3
323,{ statement },[198],FOUND,1
333,identifier ::,[38],FOUND,2
336,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
338,identifier,"[8873, 7676]",FOUND,1
343,<< expression,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,7
346,""" string_content """,[1631],FOUND,2
347,"string_content """,[9416],FOUND,1
349,"""",[9293],FOUND,1
351,<< expression,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,6
354,identifier,[1631],FOUND,1
356,. identifier,"[3260, 6321, 5900, 6753, 10073]",FOUND,5
357,identifier,[8043],FOUND,1
363,<< expression,"[3618, 5064, 6321, 5900, 6753]",FOUND,6
366,""" string_content """,[1631],FOUND,2
367,"string_content """,[9416],FOUND,1
370,"""",[9293],FOUND,1
372,<< expression,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,6
375,identifier,[1631],FOUND,1
377,. identifier,"[3260, 6321, 5900, 6753, 10073]",FOUND,5
378,identifier,[8043],FOUND,1
385,<< expression,"[3618, 5064, 6321, 5900, 6753]",FOUND,6
388,""" escape_sequence """,[1631],FOUND,6
389,"escape_sequence """,[9416],FOUND,6
391,"""",[9293],FOUND,1
392,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
398,},"[607, 550, 39]",FOUND,1
400,},"[542, 550, 725, 41, 61]",FOUND,2
403,primitive_type,"[253, 745, 35, 34, 10785]",FOUND,3
408,identifier,"[3999, 4304, 6284]",FOUND,2
421,( ),"[8213, 8018]",FOUND,6
422,),[137],FOUND,3
424,{ preproc_if_repeat1 },"[6998, 4505, 8470, 8469, 8018, 10081, 10012]",FOUND,1
430,identifier ::,[4],FOUND,1
433,::,"[1014, 4369, 6309, 6427, 8957, 10073]",FOUND,5
435,identifier template_argument_list,"[8873, 7676]",FOUND,2
448,< type_descriptor template_argument_list_repeat1 >,"[1865, 4449, 4369, 6309, 10073, 5268, 6427, 8957]",FOUND,20
449,identifier ::,"[1630, 278]",FOUND,3
452,::,"[3260, 6338, 5900, 6427, 10073, 1938, 7417, 9302, 6571, 10478]",FOUND,1
454,identifier,"[8873, 7797, 7816]",FOUND,1
460,", type_descriptor","[3509, 5064, 6338, 5900, 6427, 10073, 2879, 5788, 6571, 4655, 7417, 9302, 10478]",FOUND,22
462,primitive_type,"[1031, 287]",FOUND,4
465,>,"[9473, 4197, 7417, 9768, 9662, 9661]",FOUND,1
467,identifier,"[1861, 1868, 3646, 4449, 4369, 6309, 10073, 3872, 5268, 6427, 8957, 1860]",FOUND,1
468,{ initializer_list initializer_list_repeat1 },"[8213, 7972]",FOUND,23
478,{ expression initializer_list_repeat1 },[6],FOUND,10
479,""" string_content """,[5],FOUND,1
480,"string_content """,[9416],FOUND,1
486,"""",[9293],FOUND,1
487,", expression","[5290, 4783, 6317, 6427]",FOUND,3
489,number_literal,[1031],FOUND,1
