Location,Ground_Truth,State_List,Coverage_Result,Rank
79,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
88,system_lib_string preproc_include_token2,[8864],FOUND,2
99,preproc_include_token2,[11404],FOUND,1
100,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
109,system_lib_string preproc_include_token2,[8864],FOUND,2
118,preproc_include_token2,[11404],FOUND,1
119,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
128,system_lib_string preproc_include_token2,[8864],FOUND,2
136,preproc_include_token2,[11404],FOUND,1
138,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
146,identifier preproc_include_token2,[11016],FOUND,3
180,preproc_include_token2,[9454],FOUND,3
181,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
190,""" string_content """,[8864],FOUND,1
191,"string_content """,[9382],FOUND,1
208,"""",[9383],FOUND,1
209,preproc_include_token2,"[11434, 11404]",FOUND,1
266,namespace identifier declaration_list,"[595, 35, 34, 10785]",FOUND,11
276,identifier declaration_list,[8869],FOUND,1
282,{ preproc_if_repeat1 },"[9489, 11021]",FOUND,1
284,preproc_if_repeat1 },[54],FOUND,2
351,preproc_if_repeat1 },[54],FOUND,2
394,template template_parameter_list function_definition,[54],FOUND,13
403,< type_parameter_declaration template_parameter_list_repeat1 >,[1864],FOUND,2
404,typename identifier,[2179],FOUND,1
413,identifier,"[6576, 9658]",FOUND,1
420,", type_parameter_declaration","[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,4
422,typename identifier,[2194],FOUND,1
431,identifier,"[6576, 10321, 9748]",FOUND,1
444,>,"[4637, 4739, 4714, 3920, 5212, 10321, 9748]",FOUND,2
446,identifier,"[3203, 996]",FOUND,4
460,identifier,"[4219, 4369, 6309, 8957]",FOUND,1
468,( parameter_declaration parameter_list_repeat1 ),"[8213, 7972]",FOUND,7
469,identifier,[137],FOUND,1
477,identifier,"[1202, 3920, 5283, 9742, 6567, 10073]",FOUND,4
482,", parameter_declaration","[8213, 8633, 9742]",FOUND,3
484,identifier,[2241],FOUND,1
492,identifier,"[4513, 3920, 5283, 10445, 9942]",FOUND,3
496,", parameter_declaration","[8213, 8633, 10445, 9942]",FOUND,3
498,identifier,[2241],FOUND,1
512,identifier,"[4513, 3920, 5283, 10445, 9837, 9942]",FOUND,3
513,),"[8213, 8633, 10445, 9837, 9942]",FOUND,1
515,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 7972]",FOUND,3
521,while condition_clause statement,[6],FOUND,30
527,( expression ),[10274],FOUND,1
528,identifier,[128],FOUND,1
534,!= expression,"[1035, 3920, 6274, 6522, 10073]",FOUND,8
537,identifier,[1838],FOUND,1
541,),"[3260, 6333, 5900, 6522, 10073]",FOUND,2
543,{ preproc_if_repeat1 },"[2309, 161]",FOUND,1
553,identifier,[38],FOUND,1
554,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
555,* expression,"[1186, 2218, 6374]",FOUND,8
556,identifier,"[1826, 4123]",FOUND,1
561,),"[2420, 3665, 5064, 6547, 10270, 8510, 8702, 8469, 8939]",FOUND,1
562,;,"[8386, 8469, 7972, 3823, 3786, 5064, 6753]",FOUND,1
572,++ expression,"[607, 550, 39, 685]",FOUND,28
574,identifier,[1522],FOUND,1
579,;,"[3260, 5699, 5900, 6753, 10073]",FOUND,1
585,},"[607, 550, 41, 39]",FOUND,1
591,return expression ;,"[542, 550, 677, 39]",FOUND,5
598,identifier,[1185],FOUND,1
599,;,"[3260, 6692, 10073]",FOUND,2
601,},"[678, 550, 41, 39]",FOUND,1
