Location,Ground_Truth,State_List,Coverage_Result,Rank
69,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
78,system_lib_string preproc_include_token2,[8864],FOUND,2
90,preproc_include_token2,[11404],FOUND,1
91,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
100,system_lib_string preproc_include_token2,[8864],FOUND,2
109,preproc_include_token2,[11404],FOUND,1
110,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
119,system_lib_string preproc_include_token2,[8864],FOUND,2
128,preproc_include_token2,[11404],FOUND,1
129,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
138,system_lib_string preproc_include_token2,[8864],FOUND,2
146,preproc_include_token2,[11404],FOUND,1
147,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
156,system_lib_string preproc_include_token2,[8864],FOUND,2
163,preproc_include_token2,[11404],FOUND,1
164,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
173,system_lib_string preproc_include_token2,[8864],FOUND,2
182,preproc_include_token2,[11404],FOUND,1
184,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
192,identifier preproc_include_token2,[11016],FOUND,3
226,preproc_include_token2,[9454],FOUND,3
227,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
236,""" string_content """,[8864],FOUND,1
237,"string_content """,[9382],FOUND,1
254,"""",[9383],FOUND,1
255,preproc_include_token2,"[11434, 11404]",FOUND,1
257,template template_parameter_list function_definition,"[595, 35, 34, 10785]",FOUND,24
266,< type_parameter_declaration template_parameter_list_repeat1 >,[1863],FOUND,3
267,typename identifier,[2179],FOUND,1
276,identifier,"[6576, 9658]",FOUND,1
281,", type_parameter_declaration","[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,4
283,typename identifier,[2194],FOUND,1
292,identifier,"[6576, 10321, 9748]",FOUND,1
296,", variadic_parameter_declaration","[4637, 4739, 4714, 3920, 5212, 10321, 9748]",FOUND,16
298,primitive_type,[2194],FOUND,2
304,... identifier,"[4176, 3920, 5212, 10321, 9806, 9748]",FOUND,8
308,identifier,"[9488, 9736, 10321, 9806, 9748]",FOUND,2
315,>,"[9774, 9736, 10321, 9806, 9748]",FOUND,1
317,primitive_type,"[3203, 994]",FOUND,2
322,identifier,"[4176, 4304, 6284]",FOUND,2
327,( parameter_declaration parameter_list_repeat1 ),"[8213, 8018]",FOUND,3
328,identifier,[137],FOUND,1
333,& _declarator,"[1202, 3920, 5283, 9742, 6567, 10073]",FOUND,2
335,identifier,"[1627, 5743, 8961, 8829, 9742]",FOUND,1
336,", parameter_declaration","[3260, 6332, 5900, 6567, 10073, 8213, 8689, 8469, 8633, 9742]",FOUND,3
338,identifier,"[2241, 1203]",FOUND,1
342,&& _declarator,"[4513, 3920, 5283, 10445, 9942, 3260, 6721, 9770, 10073]",FOUND,33
345,identifier,"[5743, 8961, 8829, 10445, 9942, 1610]",FOUND,1
349,", parameter_declaration","[8213, 8689, 8469, 8633, 10445, 9942, 3260, 6339, 5900, 6721, 9770, 10073]",FOUND,7
351,identifier ::,"[2241, 1203]",FOUND,4
354,::,"[4513, 3920, 5283, 10445, 9837, 9942, 3260, 6721, 9704, 9770, 10073]",FOUND,1
356,identifier template_argument_list,"[8873, 8579, 7797]",FOUND,3
370,< parameter_pack_expansion >,"[4732, 4521, 3920, 5283, 10445, 9837, 9942, 3509, 5064, 6721, 9704, 9770, 10073]",FOUND,82
371,identifier,"[273, 1630, 265]",FOUND,1
378,...,"[1938, 7417, 9519, 9417, 6493, 6473, 10478, 3260, 6338, 5900, 6721, 9704, 9770, 10073]",FOUND,46
381,>,"[7253, 7215, 6493, 6473, 10316, 10045, 9852, 5836, 5900, 6721, 9704, 9770]",FOUND,12
382,),"[5167, 4203, 3646, 4521, 3920, 5283, 10445, 9837, 9942, 5169, 1630, 1980, 3611, 3742, 5064, 6721, 9704, 9770, 10073, 1982]",FOUND,5
384,{ statement },"[6315, 4505, 8470, 8469, 8018, 7925, 10081, 10012]",FOUND,5
390,( _unary_right_fold ),[4],NOT_FOUND,0
391,identifier,[127],FOUND,1
395,( expression ),"[1895, 4607, 8939, 7094, 10894, 10312]",FOUND,5
396,identifier ::,"[1188, 2218, 1849]",FOUND,3
399,::,"[3260, 6559, 10073, 4513, 3920, 5283, 9742]",FOUND,1
401,identifier template_argument_list,"[8873, 7797, 8579]",FOUND,3
404,< type_descriptor >,"[3509, 5064, 6559, 10073, 4732, 4521, 3920, 5283, 9742]",FOUND,9
405,identifier,"[1630, 265, 273]",FOUND,1
412,>,"[3260, 6338, 5900, 6559, 10073, 1938, 7417, 9417, 9519, 6473, 6493, 10478]",FOUND,2
413,( expression ),"[1630, 1980, 3611, 3742, 5064, 6559, 3646, 10073, 1981, 5167, 4203, 4521, 3920, 5283, 9742, 5168]",FOUND,11
414,identifier,"[1186, 1015, 217]",FOUND,1
415,),"[3260, 6547, 10073, 4646, 3920, 5283, 9742, 8939, 1929, 4607, 7094, 10894, 10312]",FOUND,1
416,),"[3823, 3786, 5064, 6559, 6311, 5256, 8393, 8389, 8829, 9742, 8386, 8469, 8633, 3684, 6338, 5900, 1225]",FOUND,1
417,",","[5564, 5506, 5566, 4607, 6311, 4494, 8470, 8469, 8939, 4601, 8393, 8389, 8859, 10894]",NOT_FOUND,0
419,...,"[1216, 10893]",NOT_FOUND,0
422,),"[11438, 10958, 10775]",NOT_FOUND,0
423,;,"[4951, 5900, 6427]",FOUND,1
425,},"[607, 550, 61]",FOUND,2
428,template template_parameter_list function_definition,"[253, 745, 704, 35, 34, 10785]",FOUND,24
437,< type_parameter_declaration template_parameter_list_repeat1 >,[1863],FOUND,3
438,typename identifier,[2179],FOUND,1
447,identifier,"[6576, 9658]",FOUND,1
452,", type_parameter_declaration","[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,4
454,typename identifier,[2194],FOUND,1
463,identifier,"[6576, 10321, 9748]",FOUND,1
467,>,"[4637, 4739, 4714, 3920, 5212, 10321, 9748]",FOUND,2
469,primitive_type,"[3203, 994]",FOUND,2
474,identifier,"[4176, 4304, 6284]",FOUND,2
479,( parameter_declaration parameter_list_repeat1 ),"[8213, 8018]",FOUND,3
480,identifier,[137],FOUND,1
485,& _declarator,"[1202, 3920, 5283, 9742, 6567, 10073]",FOUND,2
487,identifier,"[1627, 5743, 8961, 8829, 9742]",FOUND,1
488,", parameter_declaration","[3260, 6332, 5900, 6567, 10073, 8213, 8689, 8469, 8633, 9742]",FOUND,3
490,identifier,"[2241, 1203]",FOUND,1
494,&& _declarator,"[4513, 3920, 5283, 10445, 9942, 3260, 6721, 9770, 10073]",FOUND,33
497,identifier,"[5743, 8961, 8829, 10445, 9942, 1610]",FOUND,1
501,),"[8213, 8689, 8469, 8633, 10445, 9942, 3260, 6339, 5900, 6721, 9770, 10073]",FOUND,3
503,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 8018, 7925, 10081, 10012]",FOUND,1
509,constexpr,[4],FOUND,55
519,auto,"[3482, 4663, 2396, 2645]",FOUND,4
524,identifier,"[4706, 4714, 3936, 6309]",FOUND,1
529,= expression,"[8213, 7972]",FOUND,1
531,identifier ::,[1243],FOUND,3
534,::,"[3260, 6771, 9805, 10073]",FOUND,1
536,identifier template_argument_list,"[8873, 7797]",FOUND,3
546,< type_descriptor >,"[3509, 5064, 6771, 9805, 10073]",FOUND,9
547,identifier,"[1630, 265]",FOUND,1
552,>,"[3260, 6338, 5900, 6771, 9805, 10073, 1938, 7417, 9417, 6473, 10478]",FOUND,8
553,{ },"[1630, 1980, 3611, 3742, 5064, 6771, 9805, 3646, 10073, 1981]",FOUND,16
554,},[1034],FOUND,4
555,;,"[5786, 5860, 5900, 6771, 9805]",FOUND,1
561,identifier,"[687, 61]",FOUND,1
566,( expression argument_list_repeat1 ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,4
567,identifier,"[1186, 2218, 6374]",FOUND,1
568,", expression","[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,2
570,identifier,"[1203, 2241]",FOUND,1
574,", expression","[3260, 6721, 10041, 10073, 4513, 3920, 5283, 10445, 9942]",FOUND,3
576,identifier ::,"[1203, 2241]",FOUND,4
579,::,"[3260, 6721, 9704, 10041, 10073, 4513, 3920, 5283, 10445, 9837, 9942]",FOUND,2
581,identifier template_argument_list,"[8873, 7797, 8579]",FOUND,3
600,< type_descriptor >,"[3509, 5064, 6721, 9704, 10041, 10073, 4732, 4521, 3920, 5283, 10445, 9837, 9942]",FOUND,14
601,identifier,"[1630, 265, 273]",FOUND,1
605,>,"[3260, 6338, 5900, 6721, 9704, 10041, 10073, 1938, 7417, 9417, 9519, 6473, 6493, 10478]",FOUND,7
606,{ },"[1630, 1980, 3611, 3742, 5064, 6721, 9704, 10041, 3646, 10073, 1981, 5167, 4203, 4521, 3920, 5283, 10445, 9837, 9942, 5168]",FOUND,24
607,},[1034],FOUND,4
608,),"[5786, 5860, 5900, 6721, 9704, 10041]",FOUND,1
609,;,"[3815, 3786, 5064, 6753]",FOUND,1
611,},"[607, 550, 41, 61]",FOUND,2
614,identifier,"[253, 745, 704, 35, 34, 10785]",FOUND,4
623,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
624,""" string_content ""","[1186, 2218, 6374]",FOUND,3
625,"string_content """,[9416],FOUND,1
638,"""",[9293],FOUND,1
639,),"[5290, 4783, 6317, 6547]",FOUND,1
647,identifier ::,"[0, 43]",FOUND,3
650,::,"[1047, 4369, 6309, 6753, 8957, 10073, 1082, 4304, 6284, 7176]",FOUND,5
652,identifier,"[8873, 7676]",FOUND,1
666,identifier,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957, 4304, 6284, 5657, 7176]",FOUND,2
669,;,"[8213, 7972, 8018]",FOUND,2
675,auto,"[685, 61, 515, 35, 34, 10785]",FOUND,11
680,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
686,= expression,"[8213, 7972]",FOUND,1
688,[ _lambda_capture_identifier ],[1243],FOUND,30
689,& identifier,[7849],FOUND,3
690,identifier,"[8270, 10128]",FOUND,2
693,],"[8998, 9644]",FOUND,1
694,( parameter_declaration ),"[8763, 7935]",FOUND,1
695,const,[2218],FOUND,5
701,auto,"[3482, 2722]",FOUND,7
705,& _declarator,"[4706, 4714, 3936, 5283, 9742]",FOUND,1
707,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
708,),"[8213, 8689, 8469, 8633, 9742]",FOUND,1
710,{ statement },"[6311, 8127, 10423]",FOUND,1
712,identifier,[36],FOUND,2
716,<< expression,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,8
719,identifier,[1631],FOUND,1
721,<< expression,"[3260, 6321, 5900, 6753, 10073]",FOUND,7
724,""" string_content """,[1631],FOUND,2
725,"string_content """,[9416],FOUND,1
726,"""",[9293],FOUND,1
727,;,"[5290, 4783, 6317, 6321, 5900, 6753]",FOUND,1
729,},"[607, 550, 45]",FOUND,1
730,;,"[5076, 4940, 5900, 6771, 9805]",FOUND,1
737,identifier,"[687, 41, 61]",FOUND,1
744,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
745,""" string_content ""","[1186, 2218, 6374]",FOUND,3
746,"string_content """,[9416],FOUND,1
761,"""",[9293],FOUND,1
762,),"[5290, 4783, 6317, 6547]",FOUND,1
768,{ preproc_if_repeat1 },"[3823, 3786, 5064, 6753]",NOT_FOUND,0
778,identifier ::,"[0, 38]",FOUND,2
781,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
783,identifier,"[8873, 7676]",FOUND,1
789,identifier,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,2
790,( expression ),"[8213, 7972]",FOUND,9
791,number_literal,[137],FOUND,6
793,),"[6317, 6567]",FOUND,1
794,;,"[7900, 10081, 9805]",FOUND,1
804,identifier,"[687, 39]",FOUND,2
809,( expression argument_list_repeat1 ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,4
810,identifier,"[1186, 2218, 6374]",FOUND,1
811,", expression","[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,2
