Location,Ground_Truth,State_List,Coverage_Result,Rank
61,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
70,system_lib_string preproc_include_token2,[8864],FOUND,2
79,preproc_include_token2,[11404],FOUND,1
80,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
89,system_lib_string preproc_include_token2,[8864],FOUND,2
98,preproc_include_token2,[11404],FOUND,1
99,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
108,system_lib_string preproc_include_token2,[8864],FOUND,2
120,preproc_include_token2,[11404],FOUND,1
121,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
130,system_lib_string preproc_include_token2,[8864],FOUND,2
138,preproc_include_token2,[11404],FOUND,1
139,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
148,system_lib_string preproc_include_token2,[8864],FOUND,2
155,preproc_include_token2,[11404],FOUND,1
156,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
165,system_lib_string preproc_include_token2,[8864],FOUND,2
178,preproc_include_token2,[11404],FOUND,1
179,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
188,system_lib_string preproc_include_token2,[8864],FOUND,2
197,preproc_include_token2,[11404],FOUND,1
198,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
207,system_lib_string preproc_include_token2,[8864],FOUND,2
222,preproc_include_token2,[11404],FOUND,1
223,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
232,system_lib_string preproc_include_token2,[8864],FOUND,2
247,preproc_include_token2,[11404],FOUND,1
249,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
257,identifier preproc_include_token2,[11016],FOUND,3
291,preproc_include_token2,[9454],FOUND,3
292,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
301,""" string_content """,[8864],FOUND,1
302,"string_content """,[9382],FOUND,1
319,"""",[9383],FOUND,1
320,preproc_include_token2,"[11434, 11404]",FOUND,1
322,using namespace qualified_identifier ;,"[595, 35, 34, 10785]",FOUND,37
328,namespace qualified_identifier ;,[8420],FOUND,4
338,identifier ::,[8600],FOUND,2
341,::,[9376],FOUND,2
343,identifier,"[8873, 7879]",FOUND,1
358,;,"[9360, 10822]",FOUND,2
360,template_declaration,"[578, 35, 34, 10785]",FOUND,44
373,template_declaration,"[578, 35, 34, 10785]",FOUND,44
425,template template_parameter_list function_definition,"[578, 35, 34, 10785]",FOUND,24
434,< type_parameter_declaration >,[1863],FOUND,1
435,typename identifier,[2179],FOUND,1
444,identifier,"[6576, 9658]",FOUND,1
445,>,"[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,2
447,identifier ::,"[3252, 994]",FOUND,3
450,::,"[4219, 4304, 6284, 8957]",FOUND,10
452,identifier,"[8873, 7652]",FOUND,1
459,identifier,"[5349, 4521, 4304, 6284, 8469, 8957]",FOUND,2
469,( parameter_declaration ),"[8213, 8018]",FOUND,4
470,const,[137],FOUND,5
476,identifier,"[3482, 2722]",FOUND,1
477,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
479,identifier,"[5743, 8961, 8829, 9742]",FOUND,1
480,),"[8213, 8689, 8469, 8633, 9742]",FOUND,1
482,{ statement },"[6311, 4505, 8470, 8469, 8018]",FOUND,5
488,return expression ;,[4],FOUND,5
495,identifier ::,[1185],FOUND,4
498,::,"[3260, 6692, 10073]",FOUND,1
500,identifier template_argument_list,"[8873, 7797]",FOUND,3
504,< type_descriptor >,"[3509, 5064, 6692, 10073]",FOUND,4
505,identifier,"[1630, 265]",FOUND,1
506,>,"[3260, 6338, 5900, 6692, 10073, 1938, 7417, 9417, 6473, 10478]",FOUND,4
507,( ),"[1630, 1980, 3611, 3742, 5064, 6692, 3646, 10073, 1981]",FOUND,9
508,),"[1186, 217]",FOUND,2
509,( expression ),"[3830, 3786, 5064, 6692]",FOUND,5
510,identifier,[1186],FOUND,1
511,),"[3260, 6547, 10073]",FOUND,1
512,;,"[3823, 3786, 5064, 6692]",FOUND,1
514,},"[678, 550, 61]",FOUND,2
587,template template_parameter_list _empty_declaration,"[253, 745, 704, 35, 34, 10785]",FOUND,25
596,< variadic_type_parameter_declaration >,[1863],FOUND,6
597,class ... identifier,[2179],FOUND,8
602,... identifier,"[6423, 9658]",FOUND,5
606,identifier,"[9713, 9658]",FOUND,3
615,>,"[10218, 9658]",FOUND,1
617,struct _class_declaration,"[3252, 994]",FOUND,1
624,identifier ::,[7252],FOUND,4
627,::,"[4426, 3904, 4867, 4680, 4714, 4304, 6284]",FOUND,13
629,identifier template_argument_list,"[8873, 8638]",FOUND,2
633,< type_descriptor >,"[4256, 3904, 4867, 4680, 4714, 4304, 6284]",FOUND,5
634,identifier ::,[274],FOUND,3
637,::,"[1938, 7417, 9394, 6532, 10478]",FOUND,1
639,identifier template_argument_list,"[8873, 7816]",FOUND,2
644,< parameter_pack_expansion >,"[2879, 5788, 6532, 4655, 7417, 9394, 10478]",FOUND,35
645,identifier,"[1519, 258]",FOUND,2
654,...,"[3602, 6650, 7215, 6532, 10478, 1938, 7417, 9370, 6448]",FOUND,38
