Location,Ground_Truth,State_List,Coverage_Result,Rank
74,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
83,system_lib_string preproc_include_token2,[8864],FOUND,2
94,preproc_include_token2,[11404],FOUND,1
95,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
104,system_lib_string preproc_include_token2,[8864],FOUND,2
116,preproc_include_token2,[11404],FOUND,1
117,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
126,system_lib_string preproc_include_token2,[8864],FOUND,2
136,preproc_include_token2,[11404],FOUND,1
137,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
146,system_lib_string preproc_include_token2,[8864],FOUND,2
152,preproc_include_token2,[11404],FOUND,1
153,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
162,system_lib_string preproc_include_token2,[8864],FOUND,2
167,preproc_include_token2,[11404],FOUND,1
168,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
177,system_lib_string preproc_include_token2,[8864],FOUND,2
185,preproc_include_token2,[11404],FOUND,1
187,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
195,identifier preproc_include_token2,[11016],FOUND,3
229,preproc_include_token2,[9454],FOUND,3
230,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
239,""" string_content """,[8864],FOUND,1
240,"string_content """,[9382],FOUND,1
257,"""",[9383],FOUND,1
258,preproc_include_token2,"[11434, 11404]",FOUND,1
260,constexpr,"[595, 35, 34, 10785]",FOUND,51
270,primitive_type,"[3482, 4663, 2354, 2645]",FOUND,1
274,identifier,"[4176, 3936, 6284]",FOUND,2
279,{ expression },"[8213, 8018]",FOUND,24
280,number_literal,[4],FOUND,6
282,},"[6317, 6427]",FOUND,9
283,;,"[5708, 10081, 10012]",FOUND,1
286,identifier,"[516, 35, 34, 10785]",FOUND,4
295,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
296,""" string_content ""","[1186, 2218, 6374]",FOUND,3
297,"string_content """,[9416],FOUND,1
311,"""",[9293],FOUND,1
312,),"[5290, 4783, 6317, 6547]",FOUND,1
314,{ preproc_if_repeat1 },"[3823, 3786, 5856, 7176]",NOT_FOUND,0
321,preproc_if_repeat1 },"[0, 43]",FOUND,2
388,preproc_if_repeat1 },"[43, 0]",FOUND,2
447,identifier ::,"[43, 0]",FOUND,3
450,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
452,identifier template_argument_list,"[8873, 7676]",FOUND,2
458,< type_descriptor >,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,10
459,primitive_type,"[1630, 278]",FOUND,2
462,>,"[9473, 4197, 7417, 9302]",FOUND,1
464,identifier,"[1858, 1868, 3646, 4449, 4369, 6309, 10073, 3872, 5268, 6753, 8957]",FOUND,2
466,= initializer_list,"[8213, 7972]",FOUND,6
468,{ expression initializer_list_repeat1 },[1243],FOUND,5
469,number_literal,[1034],FOUND,1
470,", expression","[6317, 6596]",FOUND,1
472,number_literal,[1100],FOUND,1
473,", expression","[6317, 6787, 9927]",FOUND,1
475,number_literal,[1074],FOUND,1
476,", expression","[6317, 6787, 9714, 9927]",FOUND,1
478,number_literal,[1074],FOUND,1
479,", expression","[6317, 6787, 9714, 9927]",FOUND,1
481,number_literal,[1074],FOUND,1
482,", expression","[6317, 6787, 9714, 9927]",FOUND,1
484,number_literal,[1074],FOUND,1
485,", expression","[6317, 6787, 9714, 9927]",FOUND,1
487,number_literal,[1074],FOUND,1
488,", expression","[6317, 6787, 9714, 9927]",FOUND,1
490,number_literal,[1074],FOUND,1
491,", expression","[6317, 6787, 9714, 9927]",FOUND,1
493,number_literal,[1074],FOUND,1
494,", expression","[6317, 6787, 9714, 9927]",FOUND,1
496,number_literal,[1074],FOUND,1
497,},"[6317, 6787, 9714, 9927]",FOUND,2
498,;,"[5663, 10200, 9805]",FOUND,1
504,statement,"[687, 61]",FOUND,8
555,identifier,"[687, 61]",FOUND,1
556,[ expression ],"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,14
557,number_literal,"[1206, 975, 10983]",FOUND,2
558,],"[6965, 6520, 6997]",FOUND,1
560,= expression,"[3768, 3784, 5064, 6753, 8459, 8469, 8957]",FOUND,7
562,identifier,[1222],FOUND,1
563,[ expression ],"[3260, 6387, 5900, 6753, 10073]",FOUND,10
564,number_literal,[1206],FOUND,2
565,],"[6965, 6520]",FOUND,1
567,= expression,"[3768, 3784, 5064, 6387, 5900, 6753]",FOUND,7
569,identifier,[1222],FOUND,1
570,[ expression ],"[3260, 6387, 5900, 6753, 10073]",FOUND,10
571,number_literal,[1206],FOUND,2
572,],"[6965, 6520]",FOUND,1
574,= expression,"[3768, 3784, 5064, 6387, 5900, 6753]",FOUND,7
576,identifier,[1222],FOUND,1
577,[ expression ],"[3260, 6387, 5900, 6753, 10073]",FOUND,10
578,number_literal,[1206],FOUND,2
579,],"[6965, 6520]",FOUND,1
581,= expression,"[3768, 3784, 5064, 6387, 5900, 6753]",FOUND,7
583,identifier,[1222],FOUND,1
584,[ expression ],"[3260, 6387, 5900, 6753, 10073]",FOUND,10
585,number_literal,[1206],FOUND,2
586,],"[6965, 6520]",FOUND,1
588,= expression,"[3768, 3784, 5064, 6387, 5900, 6753]",FOUND,7
590,identifier,[1222],FOUND,1
595,;,"[3260, 6387, 5900, 6753, 10073]",FOUND,1
601,preproc_if_repeat1,"[607, 550, 41, 61]",FOUND,3
669,preproc_if_repeat1,"[607, 550, 41, 61]",FOUND,3
735,preproc_if_repeat1,"[607, 550, 41, 61]",FOUND,3
766,auto,"[607, 550, 41, 61]",FOUND,12
771,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
783,= expression,"[8213, 7972]",FOUND,1
785,identifier ::,[1243],FOUND,3
788,::,"[3260, 6771, 9805, 10073]",FOUND,1
790,identifier,"[8873, 7797]",FOUND,1
796,( expression argument_list_repeat1 ),"[3509, 5064, 6771, 9805, 10073]",FOUND,8
797,identifier ::,[1186],FOUND,5
800,::,"[3260, 6547, 10073]",FOUND,3
802,identifier,"[8873, 7797]",FOUND,1
807,( expression ),"[3509, 5064, 6547, 10073]",FOUND,5
808,identifier,[1186],FOUND,1
809,),"[3260, 6547, 10073]",FOUND,1
810,", expression","[3823, 3786, 5064, 6547]",FOUND,2
812,identifier ::,[1203],FOUND,4
815,::,"[3260, 6721, 10041, 10073]",FOUND,2
817,identifier,"[8873, 7797]",FOUND,1
820,( expression ),"[3509, 5064, 6721, 10041, 10073]",FOUND,6
821,identifier,[1186],FOUND,1
822,),"[3260, 6547, 10073]",FOUND,1
823,", expression","[3823, 3786, 5064, 6721, 10041]",FOUND,2
825,identifier,[1203],FOUND,1
830,),"[3260, 6721, 9704, 10041, 10073]",FOUND,1
831,;,"[3815, 3786, 5064, 6771, 9805]",FOUND,1
837,identifier,"[687, 41, 61]",FOUND,1
844,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
845,identifier ::,"[1186, 2218, 6374]",FOUND,4
848,::,"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,3
850,identifier,"[8873, 7797, 8579, 7869]",FOUND,1
854,( expression ),"[3509, 5064, 6547, 10073, 4732, 4521, 3920, 5283, 9742, 8535, 8469, 8939]",FOUND,4
855,identifier,"[1186, 1015, 2218]",FOUND,1
856,),"[3260, 6547, 10073, 4646, 3920, 5283, 9742, 8939, 4513]",FOUND,1
858,== expression,"[3823, 3786, 5064, 6547, 6311, 5256, 8393, 8389, 8829, 9742, 4494, 8470, 8469, 8939, 8386, 8633]",FOUND,10
861,number_literal,[1838],FOUND,2
863,),"[6317, 6333, 5900, 6547]",FOUND,1
864,;,"[3823, 3786, 5064, 6753]",FOUND,1
870,preproc_if_repeat1,"[607, 550, 41, 61]",FOUND,3
890,identifier,"[607, 550, 41, 61]",FOUND,1
897,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
898,identifier,"[1186, 2218, 6374]",FOUND,1
899,[ expression ],"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,18
900,number_literal,"[1206, 987, 975]",FOUND,2
901,],"[6965, 6520, 6846, 6997]",FOUND,1
903,== expression,"[3768, 3784, 5064, 6547, 8418, 8389, 8829, 9742, 8459, 8469, 8939]",FOUND,10
906,number_literal,[1838],FOUND,2
907,),"[6317, 6333, 5900, 6547]",FOUND,1
908,;,"[3823, 3786, 5064, 6753]",FOUND,1
914,identifier,"[607, 550, 41, 61]",FOUND,1
921,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
922,identifier,"[1186, 2218, 6374]",FOUND,1
923,[ expression ],"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,18
924,number_literal,"[1206, 987, 975]",FOUND,2
925,],"[6965, 6520, 6846, 6997]",FOUND,1
927,== expression,"[3768, 3784, 5064, 6547, 8418, 8389, 8829, 9742, 8459, 8469, 8939]",FOUND,10
930,number_literal,[1838],FOUND,2
931,),"[6317, 6333, 5900, 6547]",FOUND,1
932,;,"[3823, 3786, 5064, 6753]",FOUND,1
938,identifier,"[607, 550, 41, 61]",FOUND,1
945,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
946,identifier,"[1186, 2218, 6374]",FOUND,1
947,[ expression ],"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,18
948,number_literal,"[1206, 987, 975]",FOUND,2
949,],"[6965, 6520, 6846, 6997]",FOUND,1
951,== expression,"[3768, 3784, 5064, 6547, 8418, 8389, 8829, 9742, 8459, 8469, 8939]",FOUND,10
954,number_literal,[1838],FOUND,2
955,),"[6317, 6333, 5900, 6547]",FOUND,1
956,;,"[3823, 3786, 5064, 6753]",FOUND,1
962,identifier,"[607, 550, 41, 61]",FOUND,1
969,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
970,identifier,"[1186, 2218, 6374]",FOUND,1
971,[ expression ],"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,18
972,number_literal,"[1206, 987, 975]",FOUND,2
973,],"[6965, 6520, 6846, 6997]",FOUND,1
975,== expression,"[3768, 3784, 5064, 6547, 8418, 8389, 8829, 9742, 8459, 8469, 8939]",FOUND,10
978,number_literal,[1838],FOUND,2
979,),"[6317, 6333, 5900, 6547]",FOUND,1
980,;,"[3823, 3786, 5064, 6753]",FOUND,1
986,identifier,"[607, 550, 41, 61]",FOUND,1
993,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
994,identifier,"[1186, 2218, 6374]",FOUND,1
995,[ expression ],"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,18
996,number_literal,"[1206, 987, 975]",FOUND,2
997,],"[6965, 6520, 6846, 6997]",FOUND,1
999,== expression,"[3768, 3784, 5064, 6547, 8418, 8389, 8829, 9742, 8459, 8469, 8939]",FOUND,10
1002,number_literal,[1838],FOUND,2
1003,),"[6317, 6333, 5900, 6547]",FOUND,1
1004,;,"[3823, 3786, 5064, 6753]",FOUND,1
1010,statement,"[607, 550, 41, 61]",FOUND,4
1048,statement,"[607, 550, 41, 61]",FOUND,4
1118,identifier,"[607, 550, 41, 61]",FOUND,1
1119,. identifier,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,5
1120,identifier,[8043],FOUND,1
1125,( expression argument_list_repeat1 ),"[3618, 5064, 6753]",FOUND,3
1126,identifier,[1186],FOUND,1
1137,", expression","[3260, 6547, 10073]",FOUND,2
1139,identifier ::,[1203],FOUND,4
1142,::,"[3260, 6721, 10041, 10073]",FOUND,2
1144,identifier,"[8873, 7797]",FOUND,1
1147,( expression ),"[3509, 5064, 6721, 10041, 10073]",FOUND,6
1148,identifier,[1186],FOUND,1
1149,),"[3260, 6547, 10073]",FOUND,1
1150,),"[3823, 3786, 5064, 6721, 10041]",FOUND,1
1151,;,"[3815, 3786, 5064, 6753]",FOUND,1
1157,identifier,"[607, 550, 41, 61]",FOUND,1
1164,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
1165,identifier ::,"[1186, 2218, 6374]",FOUND,4
1168,::,"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,3
1170,identifier,"[8873, 7797, 8579, 7869]",FOUND,1
1174,( expression ),"[3509, 5064, 6547, 10073, 4732, 4521, 3920, 5283, 9742, 8535, 8469, 8939]",FOUND,4
1175,identifier,"[1186, 1015, 2218]",FOUND,1
1176,),"[3260, 6547, 10073, 4646, 3920, 5283, 9742, 8939, 4513]",FOUND,1
1178,== expression,"[3823, 3786, 5064, 6547, 6311, 5256, 8393, 8389, 8829, 9742, 4494, 8470, 8469, 8939, 8386, 8633]",FOUND,10
1181,number_literal,[1838],FOUND,2
1182,),"[6317, 6333, 5900, 6547]",FOUND,1
1183,;,"[3823, 3786, 5064, 6753]",FOUND,1
1185,},"[607, 550, 41, 61]",FOUND,2
1194,},"[607, 550, 41, 61]",FOUND,2
1197,identifier,"[253, 35, 34, 10785]",FOUND,4
1206,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
1207,""" string_content ""","[1186, 2218, 6374]",FOUND,3
1208,"string_content """,[9416],FOUND,1
1232,"""",[9293],FOUND,1
1233,),"[5290, 4783, 6317, 6547]",FOUND,1
1235,{ preproc_if_repeat1 },"[3823, 3786, 5856, 7176]",NOT_FOUND,0
1242,preproc_if_repeat1 },"[0, 43]",FOUND,2
1299,identifier ::,"[43, 0]",FOUND,3
1302,::,"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,6
1304,identifier template_argument_list,"[8873, 7676]",FOUND,2
1310,< type_descriptor >,"[1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,10
1311,primitive_type,"[1630, 278]",FOUND,2
1314,>,"[9473, 4197, 7417, 9302]",FOUND,1
1316,identifier,"[1858, 1868, 3646, 4449, 4369, 6309, 10073, 3872, 5268, 6753, 8957]",FOUND,2
1318,= initializer_list,"[8213, 7972]",FOUND,6
1320,{ expression initializer_list_repeat1 },[1243],FOUND,5
1321,number_literal,[1034],FOUND,1
1322,", expression","[6317, 6596]",FOUND,1
1324,number_literal,[1100],FOUND,1
1325,", expression","[6317, 6787, 9927]",FOUND,1
1327,number_literal,[1074],FOUND,1
1328,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1330,number_literal,[1074],FOUND,1
1331,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1333,number_literal,[1074],FOUND,1
1334,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1336,number_literal,[1074],FOUND,1
1337,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1339,number_literal,[1074],FOUND,1
1340,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1342,number_literal,[1074],FOUND,1
1343,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1345,number_literal,[1074],FOUND,1
1346,", expression","[6317, 6787, 9714, 9927]",FOUND,1
1348,number_literal,[1074],FOUND,1
1349,},"[6317, 6787, 9714, 9927]",FOUND,2
