Location,Ground_Truth,State_List,Coverage_Result,Rank
72,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
81,system_lib_string preproc_include_token2,[8864],FOUND,2
93,preproc_include_token2,[11404],FOUND,1
94,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
103,system_lib_string preproc_include_token2,[8864],FOUND,2
113,preproc_include_token2,[11404],FOUND,1
114,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
123,system_lib_string preproc_include_token2,[8864],FOUND,2
130,preproc_include_token2,[11404],FOUND,1
131,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
140,system_lib_string preproc_include_token2,[8864],FOUND,2
149,preproc_include_token2,[11404],FOUND,1
150,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
159,system_lib_string preproc_include_token2,[8864],FOUND,2
167,preproc_include_token2,[11404],FOUND,1
169,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
177,identifier preproc_include_token2,[11016],FOUND,3
211,preproc_include_token2,[9454],FOUND,3
212,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
221,""" string_content """,[8864],FOUND,1
222,"string_content """,[9382],FOUND,1
239,"""",[9383],FOUND,1
240,preproc_include_token2,"[11434, 11404]",FOUND,1
242,identifier,"[595, 35, 34, 10785]",FOUND,4
251,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
252,""" string_content ""","[1186, 2218, 6374]",FOUND,3
253,"string_content """,[9416],FOUND,1
278,"""",[9293],FOUND,1
279,),"[5290, 4783, 6317, 6547]",FOUND,1
281,{ preproc_if_repeat1 },"[3823, 3786, 5856, 7176]",NOT_FOUND,0
287,preproc_if_repeat1 },"[0, 43]",FOUND,2
324,using identifier = type_descriptor ;,"[43, 0]",FOUND,8
330,identifier = type_descriptor ;,[8426],FOUND,1
340,= type_descriptor ;,[8917],FOUND,1
342,identifier ::,[4805],FOUND,1
345,::,"[6328, 7094, 11353]",FOUND,1
347,identifier template_argument_list,"[8873, 8605]",FOUND,2
351,< type_descriptor template_argument_list_repeat1 >,"[7352, 3623, 7094, 11353]",FOUND,3
352,primitive_type,[272],FOUND,1
355,", type_descriptor","[4197, 7417, 9356]",FOUND,3
357,primitive_type,[287],FOUND,3
360,>,"[4197, 7417, 9768, 9965]",FOUND,1
361,;,"[2689, 2824, 2670, 3623, 7094, 11353]",FOUND,1
367,declaration,"[849, 61]",FOUND,15
422,auto,"[849, 61]",FOUND,9
427,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
442,= expression,"[8213, 7972]",FOUND,1
444,[ ],[1243],FOUND,14
445,],[7849],FOUND,1
446,( parameter_declaration parameter_list_repeat1 ),"[8790, 7935]",FOUND,2
447,const,[2218],FOUND,5
453,identifier,"[3482, 2722]",FOUND,1
462,& _declarator,"[4513, 3936, 5283, 9742]",FOUND,1
