Location,Ground_Truth,State_List,Coverage_Result,Rank
70,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
79,system_lib_string preproc_include_token2,[8864],FOUND,2
88,preproc_include_token2,[11404],FOUND,1
89,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
98,system_lib_string preproc_include_token2,[8864],FOUND,2
107,preproc_include_token2,[11404],FOUND,1
108,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
117,system_lib_string preproc_include_token2,[8864],FOUND,2
128,preproc_include_token2,[11404],FOUND,1
129,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
138,system_lib_string preproc_include_token2,[8864],FOUND,2
146,preproc_include_token2,[11404],FOUND,1
148,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
156,identifier preproc_include_token2,[11016],FOUND,3
190,preproc_include_token2,[9454],FOUND,3
191,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
200,""" string_content """,[8864],FOUND,1
201,"string_content """,[9382],FOUND,1
218,"""",[9383],FOUND,1
219,preproc_include_token2,"[11434, 11404]",FOUND,1
221,template template_parameter_list _empty_declaration,"[595, 35, 34, 10785]",FOUND,25
230,< type_parameter_declaration >,[1863],FOUND,1
231,typename identifier,[2179],FOUND,1
240,identifier,"[6576, 9658]",FOUND,1
241,>,"[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,2
243,class _class_declaration,"[3252, 994]",FOUND,4
249,identifier,[7119],FOUND,1
265,: access_specifier qualified_identifier,"[4426, 3904, 4867, 4859, 4714, 4304, 6284]",FOUND,9
267,public,[7907],FOUND,1
274,identifier ::,"[9047, 8403]",FOUND,2
277,::,"[8236, 9346, 10317]",FOUND,2
279,identifier template_argument_list,"[8873, 8576]",FOUND,3
285,< type_descriptor >,"[8143, 9346, 10317]",FOUND,4
286,identifier,[274],FOUND,2
287,>,"[1938, 7417, 9394, 6532, 10478]",FOUND,2
289,{ preproc_if_in_field_declaration_list_repeat1 },"[1909, 3601, 3646, 9346, 10317, 1897]",FOUND,2
291,public,[642],FOUND,1
297,:,"[10982, 11109]",FOUND,1
303,using qualified_identifier ;,"[3278, 637]",FOUND,21
309,identifier ::,[8411],FOUND,2
312,::,[8940],FOUND,2
314,identifier template_argument_list,"[8873, 7879]",FOUND,3
320,< type_descriptor >,"[9360, 10700]",FOUND,3
321,identifier,[274],FOUND,2
322,>,"[1938, 7417, 9394, 6532, 10478]",FOUND,2
323,::,"[1909, 2655, 3872, 10700, 10976, 1897]",FOUND,1
325,identifier,"[8856, 7879]",FOUND,1
331,;,"[9360, 3878, 10700]",FOUND,2
337,function_definition,"[3214, 583, 637]",FOUND,8
386,function_definition,"[3214, 583, 637]",FOUND,8
458,identifier,"[3214, 583, 637]",FOUND,3
459,& _field_declarator,"[5879, 3920, 7964, 8957]",FOUND,8
461,operator [],[8345],FOUND,3
469,[],[4753],FOUND,9
471,( parameter_declaration ),"[8277, 8661, 8532, 8721, 7880]",FOUND,4
472,identifier ::,[2218],FOUND,3
475,::,"[4513, 3920, 5283, 9742]",FOUND,6
477,identifier,"[8873, 8579]",FOUND,1
484,identifier,"[4732, 4521, 3920, 5283, 9742]",FOUND,4
485,),"[8213, 8633, 9742]",FOUND,1
491,{ statement },"[6311, 4234, 8715, 8721, 8532, 7880]",FOUND,2
501,return expression ;,[8],FOUND,1
508,identifier ::,[1185],FOUND,4
511,::,"[3260, 6692, 10073]",FOUND,1
513,identifier template_argument_list,"[8873, 7797]",FOUND,3
519,< type_descriptor >,"[3509, 5064, 6692, 10073]",FOUND,4
520,identifier,"[1630, 265]",FOUND,1
521,>,"[3260, 6338, 5900, 6692, 10073, 1938, 7417, 9417, 6473, 10478]",FOUND,4
522,::,"[1630, 1980, 3611, 3742, 5064, 6692, 3646, 10073, 1981]",FOUND,10
524,identifier,"[8856, 7797, 8752]",FOUND,1
526,( expression ),"[3509, 3782, 5064, 6692, 6338, 5900, 3650, 10073]",FOUND,9
527,identifier,"[3782, 5064, 6692, 1186]",FOUND,1
528,),"[3782, 5064, 6692, 3260, 6547, 10073]",FOUND,1
529,;,"[3782, 5064, 6692, 3823, 3786, 6338, 5900]",FOUND,1
535,},"[3782, 5064, 6692, 5900, 678, 550, 65]",FOUND,3
542,const,"[3782, 5064, 6692, 5900, 3134, 3288, 583, 637]",FOUND,25
548,identifier,"[3782, 5064, 6692, 5900, 3482, 4663, 2332, 2744]",FOUND,10
549,& _field_declarator,"[3782, 5064, 6692, 5900, 4109, 3936, 7964, 8510, 8957]",FOUND,14
551,operator [],"[3782, 5064, 6692, 5900, 8345]",FOUND,38
559,[],"[3782, 5064, 6692, 5900, 4753]",FOUND,41
561,( parameter_declaration ),"[3782, 5064, 6692, 5900, 8277, 8661, 8532, 8721, 7880]",FOUND,9
562,identifier ::,"[3782, 5064, 6692, 5900, 2218]",FOUND,7
565,::,"[3782, 5064, 6692, 5900, 4513, 3920, 5283, 9742]",FOUND,8
567,identifier,"[3782, 5064, 6692, 5900, 8873, 8579]",FOUND,3
574,identifier,"[3782, 5064, 6692, 5900, 4732, 4521, 3920, 5283, 9742]",FOUND,6
575,),"[3782, 5064, 6692, 5900, 8213, 8633, 9742]",FOUND,3
577,const,"[3782, 5064, 6692, 5900, 6311, 4234, 8715, 8721, 8532, 7880]",FOUND,10
587,{ statement },"[3782, 5064, 6692, 5900, 4238, 6264, 6569, 8715, 8721, 8532, 7880]",FOUND,7
597,return expression ;,"[3782, 5064, 6692, 5900, 8]",FOUND,8
604,identifier ::,"[3782, 5064, 6692, 5900, 1185]",FOUND,6
607,::,"[3782, 5064, 6692, 5900, 3260, 10073]",FOUND,1
609,identifier template_argument_list,"[3782, 5064, 6692, 5900, 8873, 7797]",FOUND,5
615,< type_descriptor >,"[3782, 5064, 6692, 5900, 3509, 10073]",FOUND,4
616,identifier,"[3782, 5064, 6692, 5900, 1630, 265]",FOUND,3
617,>,"[3782, 5064, 6692, 5900, 3260, 6338, 10073, 1938, 7417, 9417, 6473, 10478]",FOUND,5
618,::,"[3782, 5064, 6692, 5900, 1630, 1980, 3611, 3742, 3646, 10073, 1981]",FOUND,10
620,identifier,"[3782, 5064, 6692, 5900, 8856, 7797, 8752]",FOUND,1
622,( expression ),"[3782, 5064, 6692, 5900, 3509, 6338, 3650, 10073]",FOUND,9
623,identifier,"[3782, 5064, 6692, 5900, 1186]",FOUND,1
624,),"[3782, 5064, 6692, 5900, 3260, 6547, 10073]",FOUND,1
625,;,"[3782, 5064, 6692, 5900, 3823, 3786, 6338]",FOUND,1
631,},"[3782, 5064, 6692, 5900, 678, 550, 65]",FOUND,3
633,},"[3782, 5064, 6692, 5900, 3134, 3288, 583, 637]",FOUND,6
634,;,"[3782, 5064, 6692, 5900, 4770, 4613, 4867, 4859, 4714, 4304, 6284]",FOUND,1
637,identifier,"[3782, 5064, 6692, 5900, 747, 704, 35, 34, 10785]",FOUND,6
646,( expression ),"[3782, 5064, 6692, 5900, 1082, 4304, 6284, 7176, 8957, 10073]",FOUND,7
647,""" string_content ""","[3782, 5064, 6692, 5900, 1186, 2218, 6374]",FOUND,3
648,"string_content ""","[3782, 5064, 6692, 5900, 9416]",FOUND,1
663,"""","[3782, 5064, 6692, 5900, 9293]",FOUND,1
664,),"[3782, 5064, 6692, 5900, 5290, 4783, 6317, 6547]",FOUND,1
666,{ preproc_if_repeat1 },"[3782, 5064, 6692, 5900, 3823, 3786, 5856, 7176]",NOT_FOUND,0
672,primitive_type,"[3782, 5064, 6692, 5900, 0, 43]",FOUND,29
676,identifier,"[3782, 5064, 6692, 5900, 3999, 4369, 6309, 4304, 6284]",FOUND,1
678,= expression,"[3782, 5064, 6692, 5900, 8213, 7972, 8018]",FOUND,1
680,number_literal,"[3782, 5064, 6692, 5900, 1243]",FOUND,4
682,;,"[3782, 5064, 6692, 5900, 6317, 6771, 9805, 10012]",FOUND,1
688,identifier template_argument_list,"[3782, 5064, 6692, 5900, 687, 61, 516, 35, 34, 10785]",FOUND,51
703,< type_descriptor >,"[3782, 5064, 6692, 5900, 1047, 4369, 6309, 6753, 8957, 10073]",FOUND,18
704,primitive_type,"[3782, 5064, 6692, 5900, 274, 1630]",FOUND,3
707,>,"[3782, 5064, 6692, 5900, 4197, 7417, 9394, 9473]",FOUND,3
709,identifier,"[3782, 5064, 6692, 5900, 1897, 2061, 4477, 4369, 6309, 10073, 6713, 6753, 8957]",FOUND,2
710,( parameter_declaration ),"[3782, 5064, 6692, 5900, 8213, 7972]",FOUND,5
711,identifier,"[3782, 5064, 6692, 5900, 137]",FOUND,3
712,),"[3782, 5064, 6692, 5900, 1202, 3920, 5283, 9742, 6567, 10073]",FOUND,2
713,;,"[3782, 5064, 6692, 5900, 7900, 10081, 9805, 6311, 4505, 8470, 8469, 7972]",FOUND,1
719,identifier ::,"[3782, 5064, 6692, 5900, 685, 41, 61, 687]",FOUND,8
722,::,"[3782, 5064, 6692, 5900, 1047, 4369, 6309, 6753, 8957, 10073]",FOUND,7
724,identifier,"[3782, 5064, 6692, 5900, 8873, 7676]",FOUND,2
728,( expression argument_list_repeat1 ),"[3782, 5064, 6692, 5900, 1865, 4449, 4369, 6309, 10073, 5268, 6753, 8957]",FOUND,4
729,identifier ::,"[3782, 5064, 6692, 5900, 6374, 1186, 2218]",FOUND,5
732,::,"[3782, 5064, 6692, 5900, 8510, 8939, 3260, 6547, 10073, 4513, 3920, 5283, 9742]",FOUND,3
734,identifier,"[3782, 5064, 6692, 5900, 8873, 7869, 7797, 8579]",FOUND,1
739,( expression ),"[3782, 5064, 6692, 5900, 8535, 8469, 8939, 3509, 6547, 10073, 4732, 4521, 3920, 5283, 9742]",FOUND,5
740,identifier,"[3782, 5064, 6692, 5900, 2218, 1186, 1015]",FOUND,1
741,),"[3782, 5064, 6692, 5900, 4513, 3920, 5283, 9742, 3260, 6547, 10073, 4646, 8939]",FOUND,1
742,", expression","[3782, 5064, 6692, 5900, 6311, 4494, 8470, 8469, 8939, 5256, 8393, 8389, 8829, 9742, 3823, 3786, 6547, 8386, 8633]",FOUND,2
744,identifier ::,"[3782, 5064, 6692, 5900, 1203, 2241]",FOUND,5
747,::,"[3782, 5064, 6692, 5900, 3260, 6721, 10041, 10073, 4513, 3920, 5283, 10445, 9942]",FOUND,2
749,identifier,"[3782, 5064, 6692, 5900, 8873, 7797, 8579]",FOUND,1
752,( expression ),"[3782, 5064, 6692, 5900, 3509, 6721, 10041, 10073, 4732, 4521, 3920, 5283, 10445, 9942]",FOUND,9
753,identifier,"[3782, 5064, 6692, 5900, 1186, 1015]",FOUND,1
