Location,Ground_Truth,State_List,Coverage_Result,Rank
60,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
69,system_lib_string preproc_include_token2,[8864],FOUND,2
80,preproc_include_token2,[11404],FOUND,1
81,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
90,system_lib_string preproc_include_token2,[8864],FOUND,2
100,preproc_include_token2,[11404],FOUND,1
101,#include system_lib_string preproc_include_token2,"[595, 35, 34, 10785]",FOUND,2
110,system_lib_string preproc_include_token2,[8864],FOUND,2
118,preproc_include_token2,[11404],FOUND,1
120,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
128,identifier preproc_include_token2,[11016],FOUND,3
162,preproc_include_token2,[9454],FOUND,3
163,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
172,""" string_content """,[8864],FOUND,1
173,"string_content """,[9382],FOUND,1
190,"""",[9383],FOUND,1
191,preproc_include_token2,"[11434, 11404]",FOUND,1
260,template template_parameter_list function_definition,"[595, 35, 34, 10785]",FOUND,24
269,< type_parameter_declaration template_parameter_list_repeat1 >,[1863],FOUND,3
270,typename identifier,[2179],FOUND,1
279,identifier,"[6576, 9658]",FOUND,1
286,", type_parameter_declaration","[4637, 4739, 4714, 3920, 5212, 9658]",FOUND,4
288,typename identifier,[2194],FOUND,1
297,identifier,"[6576, 10321, 9748]",FOUND,1
302,>,"[4637, 4739, 4714, 3920, 5212, 10321, 9748]",FOUND,2
304,identifier,"[3203, 994]",FOUND,6
312,identifier,"[4219, 4304, 6284, 8957]",FOUND,2
327,( parameter_declaration parameter_list_repeat1 ),"[8213, 8018]",FOUND,3
328,identifier,[137],FOUND,1
336,identifier,"[1202, 3920, 5283, 9742, 6567, 10073]",FOUND,4
341,", parameter_declaration","[8213, 8633, 9742]",FOUND,3
343,identifier,[2241],FOUND,1
351,identifier,"[4513, 3920, 5283, 10445, 9942]",FOUND,3
355,", parameter_declaration","[8213, 8633, 10445, 9942]",FOUND,3
357,const,[2241],FOUND,4
363,identifier,"[3482, 2722]",FOUND,1
368,& _declarator,"[4513, 3936, 5283, 10445, 9837, 9942]",FOUND,1
370,identifier,"[5743, 8961, 8829, 10445, 9837, 9942]",FOUND,1
371,),"[8213, 8689, 8469, 8633, 10445, 9837, 9942]",FOUND,1
373,{ preproc_if_repeat1 },"[6315, 4505, 8470, 8469, 8018]",FOUND,1
379,auto,[4],FOUND,8
384,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
387,= expression,"[8213, 7972]",FOUND,1
389,identifier ::,[1243],FOUND,3
392,::,"[3260, 6771, 9805, 10073]",FOUND,1
394,identifier,"[8873, 7797]",FOUND,1
405,( expression argument_list_repeat1 ),"[3509, 5064, 6771, 9805, 10073]",FOUND,8
406,identifier,[1186],FOUND,1
411,", expression","[3260, 6547, 10073]",FOUND,2
413,identifier,[1203],FOUND,1
417,", expression","[3260, 6721, 10041, 10073]",FOUND,3
419,identifier,[1203],FOUND,1
420,),"[3260, 6721, 9704, 10041, 10073]",FOUND,1
421,;,"[3815, 3786, 5064, 6771, 9805]",FOUND,1
