Location,Ground_Truth,State_List,Coverage_Result,Rank
37,#include system_lib_string preproc_include_token2,"[1, 10785]",FOUND,2
46,system_lib_string preproc_include_token2,[8864],FOUND,2
56,preproc_include_token2,[11404],FOUND,1
57,#include system_lib_string preproc_include_token2,"[595, 34, 10785]",FOUND,2
66,system_lib_string preproc_include_token2,[8864],FOUND,2
74,preproc_include_token2,[11404],FOUND,1
76,#define identifier preproc_include_token2,"[595, 35, 34, 10785]",FOUND,40
84,identifier preproc_include_token2,[11016],FOUND,3
118,preproc_include_token2,[9454],FOUND,3
119,#include string_literal preproc_include_token2,"[629, 35, 34, 10785]",FOUND,1
128,""" string_content """,[8864],FOUND,1
129,"string_content """,[9382],FOUND,1
146,"""",[9383],FOUND,1
147,preproc_include_token2,"[11434, 11404]",FOUND,1
149,using namespace qualified_identifier ;,"[595, 35, 34, 10785]",FOUND,37
155,namespace qualified_identifier ;,[8420],FOUND,4
165,identifier ::,[8600],FOUND,2
168,::,[9376],FOUND,2
170,identifier,"[8873, 7879]",FOUND,1
185,;,"[9360, 10822]",FOUND,2
201,identifier,"[578, 35, 34, 10785]",FOUND,4
210,( expression ),"[1082, 4304, 6284, 7176, 8957, 10073]",FOUND,15
211,""" string_content ""","[1186, 2218, 6374]",FOUND,3
212,"string_content """,[9416],FOUND,1
227,"""",[9293],FOUND,1
228,),"[5290, 4783, 6317, 6547]",FOUND,1
230,{ preproc_if_repeat1 },"[3823, 3786, 5856, 7176]",NOT_FOUND,0
236,auto,"[0, 43]",FOUND,6
241,identifier,"[4706, 4714, 4369, 6309, 4304, 6284]",FOUND,1
250,= expression,"[8213, 7972, 8018]",FOUND,1
252,[ ],[1243],FOUND,14
253,],[7849],FOUND,1
254,( parameter_declaration ),"[8790, 7935]",FOUND,1
255,primitive_type,[2218],FOUND,4
260,identifier,"[4176, 3920, 5283, 9742]",FOUND,4
261,),"[8213, 8633, 9742]",FOUND,1
263,-> type_descriptor,"[6311, 8127, 10423]",FOUND,3
266,identifier ::,[4661],FOUND,2
269,::,"[6328, 7480, 8181, 9815, 10423]",FOUND,1
271,identifier template_argument_list,"[8873, 8605]",FOUND,2
279,< type_descriptor >,"[7352, 3623, 7480, 8181, 9815, 10423]",FOUND,4
280,identifier ::,[272],FOUND,3
283,::,"[1938, 7417, 9356, 6561, 10478]",FOUND,1
285,identifier,"[8873, 7816]",FOUND,1
291,>,"[2879, 5788, 6561, 4655, 7417, 9356, 10478]",FOUND,1
293,{ statement },"[2661, 2824, 2670, 3623, 7480, 8181, 9815, 10423, 2660]",FOUND,1
303,return expression ;,[36],FOUND,1
310,identifier,[1185],FOUND,1
324,? expression : expression,"[3260, 6692, 10073]",FOUND,15
326,identifier ::,[1233],FOUND,3
329,::,"[3599, 6648, 10073]",FOUND,1
331,identifier template_argument_list,"[8873, 7797]",FOUND,3
339,< type_descriptor >,"[3509, 5799, 6648, 10073]",FOUND,2
340,identifier ::,"[1803, 265]",FOUND,2
343,::,"[3599, 6742, 5900, 6648, 10073, 1938, 7417, 9417, 6473, 10478]",FOUND,1
345,identifier,"[8873, 7797, 7816]",FOUND,1
351,>,"[3509, 5799, 6742, 5900, 6648, 10073, 2879, 5788, 6473, 4655, 7417, 9417, 10478]",FOUND,2
352,{ expression },"[1803, 1981, 3611, 3742, 5799, 6648, 3646, 10073, 1980]",FOUND,4
353,""" string_content """,[1034],FOUND,2
354,"string_content """,[9416],FOUND,1
358,"""",[9293],FOUND,1
359,literal_suffix,"[5290, 4783, 6317, 6596]",FOUND,2
360,},"[3781, 5064, 6596]",FOUND,3
374,: expression,"[5708, 5860, 5900, 6648]",FOUND,1
376,identifier ::,[1612],FOUND,3
379,::,"[3260, 6345, 5900, 6692, 10073]",FOUND,1
381,identifier,"[8873, 7797]",FOUND,1
388,;,"[3509, 5064, 6345, 5900, 6692, 10073]",FOUND,1
394,},"[678, 550, 45]",FOUND,1
413,},"[678, 550, 45]",FOUND,1
414,;,"[5076, 4940, 5900, 6771, 9805]",FOUND,1
421,auto,"[687, 61]",FOUND,9
426,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
431,= expression,"[8213, 7972]",FOUND,1
433,identifier,[1243],FOUND,1
441,( expression ),"[3260, 6771, 9805, 10073]",FOUND,3
442,true,[1186],FOUND,17
446,),"[5900, 6547]",FOUND,1
447,;,"[3823, 3786, 5064, 6771, 9805]",FOUND,1
453,identifier,"[687, 41, 61]",FOUND,1
460,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
461,primitive_type argument_list,"[1186, 2218, 6374]",FOUND,38
465,( expression ),"[9473, 4176, 3920, 5283, 9742, 8510, 8939]",FOUND,9
466,identifier,"[1186, 1015, 2218]",FOUND,1
470,),"[3260, 6547, 10073, 4646, 3920, 5283, 9742, 8939, 4513]",FOUND,1
472,== expression,"[3823, 3783, 5064, 6547, 6311, 5256, 8393, 8389, 8829, 9742, 4494, 8470, 8469, 8939, 8386, 8633]",FOUND,10
475,true,[1838],FOUND,12
479,),"[5900, 6333, 6547]",FOUND,1
480,;,"[3823, 3786, 5064, 6753]",FOUND,1
486,identifier,"[607, 550, 41, 61]",FOUND,1
493,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
494,* expression,"[1186, 2218, 6374]",FOUND,8
495,identifier,"[1826, 4123]",FOUND,1
500,== expression,"[2420, 3665, 5064, 6547, 10270, 8510, 8702, 8469, 8939]",FOUND,9
503,""" string_content """,[1838],FOUND,4
504,"string_content """,[9416],FOUND,1
508,"""",[9293],FOUND,1
509,literal_suffix,"[5290, 4783, 6317, 6333, 5900, 6547]",FOUND,10
510,),"[3781, 5064, 6333, 5900, 6547]",FOUND,1
511,;,"[3823, 3786, 5064, 6753]",FOUND,1
517,identifier,"[607, 550, 41, 61]",FOUND,1
524,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
525,identifier,"[1186, 2218, 6374]",FOUND,1
529,. identifier,"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,4
530,identifier,[8043],FOUND,1
538,( expression ),"[3618, 5064, 6547]",FOUND,5
539,""" string_content """,[1186],FOUND,3
540,"string_content """,[9416],FOUND,1
545,"""",[9293],FOUND,1
546,literal_suffix,"[5290, 4783, 6317, 6547]",FOUND,10
547,),"[3781, 5064, 6547]",FOUND,1
549,== expression,"[3823, 3786, 5064, 6547]",FOUND,9
552,""" string_content """,[1838],FOUND,4
553,"string_content """,[9416],FOUND,1
557,"""",[9293],FOUND,1
558,literal_suffix,"[5290, 4783, 6317, 6333, 5900, 6547]",FOUND,10
559,),"[3781, 5064, 6333, 5900, 6547]",FOUND,1
560,;,"[3823, 3786, 5064, 6753]",FOUND,1
567,auto,"[607, 550, 41, 61]",FOUND,12
572,identifier,"[4706, 4714, 4369, 6309]",FOUND,1
577,= expression,"[8213, 7972]",FOUND,1
579,identifier,[1243],FOUND,1
587,( expression ),"[3260, 6771, 9805, 10073]",FOUND,3
588,false,[1186],FOUND,18
593,),"[5900, 6547]",FOUND,1
594,;,"[3823, 3786, 5064, 6771, 9805]",FOUND,1
600,identifier,"[687, 41, 61]",FOUND,1
607,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
608,primitive_type argument_list,"[1186, 2218, 6374]",FOUND,38
612,( expression ),"[9473, 4176, 3920, 5283, 9742, 8510, 8939]",FOUND,9
613,identifier,"[1186, 1015, 2218]",FOUND,1
617,),"[3260, 6547, 10073, 4646, 3920, 5283, 9742, 8939, 4513]",FOUND,1
619,== expression,"[3823, 3783, 5064, 6547, 6311, 5256, 8393, 8389, 8829, 9742, 4494, 8470, 8469, 8939, 8386, 8633]",FOUND,10
622,false,[1838],FOUND,9
627,),"[5900, 6333, 6547]",FOUND,1
628,;,"[3823, 3786, 5064, 6753]",FOUND,1
634,identifier,"[607, 550, 41, 61]",FOUND,1
641,( expression ),"[1047, 4369, 6309, 6753, 8957, 10073]",FOUND,3
642,identifier,"[1186, 2218, 6374]",FOUND,1
646,. identifier,"[3260, 6547, 10073, 4513, 3920, 5283, 9742, 8510, 8939]",FOUND,4
647,identifier,[8043],FOUND,1
655,( expression ),"[3618, 5064, 6547]",FOUND,5
656,""" string_content """,[1186],FOUND,3
657,"string_content """,[9416],FOUND,1
662,"""",[9293],FOUND,1
663,literal_suffix,"[5290, 4783, 6317, 6547]",FOUND,10
664,),"[3781, 5064, 6547]",FOUND,1
666,== expression,"[3823, 3786, 5064, 6547]",FOUND,9
669,""" string_content """,[1838],FOUND,4
670,"string_content """,[9416],FOUND,1
675,"""",[9293],FOUND,1
676,literal_suffix,"[5290, 4783, 6317, 6333, 5900, 6547]",FOUND,10
677,),"[3781, 5064, 6333, 5900, 6547]",FOUND,1
678,;,"[3823, 3786, 5064, 6753]",FOUND,1
680,},"[607, 550, 41, 61]",FOUND,2
