Location,Ground_Truth,State_List,Coverage_Result,Rank
23,import module import_list,"[1, 12559, 2, 12278, 12807]",FOUND,5
30,name,[9625],FOUND,3
42,( _cmd_texp_start,"[8847, 8978, 10664]",FOUND,2
44,variable,"[8876, 7881]",FOUND,1
58,) _cmd_texp_end,"[9761, 10702]",FOUND,1
60,imports_repeat1 _cond_layout_semicolon,"[12186, 11399, 11807, 10664, 4243, 13]",FOUND,1
67,name,[9625],FOUND,3
83,( _cmd_texp_start,"[8847, 8978, 12000, 10116]",FOUND,3
84,variable,"[8876, 7881, 12402]",FOUND,2
99,) _cmd_texp_end,"[9761, 10702]",FOUND,1
102,_cond_layout_semicolon import,"[12186, 11399, 11807, 12000, 10116, 4259, 13]",FOUND,1
109,name,[9625],FOUND,3
120,( _cmd_texp_start,"[8847, 8978, 12000, 10115, 10116]",FOUND,4
122,variable,"[8876, 7881]",FOUND,1
137,", import_name","[9761, 10702]",FOUND,2
139,variable,[7953],FOUND,1
154,", import_name","[9761, 12166, 10871]",FOUND,1
156,variable,[7901],FOUND,1
171,) _cmd_texp_end,"[9761, 12166, 10969, 10871]",FOUND,2
174,declarations _cond_layout_end,"[12186, 11914, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,8
179,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
182,name,"[1462, 1484]",FOUND,1
185,( _cmd_texp_start,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 6115, 874, 8377, 9873, 8950]",FOUND,4
186,) _cmd_texp_end,"[6645, 431, 429, 12613]",FOUND,3
188,_cond_layout_semicolon declaration,"[12, 11039, 6960, 6869, 6993, 920, 6855, 874, 8377, 9873, 8950, 6348, 6215, 6405, 784, 6412, 764, 8341, 10286, 10711, 9685]",FOUND,8
193,= _exp,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,4
195,variable,[1247],FOUND,1
209,_integer_literal,"[4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,13
211,_integer_literal,"[3973, 4224, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,13
215,variable,"[3973, 4224, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,2
231,variable,"[4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,2
246,expression,"[4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,10
254,( _cmd_texp_start,"[4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,3
255,variable,"[6652, 376, 12695]",FOUND,2
270,variable,"[4901, 321, 10945]",FOUND,2
285,_integer_literal,"[4901, 252, 5011, 321, 10945]",FOUND,11
287,) _cmd_texp_end,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,1
