Location,Ground_Truth,State_List,Coverage_Result,Rank
1,_cmd_layout_start declarations _cond_layout_end,"[1, 12559, 2, 12278, 12807]",FOUND,5
12,:: quantified_type,"[2263, 350, 10711, 9685, 11086, 915, 8950, 2167]",FOUND,2
15,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
16,name,"[7875, 1104, 965, 12455]",FOUND,2
22,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694]",FOUND,1
24,_cond_layout_semicolon declaration,"[12, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 9685]",FOUND,7
35,= _exp,"[2263, 350, 10711, 10124, 9583, 11086, 915, 8950, 2167]",FOUND,4
37,[ _cmd_texp_start,[1247],FOUND,8
38,string,"[7878, 1108, 12332]",FOUND,6
48,", _exp","[4134, 4658, 187, 9039]",FOUND,2
49,string,[1113],FOUND,3
57,", _exp","[4134, 4658, 187, 10706, 10838]",FOUND,1
58,string,[1119],FOUND,2
67,] _cmd_texp_end,"[2739, 3017, 61, 11960, 11192, 10838]",FOUND,7
70,_cond_layout_semicolon declaration,"[4234, 4749, 4506, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11086, 14]",FOUND,2
75,name,[7743],FOUND,1
77,= _ktype,"[9033, 9054, 8335]",FOUND,1
79,name,[1229],FOUND,1
87,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
98,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
101,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
102,name,"[7875, 1104, 965, 12455]",FOUND,2
103,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694]",FOUND,1
105,_cond_layout_semicolon declaration,"[14, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
116,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
118,[ _cmd_texp_start,[1247],FOUND,8
119,_integer_literal,"[7878, 1108, 12332]",FOUND,8
120,", _exp","[4198, 4134, 4658, 187, 9039]",FOUND,2
121,- expression,[1113],FOUND,9
122,float,[1479],FOUND,3
125,", _exp","[4134, 4658, 230, 4716, 187, 10706, 10838]",FOUND,1
126,- expression,[1119],FOUND,12
127,float,[1441],FOUND,2
131,", _exp","[2739, 3017, 51, 2965, 61, 11960, 11192, 10838]",FOUND,2
132,- expression,[1119],FOUND,12
133,float,[1441],FOUND,2
137,] _cmd_texp_end,"[2739, 3017, 51, 2965, 61, 11960, 11192, 10838]",FOUND,7
140,_cond_layout_semicolon declaration,"[4234, 4749, 4506, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
155,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
158,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
159,name,"[7875, 1104, 965, 12455]",FOUND,2
160,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694]",FOUND,1
162,_cond_layout_semicolon declaration,"[14, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
177,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
179,[ _cmd_texp_start,[1247],FOUND,8
180,- expression,"[7878, 1108, 12332]",FOUND,16
181,float,[1479],FOUND,3
185,", _exp","[4134, 4658, 230, 4716, 187, 9039]",FOUND,2
186,- expression,[1113],FOUND,9
187,float,[1479],FOUND,3
191,] _cmd_texp_end,"[4134, 4658, 230, 4716, 187, 10706, 10838]",FOUND,3
194,_cond_layout_semicolon declaration,"[4234, 4749, 4506, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
205,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
208,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
209,name,"[7875, 1104, 965, 12455]",FOUND,2
215,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694]",FOUND,1
217,_cond_layout_semicolon declaration,"[14, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
228,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
230,[ _cmd_texp_start,[1247],FOUND,8
231,string,"[7878, 1108, 12332]",FOUND,6
235,", _exp","[4134, 4658, 187, 9039]",FOUND,2
236,string,[1113],FOUND,3
239,", _exp","[4134, 4658, 187, 10706, 10838]",FOUND,1
240,string,[1119],FOUND,2
244,] _cmd_texp_end,"[2739, 3017, 61, 11960, 11192, 10838]",FOUND,7
247,_cond_layout_semicolon declaration,"[4234, 4749, 4506, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
250,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
253,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
254,name,"[7875, 1104, 965, 12455]",FOUND,2
257,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694]",FOUND,1
259,_cond_layout_semicolon declaration,"[14, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
262,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
264,[ _cmd_texp_start,[1247],FOUND,8
265,_integer_literal,"[7878, 1108, 12332]",FOUND,8
266,..,"[12358, 4198, 4134, 4658, 187, 9039]",FOUND,11
268,_integer_literal,"[4198, 4134, 4658, 187, 9039, 7864, 1114]",FOUND,11
270,] _cmd_texp_end,"[2745, 2739, 3017, 61, 11532]",FOUND,13
273,_cond_layout_semicolon declaration,"[4234, 4393, 4604, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
280,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
283,name,"[1462, 1484]",FOUND,1
285,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11086, 6115, 874, 8377, 9873, 8950]",FOUND,3
288,name,"[7879, 7941, 1515, 1537]",FOUND,1
290,_cond_layout_semicolon declaration,"[14, 11086, 6115, 874, 8363, 8900, 8377, 9873, 8950, 5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
297,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,3
299,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11086, 6173, 1202, 6672, 915, 8950]",FOUND,3
301,variable,[1247],FOUND,1
302,_varsym,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11086, 10520]",FOUND,5
304,_integer_literal,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11086, 10520, 7720, 1395]",FOUND,12
307,_cond_layout_semicolon declaration,"[3973, 4224, 4553, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11086, 10520, 21, 14]",FOUND,2
313,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
316,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
317,name,"[7875, 1104, 965, 12455]",FOUND,2
319,->,"[3146, 524, 8137, 10287, 10694]",FOUND,5
322,name,"[7879, 7941, 1529]",FOUND,1
323,] _cmd_texp_end,"[3146, 524, 7621, 7862, 8137, 10287, 10694]",FOUND,1
325,_cond_layout_semicolon declaration,"[14, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
331,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
333,[ _cmd_texp_start,[1247],FOUND,8
334,variable,"[7878, 1108, 12332]",FOUND,2
337,", _exp","[4658, 187, 9039]",FOUND,2
338,variable,[1113],FOUND,1
344,", _exp","[4658, 187, 10706, 10838]",FOUND,1
345,variable,[1119],FOUND,1
348,] _cmd_texp_end,"[3017, 61, 11960, 11192, 10838]",FOUND,7
351,_cond_layout_semicolon declaration,"[4234, 4749, 4506, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
361,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
364,name,"[1462, 1484]",FOUND,1
371,_cond_layout_semicolon declaration,"[14, 11086, 6115, 874, 8377, 9873, 8950, 5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
381,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
383,_integer_literal,[1247],FOUND,12
386,_cond_layout_semicolon declaration,"[3973, 4224, 4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
393,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
396,name,"[1462, 1484]",FOUND,1
400,_cond_layout_semicolon declaration,"[14, 11086, 6115, 874, 8377, 9873, 8950, 5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
407,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
409,_integer_literal,[1247],FOUND,12
412,_cond_layout_semicolon declaration,"[3973, 4224, 4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
416,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
419,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
420,variable,"[7875, 1104, 965, 12455]",FOUND,4
421,] _cmd_texp_end,"[3873, 524, 8137, 10287, 10694]",FOUND,1
423,->,"[6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950]",FOUND,3
426,name,"[7879, 7941, 1515, 1537]",FOUND,1
430,_cond_layout_semicolon declaration,"[14, 11086, 6115, 874, 8363, 8900, 8377, 9873, 8950, 5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
434,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
436,variable,[1247],FOUND,1
444,_cond_layout_semicolon declaration,"[4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
447,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
450,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
451,name,"[7875, 1104, 965, 12455]",FOUND,2
452,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694]",FOUND,1
454,_cond_layout_semicolon declaration,"[14, 11086, 6863, 6887, 6854, 874, 8377, 9873, 8950, 6572, 6427, 6411, 764, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
457,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,5
459,[ _cmd_texp_start,[1247],FOUND,8
460,_integer_literal,"[7878, 1108, 12332]",FOUND,8
461,", _exp _dotdot _exp _bracket_close","[4198, 4134, 4658, 187, 9039]",FOUND,28
462,float,[1113],FOUND,10
465,..,"[12358, 4134, 4658, 187, 10706, 10838]",FOUND,11
467,_integer_literal,"[4134, 4658, 187, 10706, 10838, 7864, 1123]",FOUND,12
468,] _cmd_texp_end,"[2745, 2739, 3017, 61, 11835]",FOUND,23
471,_cond_layout_semicolon declaration,"[4234, 4329, 4604, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,2
479,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
482,name,"[1462, 1484]",FOUND,1
484,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11086, 6115, 874, 8377, 9873, 8950]",FOUND,3
487,name,"[7879, 7941, 1515, 1537]",FOUND,1
489,_cond_layout_semicolon declaration,"[14, 11086, 6115, 874, 8363, 8900, 8377, 9873, 8950, 5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
497,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,3
499,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11086, 6173, 1202, 6672, 915, 8950]",FOUND,3
501,_integer_literal,[1247],FOUND,12
504,*,"[3973, 4224, 4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11086, 10520]",FOUND,26
506,variable,"[7720, 1395]",FOUND,1
508,-,"[12216, 4553, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11086, 10520]",FOUND,24
510,float,"[7724, 1400]",NOT_FOUND,0
