Location,Ground_Truth,State_List,Coverage_Result,Rank
24,module module where,"[1, 12559, 2]",FOUND,6
31,name,[10687],FOUND,2
39,where,"[9341, 9593]",FOUND,4
46,_cmd_layout_start imports declarations _cond_layout_end,"[11299, 10478, 12559, 2, 12278, 12478]",FOUND,1
53,name _tight_dot,[9625],FOUND,1
61,.,"[12494, 8847, 8978, 10664]",FOUND,1
62,name _tight_dot,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,4
69,.,"[12494, 8809, 8978, 10664]",FOUND,1
70,name,"[8809, 8978, 10664, 12494, 10081, 10878, 11327, 10902]",FOUND,2
78,declarations _cond_layout_end,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,7
89,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
92,name,"[1462, 1484]",FOUND,1
96,_fun_arrow quantified_type,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,6
108,->,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,2
111,name,"[7879, 7941, 1515, 1537]",FOUND,1
119,_fun_arrow quantified_type,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,3
148,_fun_arrow quantified_type,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,3
160,->,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,2
163,[ _cmd_texp_start,"[7879, 7941, 1515, 1537]",FOUND,2
164,name,"[7875, 1104, 965, 12455]",FOUND,2
169,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694, 12494]",FOUND,2
170,_fun_arrow quantified_type,"[6572, 6427, 6411, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 6863, 6887, 6854, 874, 8363, 8900, 8377, 9873, 8950, 12428, 12340]",FOUND,2
198,_fun_arrow quantified_type,"[6572, 6427, 6411, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 6863, 6887, 6854, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,2
210,->,"[6572, 6427, 6411, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 6863, 6887, 6854, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,1
213,name,"[7879, 7941, 1515, 1537]",FOUND,1
218,->,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,2
221,name,"[7879, 7941, 1515, 1537]",FOUND,1
231,declarations_repeat1 _cond_layout_semicolon,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,10
253,_cond_layout_semicolon declaration,"[12, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,9
258,name,[7743],FOUND,1
260,= _ktype,"[9033, 9054, 8335]",FOUND,1
262,name,[1229],FOUND,1
270,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9583, 11039, 12494, 14]",FOUND,1
275,name,[7743],FOUND,1
284,= _ktype,"[9033, 9054, 8335]",FOUND,1
286,name,[1229],FOUND,1
288,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,1
293,name,[7743],FOUND,1
302,= _ktype,"[9033, 9054, 8335]",FOUND,1
304,name,[1229],FOUND,1
306,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,1
311,name,[7743],FOUND,1
320,= _ktype,"[9033, 9054, 8335]",FOUND,1
322,name,[1229],FOUND,1
324,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,1
329,name,[7743],FOUND,1
338,= _ktype,"[9033, 9054, 8335]",FOUND,1
340,name,[1229],FOUND,1
342,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,1
347,name,[7743],FOUND,1
356,= _ktype,"[9033, 9054, 8335]",FOUND,1
358,name,[1229],FOUND,1
361,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,1
372,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,3
