Location,Ground_Truth,State_List,Coverage_Result,Rank
23,import module import_list,"[1, 12559, 2, 12278, 12807]",FOUND,6
30,name,[9625],FOUND,3
40,( _cmd_texp_start,"[8847, 8978, 10664]",FOUND,2
42,variable,"[8876, 7881]",FOUND,1
46,) _cmd_texp_end,"[9761, 10702]",FOUND,1
48,imports_repeat1 _cond_layout_semicolon,"[12186, 11399, 11807, 10664, 4243, 13]",FOUND,1
55,name,[9625],FOUND,3
67,( _cmd_texp_start,"[8847, 8978, 12000, 10116]",FOUND,3
69,variable,"[8876, 7881]",FOUND,1
86,) _cmd_texp_end,"[9761, 10702]",FOUND,1
88,_cond_layout_semicolon import,"[12186, 11399, 11807, 12000, 10116, 4259, 13]",FOUND,1
95,name,[9625],FOUND,3
103,( _cmd_texp_start,"[8847, 8978, 12000, 10115, 10116]",FOUND,4
105,name children,"[8876, 7881]",FOUND,3
123,( _cmd_texp_start,"[8922, 10702]",FOUND,2
124,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
126,) _cmd_texp_end,[10256],FOUND,1
127,", import_name","[8759, 12121, 11385, 10702, 12517]",FOUND,3
129,variable,[7953],FOUND,1
139,", import_name","[9761, 12166, 10871]",FOUND,1
141,variable,[7901],FOUND,1
152,) _cmd_texp_end,"[9761, 12166, 10969, 10871]",FOUND,2
155,declarations _cond_layout_end,"[12186, 11914, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,8
160,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
163,name,"[1462, 1484]",FOUND,1
166,( _cmd_texp_start,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 6115, 874, 8377, 9873, 8950]",FOUND,4
167,) _cmd_texp_end,"[6645, 431, 429, 12613]",FOUND,3
169,_cond_layout_semicolon declaration,"[12, 11039, 6960, 6869, 6993, 920, 6855, 874, 8377, 9873, 8950, 6348, 6215, 6405, 784, 6412, 764, 8341, 10286, 10711, 9685]",FOUND,8
174,= _exp,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,4
176,variable,[1247],FOUND,1
187,float,"[4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,31
192,_integer_literal,"[4224, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,13
195,float,"[3973, 4224, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,31
199,expression,"[4224, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,10
207,( _cmd_texp_start,"[4224, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,3
209,variable,"[6652, 376]",FOUND,1
220,{ _cmd_brace_open field_update _exp_record_repeat1 } _cmd_brace_close,"[4901, 321, 10945]",FOUND,25
222,variable,[8638],FOUND,1
236,= _exp,"[10643, 9572, 11189, 11181]",FOUND,1
238,float,[1350],FOUND,17
247,_exp_record_repeat1 } _cmd_brace_close,"[2739, 3017, 61, 11408, 11181]",FOUND,19
264,_exp_record_repeat1 } _cmd_brace_close,"[2739, 3017, 61, 11408, 11181]",FOUND,19
285,", field_update","[2739, 3017, 61, 11408, 11181]",FOUND,12
287,variable,[8747],FOUND,1
301,= _exp,"[10643, 9572, 11189, 12176, 11184]",FOUND,1
303,variable,[1350],FOUND,1
319,_exp_record_repeat1,"[3017, 61, 11408, 12176, 11184]",FOUND,18
340,", field_update","[3017, 61, 11408, 12176, 11184]",FOUND,12
342,variable,[8747],FOUND,1
356,= _exp,"[10643, 9572, 11189, 12176, 11008, 11184]",FOUND,1
358,variable,[1350],FOUND,1
362,_integer_literal,"[3017, 61, 11408, 12176, 11008, 11184]",FOUND,11
364,_integer_literal,"[2745, 2739, 3017, 52, 2863, 61, 11408, 12176, 11008, 11184]",FOUND,11
369,_integer_literal,"[2745, 2739, 3017, 52, 2863, 61, 11408, 12176, 11008, 11184]",FOUND,11
370,_exp_record_repeat1,"[2745, 2739, 3017, 52, 2863, 61, 11408, 12176, 11008, 11184]",FOUND,6
391,", field_update","[2745, 2739, 3017, 52, 2863, 61, 11408, 12176, 11008, 11184]",FOUND,13
393,variable,[8747],FOUND,1
407,= _exp,"[10643, 9572, 11189, 12176, 11008, 11184]",FOUND,1
409,\ patterns _arrow _exp,[1350],FOUND,9
410,_,[2101],FOUND,2
412,->,"[5811, 5745, 1857, 2051, 10956]",FOUND,3
415,variable,"[7952, 1317]",FOUND,1
419,_integer_literal,"[3017, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,11
421,_integer_literal,"[2745, 2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,11
424,_integer_literal,"[2745, 2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,11
425,_exp_record_repeat1,"[2745, 2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,6
446,", field_update","[2745, 2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,13
448,variable,[8747],FOUND,1
462,= _exp,"[10643, 9572, 11189, 12176, 11008, 11184]",FOUND,1
464,\ patterns _arrow _exp,[1350],FOUND,9
465,_,[2101],FOUND,2
467,->,"[5811, 5745, 1857, 2051, 10956]",FOUND,3
470,variable,"[7952, 1317]",FOUND,1
474,_integer_literal,"[3017, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,11
477,_integer_literal,"[2745, 2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,11
479,float,"[2745, 2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,28
484,} _cmd_brace_close,"[2739, 3017, 52, 2863, 50, 2883, 3046, 61, 11408, 12176, 11008, 11184]",FOUND,15
486,) _cmd_texp_end,"[5070, 4989, 321, 10945]",FOUND,1
