Location,Ground_Truth,State_List,Coverage_Result,Rank
24,module module where,"[1, 12559, 2]",FOUND,7
31,name,[10687],FOUND,2
41,where,"[9341, 9593]",FOUND,4
48,_cmd_layout_start declarations _cond_layout_end,"[11299, 10478, 12559, 2, 12278, 12478]",FOUND,8
55,_integer_literal,[8128],FOUND,1
57,_varsym,"[9089, 8378]",FOUND,1
61,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 9685, 11086, 12]",FOUND,1
68,_integer_literal,[8128],FOUND,1
70,_varsym,"[9089, 8378]",FOUND,1
74,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 10124, 9583, 11086, 14]",FOUND,1
81,_integer_literal,[8090],FOUND,1
83,_varsym,"[9089, 8378]",FOUND,1
86,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
93,_integer_literal,[8128],FOUND,1
95,_varsym,"[9089, 8378]",FOUND,1
98,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
105,_integer_literal,[8090],FOUND,1
107,_varsym,"[9089, 8378]",FOUND,1
110,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
117,_integer_literal,[8090],FOUND,1
119,_varsym,"[9089, 8378]",FOUND,1
123,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
130,_integer_literal,[8128],FOUND,1
132,_varsym,"[9089, 8378]",FOUND,1
136,_cond_layout_semicolon declaration,"[9920, 9618, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
141,name,[7743],FOUND,1
155,= _ktype,"[9033, 9054, 8335]",FOUND,1
157,( _cmd_texp_start,[1229],FOUND,2
158,name,"[6645, 431, 12613]",FOUND,2
160,->,"[3164, 524, 8137, 10265]",FOUND,6
163,name,"[7879, 7941, 1529]",FOUND,1
166,) _cmd_texp_end,"[3146, 524, 7621, 7862, 8137, 10265]",FOUND,3
168,->,"[6348, 6426, 6407, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11086]",FOUND,11
171,name,"[7879, 7941, 1515]",FOUND,1
173,->,"[5783, 764, 8173, 8718, 8142, 10258, 10711, 10124, 9609, 9583, 11086]",FOUND,3
176,name,"[7879, 7941, 1515]",FOUND,1
181,_cond_layout_semicolon declaration,"[5783, 764, 8173, 8718, 8142, 10258, 10711, 10124, 9609, 9583, 11086, 21, 14]",FOUND,1
195,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,4
198,name,"[1462, 1484]",FOUND,1
200,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11086, 6115, 874, 8377, 9873, 8950]",FOUND,3
203,name,"[7879, 7941, 1515, 1537]",FOUND,1
217,_cond_layout_semicolon declaration,"[14, 11086, 6115, 874, 8363, 8900, 8377, 9873, 8950, 5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
231,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11086, 915, 8950, 2167]",FOUND,3
234,variable,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11086, 6173, 1202, 6672, 915, 8950]",FOUND,4
236,variable,"[5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11086, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,4
238,= _exp,"[5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11086, 6905, 1837, 1971, 2011, 8888, 6173, 1202, 6672, 915, 8950]",FOUND,3
240,( _cmd_texp_start,[1247],FOUND,7
241,variable,"[6652, 400, 12695]",FOUND,2
243,( _cmd_texp_start,"[4901, 321, 10945]",FOUND,4
244,variable,"[6652, 389, 12695]",FOUND,2
246,_varsym,"[8104, 4901, 241, 11068]",FOUND,1
248,variable,"[4901, 241, 11068, 7720, 1542]",FOUND,1
250,_varsym,"[4901, 255, 5019, 241, 11068]",FOUND,17
251,_integer_literal,"[4901, 255, 5019, 241, 11068, 8104, 7720, 1524]",FOUND,9
252,) _cmd_texp_end,"[4255, 4288, 4901, 274, 5019, 255, 241, 11068]",FOUND,2
254,_varsym,"[8104, 4290, 4242, 4909, 252, 5011, 321, 10945]",FOUND,3
258,variable,"[4290, 4242, 4909, 252, 5011, 321, 10945, 7720, 1542]",FOUND,1
260,( _cmd_texp_start,"[4901, 255, 5019, 321, 10945]",FOUND,4
261,variable,"[6652, 389, 12695]",FOUND,2
263,_cond_minus _operator_minus expression,"[11620, 4901, 241, 11068, 8104]",FOUND,11
265,variable,"[4901, 241, 11068, 7724, 1557]",FOUND,2
267,_varsym,"[4901, 263, 5019, 241, 11068]",FOUND,17
268,_integer_literal,"[4901, 263, 5019, 241, 11068, 8104, 11445, 7720, 1524]",FOUND,8
269,) _cmd_texp_end,"[4255, 4288, 4901, 274, 5019, 263, 241, 11068]",FOUND,1
