Location,Ground_Truth,State_List,Coverage_Result,Rank
23,import module,"[1, 12559, 2, 12278, 12807]",FOUND,3
30,name,[9625],FOUND,3
34,imports_repeat1 _cond_layout_semicolon,"[8847, 8978, 10664, 4243, 13]",FOUND,3
41,name,[9625],FOUND,3
54,declarations _cond_layout_end,"[8847, 8978, 12000, 10116, 4259, 13]",FOUND,10
67,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
70,name,"[1462, 1484]",FOUND,1
76,->,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 6115, 874, 8377, 9873, 8950]",FOUND,1
79,name,"[7879, 7941, 1515, 1537]",FOUND,1
89,name,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 9685, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,4
95,variable,"[12, 11039, 6176, 920, 6855, 874, 8363, 8900, 8377, 9873, 8950, 5710, 784, 6412, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,3
108,variable,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,2
110,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,2
112,name,[1247],FOUND,2
124,( _cmd_texp_start,"[3928, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,3
125,name,"[6652, 376, 12695]",FOUND,3
131,_integer_literal,"[4689, 321, 10945]",FOUND,12
133,_integer_literal,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,11
135,variable,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,2
136,) _cmd_texp_end,"[4901, 252, 5011, 321, 10945]",FOUND,1
138,( _cmd_texp_start,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,3
139,name,"[6652, 376, 12695]",FOUND,3
144,_integer_literal,"[4689, 321, 10945]",FOUND,12
146,name,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,7
152,variable,"[4002, 252, 5011, 321, 10945]",FOUND,2
156,) _cmd_texp_end,"[4901, 252, 5011, 321, 10945]",FOUND,1
159,_cond_layout_semicolon declaration,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 14]",FOUND,2
166,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
169,name,"[1462, 1484]",FOUND,1
179,name,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6115, 874, 8377, 9873, 8950]",FOUND,5
185,->,"[5710, 784, 6412, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6176, 920, 6855, 874, 8377, 9873, 8950]",FOUND,3
188,name,"[7879, 7941, 1515, 1537]",FOUND,1
198,name,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,6
204,_cond_layout_semicolon declaration,"[14, 11039, 6176, 920, 6855, 874, 8363, 8900, 8377, 9873, 8950, 5710, 784, 6412, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
211,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,3
216,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,3
218,name,[1247],FOUND,2
230,( _cmd_texp_start,"[3928, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,4
231,name,"[6652, 376, 12695]",FOUND,3
237,_integer_literal,"[4689, 321, 10945]",FOUND,12
241,_integer_literal,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,11
245,_integer_literal,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,11
246,) _cmd_texp_end,"[4255, 4288, 4901, 252, 5011, 321, 10945]",FOUND,1
248,_varsym,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,5
250,variable,"[7720, 1395]",FOUND,1
256,_cond_layout_semicolon declaration,"[4553, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520, 21, 14]",FOUND,2
261,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
264,name,"[1462, 1484]",FOUND,1
