Location,Ground_Truth,State_List,Coverage_Result,Rank
23,import module,"[1, 12559, 2, 12278, 12807]",FOUND,3
30,name,[9625],FOUND,3
34,imports_repeat1 _cond_layout_semicolon,"[8847, 8978, 10664, 4243, 13]",FOUND,3
41,name,[9625],FOUND,3
49,declarations _cond_layout_end,"[8847, 8978, 12000, 10116, 4259, 13]",FOUND,10
54,name,[7743],FOUND,1
56,= _ktype,"[9033, 9054, 8335]",FOUND,1
58,name,[1229],FOUND,1
66,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 9685, 11039, 12]",FOUND,5
71,:: quantified_type,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,3
74,name,"[1462, 1484]",FOUND,1
84,name,"[5783, 764, 8341, 10286, 10711, 10124, 9583, 11039, 6115, 874, 8377, 9873, 8950]",FOUND,4
86,_cond_layout_semicolon declaration,"[14, 11039, 6176, 920, 6855, 874, 8377, 9873, 8950, 5710, 784, 6412, 764, 8341, 10286, 10711, 10124, 9583]",FOUND,1
91,= _exp,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,5
93,name,[1247],FOUND,2
104,[ _cmd_texp_start,"[3928, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9609, 9583, 11039]",FOUND,11
105,name,"[7878, 1108, 12332]",FOUND,5
110,name,"[3920, 187, 9039]",FOUND,11
118,[ _cmd_texp_start,"[3920, 231, 4712, 187, 9039]",FOUND,9
119,name,"[7878, 1067, 12332]",FOUND,6
122,_integer_literal,"[3920, 187, 9092]",FOUND,9
124,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 9092]",FOUND,9
126,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 9092]",FOUND,9
127,", _exp","[4198, 4134, 4658, 231, 4712, 187, 9092]",FOUND,6
129,name,[1076],FOUND,6
132,_integer_literal,"[3920, 187, 10673, 10759]",FOUND,10
134,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 10673, 10759]",FOUND,10
136,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 10673, 10759]",FOUND,10
137,] _cmd_texp_end,"[4198, 4134, 4658, 231, 4712, 187, 10673, 10759]",FOUND,7
139,variable,"[4035, 4497, 4666, 231, 4712, 187, 9039]",FOUND,1
142,_exp_list_repeat1 _bracket_close,"[4658, 231, 4712, 187, 9039]",FOUND,7
161,", _exp","[4658, 231, 4712, 187, 9039]",FOUND,2
162,name,[1113],FOUND,4
167,name,"[3920, 187, 10706, 10838]",FOUND,11
175,[ _cmd_texp_start,"[3920, 231, 4712, 187, 10706, 10838]",FOUND,9
176,name,"[7878, 1067, 12332]",FOUND,6
179,_integer_literal,"[3920, 187, 9092]",FOUND,9
181,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 9092]",FOUND,9
183,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 9092]",FOUND,9
184,", _exp","[4198, 4134, 4658, 231, 4712, 187, 9092]",FOUND,6
186,name,[1076],FOUND,6
189,_integer_literal,"[3920, 187, 10673, 10759]",FOUND,10
191,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 10673, 10759]",FOUND,10
193,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 10673, 10759]",FOUND,10
194,] _cmd_texp_end,"[4198, 4134, 4658, 231, 4712, 187, 10673, 10759]",FOUND,7
196,variable,"[4035, 4497, 4666, 231, 4712, 187, 10706, 10838]",FOUND,2
201,_exp_list_repeat1,"[4658, 231, 4712, 187, 10706, 10838]",FOUND,7
220,", _exp","[4658, 231, 4712, 187, 10706, 10838]",FOUND,1
221,name,[1119],FOUND,5
226,name,"[2429, 61, 11960, 11192, 10838]",FOUND,10
234,[ _cmd_texp_start,"[2429, 52, 2863, 61, 11960, 11192, 10838]",FOUND,12
235,name,"[7878, 957, 12332]",FOUND,6
238,_integer_literal,"[3920, 187, 9098]",FOUND,11
240,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 9098]",FOUND,11
242,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 9098]",FOUND,11
243,", _exp","[4198, 4134, 4658, 231, 4712, 187, 9098]",FOUND,6
245,name,[986],FOUND,4
248,_integer_literal,"[3920, 187, 10613, 10842]",FOUND,12
250,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 10613, 10842]",FOUND,12
252,_integer_literal,"[4198, 4134, 4658, 231, 4712, 187, 10613, 10842]",FOUND,12
253,] _cmd_texp_end,"[4198, 4134, 4658, 231, 4712, 187, 10613, 10842]",FOUND,6
255,variable,"[2744, 3044, 3042, 52, 2863, 61, 11960, 11192, 10838]",FOUND,1
259,_bracket_close,"[3017, 52, 2863, 61, 11960, 11192, 10838]",FOUND,10
