Location,Ground_Truth,State_List,Coverage_Result,Rank
126,module module exports where,"[1, 12559, 2]",FOUND,1
133,name,[10687],FOUND,2
141,( _cmd_texp_start,"[9341, 9593]",FOUND,2
142,module module,"[8876, 7779, 12402]",FOUND,7
149,name,[10221],FOUND,2
156,", module_export","[9629, 11359, 10850]",FOUND,3
158,module module,[7851],FOUND,2
165,name _tight_dot,[10221],FOUND,1
172,.,"[12494, 9629, 11359, 12169, 10171]",FOUND,1
173,name,"[9629, 11359, 12169, 10171, 12494, 10081, 10878, 11206]",FOUND,5
184,) _cmd_texp_end,"[9580, 11359, 12169, 10171, 12494]",FOUND,6
186,where,"[9796, 11333, 11261]",FOUND,1
193,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
200,name _tight_dot,[9625],FOUND,1
207,.,"[12494, 8847, 8978, 10664]",FOUND,1
208,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
220,imports_repeat1 _cond_layout_semicolon,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,4
227,name _tight_dot,[9625],FOUND,1
231,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
232,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
260,declarations _cond_layout_end,"[8809, 8978, 12000, 10116, 12494, 4259, 13]",FOUND,11
268,name,[7764],FOUND,1
275,variable,"[8878, 8889, 8082]",FOUND,1
277,= newtype_constructor,"[8894, 8904, 8323, 8882]",FOUND,3
279,name field,[9682],FOUND,1
281,( _cmd_texp_start,[2312],FOUND,2
282,name,"[6645, 455, 12613]",FOUND,2
289,->,"[3164, 524, 8137, 10240, 12792]",FOUND,5
292,[ _cmd_texp_start,"[7879, 7941, 1529]",FOUND,3
293,( _cmd_texp_start,"[7875, 1064, 12455]",FOUND,3
294,variable,"[6645, 433, 12613]",FOUND,3
295,", _ktype","[3873, 524, 8137, 10734]",FOUND,6
296,name,[1281],FOUND,1
302,) _cmd_texp_end,"[3146, 524, 8137, 10666, 11096, 12055, 12494]",FOUND,6
303,] _cmd_texp_end,"[3811, 3864, 3895, 524, 8137, 10738, 12740]",FOUND,4
304,) _cmd_texp_end,"[3858, 3924, 3900, 524, 7621, 7862, 8137, 10240, 12295]",FOUND,12
307,_cond_layout_semicolon declaration,"[7233, 7466, 7451, 1136, 9566, 9002, 10023, 10711, 9685, 11039, 12]",FOUND,2
313,:: quantified_type,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,3
316,name,"[1462, 1484]",FOUND,1
323,variable,"[5783, 764, 8341, 10286, 10711, 10124, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
