Location,Ground_Truth,State_List,Coverage_Result,Rank
120,import module,"[1, 12559, 2, 12278, 12807]",FOUND,3
127,name _tight_dot,[9625],FOUND,1
131,.,"[12494, 8847, 8978, 10664]",FOUND,1
132,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
164,declarations _cond_layout_end,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,7
172,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
175,name,"[1462, 1484]",FOUND,1
180,->,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,2
183,name,"[7879, 7941, 1515, 1537]",FOUND,1
187,variable,"[12, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,4
195,variable,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,2
197,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,2
199,variable,[1247],FOUND,1
203,variable,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,2
205,-,"[12216, 4553, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,23
207,variable,"[7724, 1400]",FOUND,1
211,char,"[4553, 225, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520]",FOUND,21
216,_cond_layout_semicolon declaration,"[4224, 4553, 220, 4452, 225, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 12494, 12216, 14]",FOUND,2
224,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
227,name,"[1462, 1484]",FOUND,1
231,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
234,name,"[7879, 7941, 1515, 1537]",FOUND,1
239,_cond_layout_semicolon declaration,"[14, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
247,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,3
249,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,3
251,variable,[1247],FOUND,1
255,( _cmd_texp_start,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,4
256,variable,"[6652, 376, 12695]",FOUND,2
260,char,"[4901, 321, 10945]",FOUND,17
264,_varsym,"[8104, 11620, 4288, 4901, 252, 5011, 321, 10945]",FOUND,3
266,variable,"[4288, 4901, 252, 5011, 321, 10945, 7720, 1542]",FOUND,1
267,) _cmd_texp_end,"[4901, 255, 5019, 321, 10945]",FOUND,1
270,_cond_layout_semicolon declaration,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520, 12494, 8125, 12216, 21, 14]",FOUND,2
276,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
279,name,"[1462, 1484]",FOUND,1
283,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
286,name,"[7879, 7941, 1515, 1537]",FOUND,1
291,->,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,4
294,name,"[7879, 7941, 1515, 1537]",FOUND,1
299,_cond_layout_semicolon declaration,"[14, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
