Location,Ground_Truth,State_List,Coverage_Result,Rank
111,import module,"[1, 12559, 2, 12278, 12807]",FOUND,3
118,name _tight_dot,[9625],FOUND,1
122,.,"[12494, 8847, 8978, 10664]",FOUND,1
123,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
148,declarations _cond_layout_end,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,7
153,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
156,name,"[1462, 1484]",FOUND,1
160,->,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,2
163,name,"[7879, 7941, 1515, 1537]",FOUND,1
167,variable,"[12, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,4
172,_integer_literal,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,17
174,= _exp,"[7323, 7275, 7413, 1837, 2011, 8888, 4739, 4738, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6157, 6108, 6578, 1202, 6672, 915, 8950]",FOUND,2
176,_integer_literal,[1247],FOUND,12
178,variable,"[3973, 4224, 4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9583, 11039, 10520, 12494, 14]",FOUND,1
183,_integer_literal,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,17
185,= _exp,"[7323, 7275, 7413, 1837, 2011, 8888, 4739, 4738, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6157, 6108, 6578, 1202, 6672, 915, 8950]",FOUND,3
187,_integer_literal,[1247],FOUND,12
190,_cond_layout_semicolon declaration,"[3973, 4224, 4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520, 12494, 21, 14]",FOUND,2
195,name,[7743],FOUND,1
201,= _ktype,"[9033, 9054, 8335]",FOUND,1
203,[ _cmd_texp_start,[1229],FOUND,3
204,name,"[7875, 1104, 12455]",FOUND,2
207,] _cmd_texp_end,"[3146, 524, 8137, 10287, 12494]",FOUND,2
210,_cond_layout_semicolon declaration,"[6572, 6427, 6411, 764, 8142, 10258, 10711, 10124, 9609, 9583, 11039, 21, 14]",FOUND,1
218,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
221,name,"[1462, 1484]",FOUND,1
