Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name,[10687],FOUND,2
12,( _cmd_texp_start,"[9341, 9593]",FOUND,2
13,variable,"[8876, 7779, 12402]",FOUND,2
17,) _cmd_texp_end,"[9761, 10807]",FOUND,3
19,where,"[9796, 11531, 11261]",FOUND,1
26,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
33,qualified module,[9625],FOUND,4
43,name _tight_dot,[9924],FOUND,1
48,.,"[12494, 8847, 9064, 10664]",FOUND,1
49,name,"[8847, 9064, 10664, 12494, 10081, 10878, 10902]",FOUND,3
53,imports_repeat1 _cond_layout_semicolon,"[8809, 9064, 10664, 12494, 4243, 13]",FOUND,4
60,name _tight_dot,[9625],FOUND,1
71,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
72,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
77,_cond_layout_semicolon import,"[8809, 8978, 12000, 10116, 12494, 4259, 13]",FOUND,2
84,name _tight_dot,[9625],FOUND,1
95,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
96,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
107,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
114,name _tight_dot,[9625],FOUND,1
125,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
126,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
138,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
145,name _tight_dot,[9625],FOUND,1
156,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
157,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
163,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
170,name _tight_dot,[9625],FOUND,1
174,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
175,name _tight_dot,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,6
180,.,"[12494, 8809, 8978, 12000, 10115, 10116]",FOUND,1
181,name,"[8809, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 11327, 10902]",FOUND,2
189,( _cmd_texp_start,"[8809, 8978, 12000, 10115, 10116, 12494]",FOUND,5
190,variable,"[8876, 7881, 12402]",FOUND,2
199,) _cmd_texp_end,"[9761, 10702]",FOUND,1
201,imports_repeat1,"[12186, 11399, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,1
208,name _tight_dot,[9625],FOUND,1
212,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
213,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
219,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
226,name _tight_dot,[9625],FOUND,1
230,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
231,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
240,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
247,name _tight_dot,[9625],FOUND,1
251,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
252,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
256,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
263,name _tight_dot,[9625],FOUND,1
268,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
269,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
277,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
284,name _tight_dot,[9625],FOUND,1
289,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
290,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
296,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
303,name _tight_dot,[9625],FOUND,1
308,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
309,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
315,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
322,name _tight_dot,[9625],FOUND,1
326,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
327,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
333,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
340,name,[9625],FOUND,3
349,declarations _cond_layout_end,"[8847, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,11
355,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
358,name,"[1462, 1484]",FOUND,1
365,->,"[5783, 764, 8341, 10286, 10711, 9685, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,2
368,name,"[7879, 7941, 1515, 1537]",FOUND,1
375,_cond_layout_semicolon declaration,"[12, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,9
381,= _exp,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,4
383,variable,[1247],FOUND,1
387,( _cmd_texp_start,"[4553, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,3
388,variable,"[6652, 376, 12695]",FOUND,2
392,variable,"[4901, 321, 10945]",FOUND,2
402,_varsym,"[8104, 4901, 252, 5011, 321, 10945]",FOUND,3
404,variable,"[4901, 252, 5011, 321, 10945, 7720, 1542]",FOUND,1
408,( _cmd_texp_start,"[4901, 255, 5019, 321, 10945]",FOUND,4
409,- expression,"[6652, 389, 12695]",FOUND,10
410,variable,"[1384, 12157]",FOUND,2
419,) _cmd_texp_end,"[4901, 283, 5018, 241, 11068]",FOUND,1
421,_varsym,"[8104, 4290, 4242, 4909, 252, 5011, 255, 5019, 321, 10945]",FOUND,3
423,( _cmd_texp_start,"[4290, 4242, 4909, 252, 5011, 255, 5019, 321, 10945, 7720, 1542]",FOUND,4
424,*,"[6652, 416, 12695]",FOUND,22
426,variable,"[7720, 7817, 1736]",FOUND,2
435,) _cmd_texp_end,"[3017, 381]",FOUND,1
436,) _cmd_texp_end,"[4290, 5045, 5013, 255, 5019, 321, 10945, 12453]",FOUND,1
437,_where_binds,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,5
440,where local_binds,"[4229, 3949, 4504, 220, 4452, 180, 9590, 9088, 10117, 10286, 10711, 10124, 9583, 11039]",FOUND,7
450,variable _bind_matches,"[9367, 10732, 10117, 10286, 10711, 10124, 9583, 11039, 1334, 1834, 10775, 10394]",FOUND,5
460,= _exp,"[4271, 915, 8950, 2167]",FOUND,2
462,float,[1247],FOUND,20
467,_cond_layout_semicolon declaration,"[4224, 4553, 180, 9590, 9088, 10117, 10286, 9366, 10641, 10394, 10732, 10711, 10124, 9583, 11039, 14]",FOUND,2
486,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
489,name,"[1462, 1484]",FOUND,1
496,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
499,name,"[7879, 7941, 1515, 1537]",FOUND,1
510,name,"[5783, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8363, 8900, 8377, 9873, 8950]",FOUND,7
516,_cond_layout_semicolon declaration,"[14, 11039, 6176, 920, 6855, 874, 8363, 8900, 8377, 9873, 8950, 12792, 5710, 784, 6412, 764, 8173, 8718, 8341, 10286, 10711, 10124, 9609, 9583, 21]",FOUND,1
535,variable,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,3
542,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9609, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,3
543,_exp,[1247],FOUND,3
546,variable,[1247],FOUND,1
556,( _cmd_texp_start,"[4553, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,4
557,_integer_literal,"[6652, 376, 12695]",FOUND,11
558,", _exp","[4255, 4288, 4901, 321, 10945]",FOUND,5
560,variable,"[945, 11405]",FOUND,1
561,) _cmd_texp_end,"[3017, 61, 10916, 11405]",FOUND,5
563,_varsym,"[4229, 4312, 4528, 220, 4452, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,5
565,variable,"[7720, 1395]",FOUND,1
569,variable,"[4553, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,2
580,variable,"[4553, 220, 4452, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,2
586,_where_binds,"[4553, 220, 4452, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,7
589,where local_binds,"[4553, 220, 4452, 221, 4540, 180, 9590, 9088, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520]",FOUND,8
599,variable _bind_matches,"[9367, 10732, 10346, 10286, 10711, 10124, 9609, 9583, 11039, 10520, 1334, 1834, 10775, 10394]",FOUND,5
601,= _exp,"[4271, 915, 8950, 2167]",FOUND,2
603,variable,[1247],FOUND,1
610,variable,"[4553, 180, 9590, 9088, 10117, 10286, 9366]",FOUND,1
617,-,"[12216, 4553, 220, 4452, 180, 9590, 9088, 10117, 10286, 9366]",FOUND,22
619,_integer_literal,"[7724, 1400]",FOUND,2
622,_cond_layout_semicolon declaration,"[3973, 4224, 4553, 225, 4540, 180, 9590, 9088, 10117, 10286, 9366, 10641, 10394, 10732, 10346, 10711, 10124, 9609, 9583, 11039, 10520, 21, 14]",FOUND,2
631,:: quantified_type,"[2263, 350, 10711, 10124, 9609, 9583, 11039, 915, 8950, 2167]",FOUND,4
634,name,"[1462, 1484]",FOUND,1
643,->,"[5783, 764, 8341, 10286, 10711, 10124, 9609, 9583, 11039, 12494, 6115, 874, 8377, 9873, 8950]",FOUND,4
