Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
18,.,"[12494, 9341, 9593]",FOUND,1
19,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
23,exports where,"[9375, 9593, 12494]",FOUND,4
26,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
28,name children,"[8876, 7779]",FOUND,3
42,( _cmd_texp_start,"[8922, 10807, 12494]",FOUND,2
43,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
45,) _cmd_texp_end,[10256],FOUND,1
46,", import_name","[8759, 12121, 11385, 10807, 12517]",FOUND,2
47,import_name,[7850],FOUND,2
52,( _cmd_texp_start,[7850],FOUND,10
53,_varsym,"[12573, 12584, 8769, 8241]",FOUND,2
55,) _cmd_texp_end,"[8769, 8241, 12573, 12368, 11957]",FOUND,1
56,", import_name","[8759, 8920, 9788, 12167, 10169, 12517]",FOUND,1
57,import_name,[7812],FOUND,2
62,variable,[7812],FOUND,1
63,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
64,import_name,[7812],FOUND,2
69,( _cmd_texp_start,[7812],FOUND,8
70,_varsym,"[8769, 8241, 12584]",FOUND,2
73,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
74,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
75,import_name,[7812],FOUND,2
80,( _cmd_texp_start,[7812],FOUND,8
81,_varsym,"[8769, 8241, 12584]",FOUND,2
84,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
85,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
86,import_name,[7812],FOUND,2
91,( _cmd_texp_start,[7812],FOUND,8
92,_varsym,"[8769, 8241, 12584]",FOUND,2
95,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
96,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
97,import_name,[7812],FOUND,2
102,( _cmd_texp_start,[7812],FOUND,8
103,_varsym,"[8769, 8241, 12584]",FOUND,2
106,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
107,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
108,import_name,[7812],FOUND,2
113,( _cmd_texp_start,[7812],FOUND,8
114,_varsym,"[8769, 8241, 12584]",FOUND,2
117,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
118,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
119,import_name,[7812],FOUND,2
124,( _cmd_texp_start,[7812],FOUND,8
125,_varsym,"[8769, 8241, 12584]",FOUND,2
128,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
129,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
130,import_name,[7812],FOUND,2
135,( _cmd_texp_start,[7812],FOUND,8
136,_varsym,"[8769, 8241, 12584]",FOUND,2
140,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
141,", import_name","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,1
142,import_name,[7812],FOUND,2
147,( _cmd_texp_start,[7812],FOUND,8
148,_varsym,"[8769, 8241, 12584]",FOUND,2
152,) _cmd_texp_end,"[8769, 8241, 12573, 12231, 11957]",FOUND,1
153,", _paren_close","[8759, 8920, 9788, 12167, 10984, 10169, 12517]",FOUND,6
154,_paren_close,[7812],FOUND,5
157,) _cmd_texp_end,[7812],FOUND,7
158,where,"[9796, 11492, 11261]",FOUND,1
159,where,"[9796, 11492, 11261]",FOUND,1
166,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
173,name _tight_dot,[9625],FOUND,1
184,.,"[12494, 8847, 8978, 10664, 12489]",FOUND,1
