Location,Ground_Truth,State_List,Coverage_Result,Rank
122,module module exports where,"[1, 12559, 2]",FOUND,1
129,name _tight_dot,[10687],FOUND,1
140,.,"[12494, 9341, 9593]",FOUND,1
141,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
146,exports where,"[9375, 9593, 12494]",FOUND,4
150,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
152,name,"[8876, 7779]",FOUND,5
154,", import_name","[8922, 10807, 12494]",FOUND,3
155,import_name,[7850],FOUND,2
161,name children,[7850],FOUND,3
171,( _cmd_texp_start,"[8922, 12167, 10169, 12494]",FOUND,3
172,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
174,) _cmd_texp_end,[10256],FOUND,1
175,", import_name","[8759, 12121, 11385, 12167, 10169, 12517]",FOUND,1
176,import_name,[7812],FOUND,2
182,name children,[7812],FOUND,3
188,( _cmd_texp_start,"[8922, 12167, 10984, 10169, 12494]",FOUND,4
189,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
191,) _cmd_texp_end,[10256],FOUND,1
192,", import_name","[8759, 12121, 11385, 12167, 10984, 10169, 12517]",FOUND,1
193,import_name,[7812],FOUND,2
199,name,[7812],FOUND,4
207,", import_name","[8922, 12167, 10984, 10169, 12494]",FOUND,2
208,import_name,[7812],FOUND,2
214,name,[7812],FOUND,4
223,", import_name","[8922, 12167, 10984, 10169, 12494]",FOUND,2
224,import_name,[7812],FOUND,2
230,name,[7812],FOUND,4
243,", import_name","[8922, 12167, 10984, 10169, 12494]",FOUND,2
244,import_name,[7812],FOUND,2
250,variable,[7812],FOUND,1
269,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
270,import_name,[7812],FOUND,2
276,variable,[7812],FOUND,1
277,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
278,import_name,[7812],FOUND,2
284,variable,[7812],FOUND,1
286,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
287,import_name,[7812],FOUND,2
293,variable,[7812],FOUND,1
294,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
295,import_name,[7812],FOUND,2
301,variable,[7812],FOUND,1
302,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
303,import_name,[7812],FOUND,2
309,variable,[7812],FOUND,1
311,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
312,import_name,[7812],FOUND,2
318,variable,[7812],FOUND,1
319,", import_name","[7812, 9761, 12167, 10984, 10169]",FOUND,1
320,import_name,[7812],FOUND,2
326,variable,[7812],FOUND,1
328,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
329,import_name,[7812],FOUND,2
335,variable,[7812],FOUND,1
336,", import_name","[7812, 9761, 12167, 10984, 10169]",FOUND,1
337,import_name,[7812],FOUND,2
343,variable,[7812],FOUND,1
344,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
345,import_name,[7812],FOUND,2
351,variable,[7812],FOUND,1
353,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
354,import_name,[7812],FOUND,2
360,variable,[7812],FOUND,1
361,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
362,import_name,[7812],FOUND,2
368,variable,[7812],FOUND,1
370,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
371,import_name,[7812],FOUND,2
377,variable,[7812],FOUND,1
395,", import_name","[9761, 12167, 10984, 10169]",FOUND,1
396,import_name,[7812],FOUND,2
402,variable,[7812],FOUND,1
420,", _paren_close","[9761, 12167, 10984, 10169]",FOUND,5
421,_paren_close,[7812],FOUND,5
425,) _cmd_texp_end,[7812],FOUND,7
426,where,"[9796, 11492, 11261]",FOUND,1
428,where,"[9796, 11492, 11261]",FOUND,1
437,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
444,name _tight_dot,[9625],FOUND,1
449,.,"[12494, 8847, 8978, 10664]",FOUND,1
450,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
455,( _cmd_texp_start,"[8809, 8978, 10664, 12494]",FOUND,3
456,name,"[8876, 7881, 12402]",FOUND,3
459,) _cmd_texp_end,"[8922, 10702, 12494]",FOUND,2
462,imports_repeat1 _cond_layout_semicolon,"[12186, 11399, 11807, 10664, 4243, 13]",FOUND,1
469,name _tight_dot,[9625],FOUND,1
476,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
477,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
485,( _cmd_texp_start,"[8809, 8978, 12000, 10116, 12494]",FOUND,4
486,name,"[8876, 7881, 12402]",FOUND,3
493,) _cmd_texp_end,"[8922, 10702, 12494]",FOUND,2
496,_cond_layout_semicolon import,"[12186, 11399, 11807, 12000, 10116, 4259, 13]",FOUND,1
503,name _tight_dot,[9625],FOUND,1
507,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
508,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
519,( _cmd_texp_start,"[8809, 8978, 12000, 10115, 10116, 12494]",FOUND,5
520,name children,"[8876, 7881, 12402]",FOUND,4
530,( _cmd_texp_start,"[8922, 10702, 12494]",FOUND,3
531,variable _paren_close,"[8876, 7870, 12402]",FOUND,4
540,) _cmd_texp_end,[10270],FOUND,1
541,", import_name","[8759, 12168, 11385, 10702, 12517]",FOUND,3
543,variable,[7953],FOUND,1
551,) _cmd_texp_end,"[9761, 12166, 10871]",FOUND,2
556,declarations _cond_layout_end,"[12186, 11914, 11807, 12000, 10115, 10116, 11476, 4259, 13]",FOUND,8
561,name,[7743],FOUND,1
564,= _ktype,"[9033, 9054, 8335]",FOUND,1
566,name,[1229],FOUND,1
576,_cond_layout_semicolon declaration,"[5783, 764, 8142, 10258, 10711, 9685, 11039, 12494, 12]",FOUND,6
582,name,[7823],FOUND,1
592,variable,"[8634, 8648, 8039, 10711, 10124, 9583, 11039]",FOUND,5
594,where class_declarations,"[8612, 8623, 8140, 8727, 10711, 10124, 9583, 11039]",FOUND,5
603,variable :: quantified_type,"[9487, 10711, 10124, 9583, 11039, 676, 1122, 10193, 10132]",FOUND,5
615,:: quantified_type,"[4271, 915, 8950, 2167]",FOUND,6
618,variable,"[1462, 1484]",FOUND,8
620,->,"[6405, 764, 8341, 10286, 10318, 9336, 6993, 874, 8377, 9873, 8950]",FOUND,1
623,name,"[7879, 7941, 1515, 1537]",FOUND,1
629,_cond_layout_semicolon declaration,"[14, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10318, 9336, 10411, 10132, 10711, 10124, 9583]",FOUND,1
634,name,[7562],FOUND,1
640,= data_constructors,"[8371, 8374, 7635, 10459, 10711, 10124, 9609, 9583, 11039]",FOUND,5
642,forall quantified_variables,[7557],FOUND,5
649,variable,"[8277, 10329]",FOUND,1
650,.,"[8709, 9093, 8309, 10991, 10329]",FOUND,2
652,_cond_context constraint =>,"[3902, 9799, 8062]",FOUND,1
653,name,"[9799, 8062, 7538, 1407, 12504]",FOUND,2
663,variable,"[9799, 8062, 7884, 2227, 9235, 12792]",FOUND,2
664,", constraints","[9799, 8062, 7268, 1174, 8000, 2227, 9235]",FOUND,2
666,name,"[9799, 8062, 2338, 3887]",FOUND,1
671,variable,"[9799, 8062, 7789, 2227, 9928, 10519, 12494]",FOUND,2
672,) _cmd_texp_end,"[9799, 8062, 7268, 1174, 8000, 2227, 9928, 10519]",FOUND,2
674,=>,"[9799, 8062, 7895, 7991, 7997, 2248]",FOUND,2
677,name _datacon_prefix_repeat1,"[10845, 10627, 8146]",FOUND,1
683,variable,"[1820, 8986, 8804, 9700, 9047, 10459, 10711, 10124, 9609, 9583, 11039]",FOUND,16
688,_cond_layout_semicolon declaration,"[6302, 810, 1844, 8986, 8804, 9700, 9047, 10459, 10711, 10124, 9609, 9583, 11039, 21, 14]",FOUND,1
697,instance _type_instance_head_params type_patterns,[8971],FOUND,1
706,name,"[7649, 3819]",FOUND,1
711,name,"[7869, 2206, 10682, 10711, 10124, 9609, 9583, 11039, 12494]",FOUND,7
720,_cond_layout_semicolon declaration,"[7175, 1372, 2211, 10823, 10682, 10711, 10124, 9609, 9583, 11039, 12494, 21, 14]",FOUND,1
729,name,"[7677, 3819]",FOUND,1
739,name,"[7737, 2144, 9285, 10711, 10124, 9609, 9583, 11039, 12494]",FOUND,7
745,where instance_declarations,"[6771, 1175, 2174, 9690, 9285, 10711, 10124, 9609, 9583, 11039, 12494]",FOUND,4
754,variable,"[9393, 10711, 10124, 9609, 9583, 11039, 1100, 1801, 10590, 10232]",FOUND,5
766,( _cmd_texp_start,"[4271, 915, 8950, 2167]",FOUND,3
767,name,"[5805, 42, 40, 12235]",FOUND,2
773,variable,"[3405, 61, 10897, 1274, 10383, 10720, 12464]",FOUND,1
774,) _cmd_texp_end,"[5856, 999, 5764, 1274, 10383, 10720, 3017, 52, 2863, 61, 10897]",FOUND,2
776,= _exp,"[7480, 7316, 7403, 1837, 2011, 8888, 5991, 6579, 6596, 1202, 6672, 915, 8950]",FOUND,1
778,variable,[1247],FOUND,1
790,variable,"[4553, 180, 9590, 9088, 10346, 10286, 10621, 9263, 10520]",FOUND,1
795,_cond_layout_semicolon declaration,"[4553, 220, 4452, 180, 9590, 9088, 10346, 10286, 10621, 9263, 10520, 10168, 10232, 10711, 10124, 9609, 9583, 11039, 21, 14]",FOUND,2
804,name,"[7677, 3819]",FOUND,1
814,name,"[7737, 2144, 9285, 10711, 10124, 9609, 9583, 11039, 12494]",FOUND,7
817,where instance_declarations,"[6771, 1175, 2174, 9690, 9285, 10711, 10124, 9609, 9583, 11039, 12494]",FOUND,4
826,_cmd_layout_start instance_decl _cond_layout_end,"[9393, 10711, 10124, 9609, 9583, 11039, 1100, 1801, 10590, 10232]",FOUND,6
