Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module module exports where,"[1, 12559, 2]",FOUND,1
7,name _tight_dot,[10687],FOUND,1
12,.,"[12494, 9341, 9593]",FOUND,1
13,name,"[9341, 9593, 12494, 10081, 10878, 11223]",FOUND,4
18,exports where,"[9375, 9593, 12494]",FOUND,4
22,( _cmd_texp_start,"[9375, 9593, 12494]",FOUND,3
24,variable,"[8876, 7779]",FOUND,1
27,", import_name","[9761, 10807]",FOUND,1
28,import_name,[7850],FOUND,2
34,name children,[7850],FOUND,3
44,( _cmd_texp_start,"[8922, 12167, 10169, 12494]",FOUND,3
45,.. _paren_close,"[8876, 7870, 12402]",FOUND,2
47,) _cmd_texp_end,[10256],FOUND,1
48,", _paren_close","[8759, 12121, 11385, 12167, 10169, 12517]",FOUND,6
49,_paren_close,[7812],FOUND,5
53,) _cmd_texp_end,[7812],FOUND,7
54,where,"[9796, 11492, 11261]",FOUND,1
56,where,"[9796, 11492, 11261]",FOUND,1
65,_cmd_layout_start imports declarations _cond_layout_end,"[10949, 10478, 12559, 2, 12278, 12478]",FOUND,1
72,name _tight_dot,[9625],FOUND,1
83,.,"[12494, 8847, 8978, 10664]",FOUND,1
84,name,"[8847, 8978, 10664, 12494, 10081, 10878, 10902]",FOUND,3
96,imports_repeat1 _cond_layout_semicolon,"[8809, 8978, 10664, 12494, 4243, 13]",FOUND,4
103,name _tight_dot,[9625],FOUND,1
114,.,"[12494, 8847, 8978, 12000, 10116]",FOUND,1
115,name,"[8847, 8978, 12000, 10116, 12494, 10081, 10878, 10902]",FOUND,3
128,_cond_layout_semicolon import,"[8809, 8978, 12000, 10116, 12494, 4259, 13]",FOUND,2
135,name _tight_dot,[9625],FOUND,1
139,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
140,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
146,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
153,name _tight_dot,[9625],FOUND,1
158,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
159,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
168,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
175,name _tight_dot,[9625],FOUND,1
180,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
181,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
188,imports_repeat1,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,2
195,name _tight_dot,[9625],FOUND,1
199,.,"[12494, 8847, 8978, 12000, 10115, 10116]",FOUND,1
200,name,"[8847, 8978, 12000, 10115, 10116, 12494, 10081, 10878, 10902]",FOUND,3
209,declarations _cond_layout_end,"[8809, 8978, 12000, 10115, 10116, 12494, 11476, 4259, 13]",FOUND,11
213,:: quantified_type,"[2263, 350, 10711, 9685, 11039, 915, 8950, 2167]",FOUND,2
216,[ _cmd_texp_start,"[1462, 1484]",FOUND,3
217,name,"[7875, 1104, 965, 12455]",FOUND,2
223,] _cmd_texp_end,"[3146, 524, 8137, 10287, 10694, 12494]",FOUND,2
225,->,"[6572, 6427, 6411, 764, 8341, 10286, 10711, 9685, 11039, 6863, 6887, 6854, 874, 8377, 9873, 8950]",FOUND,1
228,name,"[7879, 7941, 1515, 1537]",FOUND,1
236,variable,"[12, 11039, 6115, 874, 8363, 8900, 8377, 9873, 8950, 12494, 5783, 764, 8173, 8718, 8341, 10286, 10711, 9685]",FOUND,4
240,variable,"[2263, 350, 10711, 10124, 9583, 11039, 915, 8950, 2167]",FOUND,2
248,= _exp,"[6905, 1837, 2011, 8888, 5116, 325, 5146, 350, 10711, 10124, 9583, 11039, 6173, 1202, 6672, 915, 8950]",FOUND,2
250,( _cmd_texp_start,[1247],FOUND,7
